# TOTAL_GENES = 18144
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                    TYPE  NGENES         BETA     BETA_STD           SE            P
T-Pericyte                   SET    1307     0.044558     0.011521     0.029878     0.067947
M-Pericyte                   SET    1304     0.068414      0.01767     0.029834     0.010925
Pericyte                     SET    1323    0.0011255   0.00029264     0.029098      0.48457
Pericyte-2                   SET    1272     0.072394     0.018484     0.029815    0.0075931
Vascular-SMC                 SET    1315       0.0475     0.012316     0.029144     0.051575
Arteriolar-SMC               SET    1306     0.073333     0.018954     0.029718    0.0068054
Vascular-SMC-LINC00486       SET    1323     0.042813     0.011132     0.028907       0.0693
Trans-Endo-to-mural          SET    1286      0.03578    0.0091821     0.028277      0.10288
Perivascular-FB-KAZN2        SET    1312     0.054202     0.014039     0.028921     0.030465
Perivascular-FB              SET    1291     0.047904     0.012316     0.030175     0.056206
Meningeal-FB                 SET    1309     0.026815    0.0069379     0.029804      0.18415
Artirial-FB                  SET    1269    -0.010014   -0.0025541     0.028215      0.63867
Pericyte-FB                  SET    1277     0.019606    0.0050152     0.029783      0.25517
Capillary                    SET    1297     0.081376     0.020966     0.029809    0.0031706
Arterial                     SET    1308     0.031961    0.0082666      0.02961      0.14021
Venous                       SET    1301   -0.0097346   -0.0025116      0.02888      0.63196
T-cell-mixed                 SET    1307     0.043852     0.011338     0.030053     0.072269
T-cell-vascular              SET    1300     0.067129     0.017314     0.028242    0.0087331
Microglia-vascular           SET    1322     0.013162     0.003421     0.027448      0.31579
