# MEAN_SAMPLE_SIZE = 36989
# TOTAL_GENES = 18934
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                    TYPE  NGENES         BETA     BETA_STD           SE            P
T-Pericyte                   SET    1324     0.074108       0.0189      0.02976    0.0063896
M-Pericyte                   SET    1324     0.059461     0.015164     0.029385     0.021521
Pericyte                     SET    1339     0.078593     0.020148     0.029413    0.0037734
Pericyte-2                   SET    1300     0.056528     0.014295     0.030141     0.030379
Vascular-SMC                 SET    1334     0.050837      0.01301     0.029324     0.041506
Arteriolar-SMC               SET    1329     0.044583      0.01139     0.029274     0.063895
Vascular-SMC-LINC00486       SET    1338      0.10787     0.027644     0.029211   0.00011137
Trans-Endo-to-mural          SET    1318     0.044575     0.011344      0.02916     0.063191
Perivascular-FB-KAZN2        SET    1337      0.10328     0.026458      0.02917   0.00020031
Perivascular-FB              SET    1315     0.032688    0.0083101     0.029383      0.13298
Meningeal-FB                 SET    1330     0.073995     0.018911     0.029569    0.0061724
Artirial-FB                  SET    1295     0.016776    0.0042348     0.029093       0.2821
Pericyte-FB                  SET    1297      0.05787     0.014619     0.029641     0.025459
Capillary                    SET    1324     0.058016     0.014796     0.029444     0.024407
Arterial                     SET    1323      0.05024     0.012808     0.029511      0.04435
Venous                       SET    1325     0.029687    0.0075738     0.029755      0.15922
T-cell-mixed                 SET    1329     0.057233     0.014622     0.029214     0.025063
T-cell-vascular              SET    1335     0.073452     0.018804     0.028903    0.0055275
Microglia-vascular           SET    1340       0.0378    0.0096938     0.028866     0.095192
