# TOTAL_GENES = 18215
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                    TYPE  NGENES         BETA     BETA_STD           SE            P
T-Pericyte                   SET     259   -0.0072058  -0.00085314     0.065447      0.54383
M-Pericyte                   SET     260   -0.0050297  -0.00059663     0.065769      0.53048
Pericyte                     SET     265    -0.048082   -0.0057574     0.064346      0.77254
Pericyte-2                   SET     255    -0.060336    -0.007089     0.067712      0.81355
Vascular-SMC                 SET     264      0.13798     0.016491     0.065087     0.017012
Arteriolar-SMC               SET     259     0.079357    0.0093956     0.066248      0.11549
Vascular-SMC-LINC00486       SET     260     0.090238     0.010704     0.065657      0.08467
Trans-Endo-to-mural          SET     256     0.092685     0.010911     0.065997     0.080113
Perivascular-FB-KAZN2        SET     262     0.061805    0.0073592     0.066394      0.17596
Perivascular-FB              SET     250     0.018433    0.0021447     0.067601      0.39255
Meningeal-FB                 SET     262     -0.10747    -0.012796      0.06667       0.9465
Artirial-FB                  SET     242     0.044545    0.0051004     0.068979      0.25922
Pericyte-FB                  SET     249    -0.082648   -0.0095972     0.067133      0.89085
Capillary                    SET     261    -0.012486   -0.0014839       0.0659      0.57513
Arterial                     SET     262    -0.044391   -0.0052856     0.065517      0.75097
Venous                       SET     256   -0.0063098  -0.00074277     0.065743      0.53823
T-cell-mixed                 SET     264      0.16377     0.019574     0.066104    0.0066198
T-cell-vascular              SET     258      0.13396      0.01583     0.064981     0.019634
Microglia-vascular           SET     263     0.066805    0.0079694     0.062801      0.14373
