# TOTAL_GENES = 18144
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                    TYPE  NGENES         BETA     BETA_STD           SE            P
T-Pericyte                   SET     259   -0.0036664  -0.00043493     0.064542      0.52265
M-Pericyte                   SET     260   0.00030487   3.6234e-05     0.064861      0.49812
Pericyte                     SET     265    -0.044662   -0.0053581     0.063456      0.75922
Pericyte-2                   SET     255    -0.058842   -0.0069267     0.066776      0.81088
Vascular-SMC                 SET     264      0.13827     0.016558     0.064186     0.015617
Arteriolar-SMC               SET     259     0.085389     0.010129     0.065333     0.095616
Vascular-SMC-LINC00486       SET     260     0.095173     0.011311      0.06475     0.070808
Trans-Endo-to-mural          SET     256     0.097842      0.01154     0.065086     0.066393
Perivascular-FB-KAZN2        SET     262     0.065491     0.007813     0.065476      0.15861
Perivascular-FB              SET     250     0.021917     0.002555     0.066667      0.37117
Meningeal-FB                 SET     262     -0.10738     -0.01281     0.065748      0.94878
Artirial-FB                  SET     242     0.045376    0.0052056     0.068025      0.25237
Pericyte-FB                  SET     249      -0.0774    -0.009005     0.066206       0.8788
Capillary                    SET     261   -0.0048408  -0.00057641     0.064991      0.52969
Arterial                     SET     262    -0.039126   -0.0046676     0.064612      0.72759
Venous                       SET     256   -0.0028436  -0.00033539     0.064835      0.51749
T-cell-mixed                 SET     264      0.16745     0.020052     0.065189    0.0051086
T-cell-vascular              SET     258      0.13897     0.016454     0.064089     0.015068
Microglia-vascular           SET     262     0.073229    0.0087362      0.06209      0.11913
