# TOTAL_GENES = 18368
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                    TYPE  NGENES         BETA     BETA_STD           SE            P
T-Pericyte                   SET     259    -0.021765   -0.0025662     0.056811      0.64918
M-Pericyte                   SET     260     0.032122    0.0037947     0.057428      0.28797
Pericyte                     SET     264     0.057112    0.0067978     0.057138      0.15877
Pericyte-2                   SET     255    -0.039012   -0.0045647     0.059674      0.74336
Vascular-SMC                 SET     264     0.096548     0.011492     0.056158     0.042798
Arteriolar-SMC               SET     259     0.078009    0.0091979     0.059024     0.093155
Vascular-SMC-LINC00486       SET     260     0.088253     0.010426     0.057109     0.061143
Trans-Endo-to-mural          SET     256      0.05718    0.0067034     0.059702       0.1691
Perivascular-FB-KAZN2        SET     262    -0.043959   -0.0052127     0.057065      0.77944
Perivascular-FB              SET     250    -0.034983   -0.0040535     0.057566       0.7283
Meningeal-FB                 SET     262     0.067107    0.0079575      0.05985       0.1311
Artirial-FB                  SET     242    -0.074341   -0.0084769     0.058138      0.89949
Pericyte-FB                  SET     249    -0.012643    -0.001462     0.058478      0.58558
Capillary                    SET     261   -0.0067206  -0.00079543     0.058701      0.54557
Arterial                     SET     262    -0.049567   -0.0058776     0.058391      0.80202
Venous                       SET     256      0.11614     0.013616     0.058804     0.024143
T-cell-mixed                 SET     264     0.070819    0.0084292     0.057768      0.11013
T-cell-vascular              SET     258      0.08128    0.0095654     0.056208      0.07409
Microglia-vascular           SET     264     0.064547    0.0076827     0.054953      0.12009
