# TOTAL_GENES = 18423
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                    TYPE  NGENES         BETA     BETA_STD           SE            P
T-Pericyte                   SET    2071      0.03751     0.011849     0.022305     0.046326
M-Pericyte                   SET    2060     0.038122     0.012014     0.022505     0.045152
Pericyte                     SET    2070     0.050287     0.015882     0.022282     0.012015
Pericyte-2                   SET    2035     0.045643     0.014308     0.022996     0.023593
Vascular-SMC                 SET    2081     0.025872    0.0081897      0.02218      0.12173
Arteriolar-SMC               SET    2066     0.036385     0.011481     0.022227     0.050826
Vascular-SMC-LINC00486       SET    2082     0.053064     0.016801     0.022138     0.008272
Trans-Endo-to-mural          SET    2050     0.027446    0.0086313     0.021954      0.10563
Perivascular-FB-KAZN2        SET    2071     0.046538     0.014701     0.022222     0.018129
Perivascular-FB              SET    2042     0.014428    0.0045296     0.022472      0.26043
Meningeal-FB                 SET    2076     0.034102     0.010783     0.022308     0.063181
Artirial-FB                  SET    2017     0.010262    0.0032043      0.02199      0.32038
Pericyte-FB                  SET    2038      0.01946    0.0061042     0.022562       0.1942
Capillary                    SET    2065     0.054638     0.017237     0.022356    0.0072695
Arterial                     SET    2066     0.029325    0.0092535     0.022347     0.094728
Venous                       SET    2049     0.011054    0.0034756     0.022196      0.30924
T-cell-mixed                 SET    2067     0.055367     0.017475     0.022181    0.0062832
T-cell-vascular              SET    2056     0.057048     0.017964     0.022305    0.0052731
Microglia-vascular           SET    2086     0.040366     0.012791     0.021796     0.032021
