# TOTAL_GENES = 18215
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                    TYPE  NGENES         BETA     BETA_STD           SE            P
T-Pericyte                   SET    2071     0.019114    0.0060679     0.024295      0.21571
M-Pericyte                   SET    2060     0.032861     0.010408     0.024448     0.089464
Pericyte                     SET    2070     0.030026    0.0095299     0.023841      0.10394
Pericyte-2                   SET    2035     0.074308     0.023409     0.024039    0.0009987
Vascular-SMC                 SET    2081     0.019213    0.0061122     0.024021       0.2119
Arteriolar-SMC               SET    2066     0.038598      0.01224     0.024187     0.055276
Vascular-SMC-LINC00486       SET    2082     0.041337     0.013153      0.02381     0.041279
Trans-Endo-to-mural          SET    2050     0.050199     0.015865       0.0232     0.015249
Perivascular-FB-KAZN2        SET    2071     0.038212      0.01213     0.023925     0.055125
Perivascular-FB              SET    2042     0.037406     0.011802     0.024642     0.064514
Meningeal-FB                 SET    2076     0.031879     0.010131     0.024359     0.095328
Artirial-FB                  SET    2017    0.0055258     0.001734     0.023012      0.40512
Pericyte-FB                  SET    2038     0.024983    0.0078756     0.023924      0.14818
Capillary                    SET    2064     0.063125     0.020009     0.024096    0.0044046
Arterial                     SET    2066     0.029939    0.0094941     0.024177      0.10781
Venous                       SET    2049     0.022924    0.0072434     0.023414      0.16378
T-cell-mixed                 SET    2067     0.052191     0.016554     0.024469     0.016472
T-cell-vascular              SET    2056     0.064192     0.020313     0.023388    0.0030314
Microglia-vascular           SET    2085     0.042301     0.013468     0.022908     0.032414
