# TOTAL_GENES = 18215
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Trans-Endo-to-mural       SET    1811     0.075592      0.02262     0.025903     0.001762
Oligo                     SET    1786     0.077141     0.022941     0.026444    0.0017685
Endothelial               SET    1781     0.036925     0.010967     0.026262     0.079863
Pericyte                  SET    1786     0.095819     0.028496     0.026733   0.00016945
Astro                     SET    1650    0.0093666    0.0026885     0.026947      0.36407
SMC                       SET    1793     0.099915     0.029766     0.026017   6.1625e-05
OPC                       SET    1717      0.05081     0.014847     0.027108     0.030452
Neuron_ex                 SET    1679    0.0019786   0.00057237     0.026878      0.47066
Microglia                 SET    1798     0.062726      0.01871     0.026295    0.0085326
Neuron_in                 SET    1717    -0.014326    -0.004186     0.026796      0.70354
Fibroblast                SET    1795       0.1059     0.031563     0.026278   2.8032e-05
T-cell                    SET    1807     0.095481     0.028543     0.025987   0.00011966
