# TOTAL_GENES = 18423
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
T-Pericyte                            SET    1522     0.086823     0.023903     0.026407   0.00050591 T-Pericyte
M-Pericyte                            SET    1525      0.07244     0.019961     0.026204    0.0028539 M-Pericyte
Pericyte                              SET    1535      0.06176     0.017069     0.026017    0.0088086 Pericyte
Pericyte-2                            SET    1500      0.10247     0.028024     0.026743   6.3885e-05 Pericyte-2
Oligo-A                               SET    1536     0.060704     0.016782     0.025905    0.0095627 Oligo-A
Astrocyte-activated                   SET    1446     0.058295     0.015678     0.026638     0.014325 Astrocyte-activated
Vascular-SMC                          SET    1533     0.057091     0.015769      0.02591      0.01379 Vascular-SMC
Arteriolar-SMC                        SET    1533     0.059626     0.016469     0.025899     0.010666 Arteriolar-SMC
Vascular-SMC-LINC00486                SET    1542     0.054309     0.015041     0.025446     0.016415 Vascular-SMC-LINC00486
Trans-Endo-to-mural                   SET    1550       0.0375      0.01041     0.025717     0.072405 Trans-Endo-to-mural
Oligo-B                               SET    1472     0.066975      0.01816     0.026315     0.005467 Oligo-B
Perivascular-FB-KAZN2                 SET    1548     0.072505     0.020115     0.025802    0.0024799 Perivascular-FB-KAZN2
Perivascular-FB                       SET    1529     0.064475     0.017787     0.026032    0.0066345 Perivascular-FB
Meningeal-FB                          SET    1547     0.038199     0.010595     0.025603     0.067858 Meningeal-FB
Artirial-FB                           SET    1527     0.018525    0.0051076       0.0257      0.23552 Artirial-FB
Pericyte-FB                           SET    1514     0.039047     0.010724      0.02617     0.067851 Pericyte-FB
Capillary                             SET    1533      0.03535    0.0097641     0.026026     0.087198 Capillary
Arterial                              SET    1528     0.026655    0.0073513     0.026013      0.15277 Arterial
Venous                                SET    1537     0.025259    0.0069851     0.025774      0.16355 Venous
T-cell-mixed                          SET    1535      0.06739     0.018625     0.025763     0.004455 T-cell-mixed
T-cell-vascular                       SET    1556     0.055394     0.015404     0.025378     0.014534 T-cell-vascular
Microglia-quiescent                   SET    1535      0.06295     0.017398     0.025972    0.0076859 Microglia-quiescent
Microglia-activated                   SET    1529      0.08781     0.024225     0.025588   0.00030076 Microglia-activated
Perivascular                          SET    1540     0.059062     0.016347     0.025351    0.0099159 Perivascular
Microglia-vascular                    SET    1559     0.071279     0.019839     0.024915    0.0021152 Microglia-vascular
Astrocyte-quiescent                   SET    1392    -0.019316   -0.0051051     0.026969      0.76307 Astrocyte-quiescent
OPC-A                                 SET    1416     0.051111     0.013615     0.027367     0.030917 OPC-A
OPC-B                                 SET    1479     0.044811     0.012177     0.026808      0.04732 OPC-B
Ex-Neuron-L2-3-CBLN2-LINC023...       SET    1438    0.0083123    0.0022299     0.026764      0.37806 Ex-Neuron-L2-3-CBLN2-LINC02306-CUX2
Ex-Neuron-ADARB2-ERBB4                SET    1373    -0.015163   -0.0039824     0.027621      0.70849 Ex-Neuron-ADARB2-ERBB4
In-Neuron-PRKG1-TBC1D4                SET    1435    0.0097444    0.0026116     0.027248      0.36032 In-Neuron-PRKG1-TBC1D4
In-Neuron-ADARB2-LAMP5-NRG1           SET    1432    -0.008377    -0.002243     0.027008      0.62178 In-Neuron-ADARB2-LAMP5-NRG1
Ex-Neuron-L4-5-RORB-IL1RAPL2          SET    1414     0.023642    0.0062937      0.02716      0.19203 Ex-Neuron-L4-5-RORB-IL1RAPL2
Ex-Neuron-L6-THEMIS-NFIA              SET    1362    -0.010961   -0.0028682     0.027355      0.65568 Ex-Neuron-L6-THEMIS-NFIA
low-feature-cells                     SET    1573     0.045745     0.012784     0.025594      0.03695 low-feature-cells
Ex-Neuron-L3-5-RORB-PLCH1             SET    1368     0.019017    0.0049862     0.027638       0.2457 Ex-Neuron-L3-5-RORB-PLCH1
Ex-Neuron-DLC1-HS3ST4                 SET    1371     0.030249     0.007939     0.027531      0.13595 Ex-Neuron-DLC1-HS3ST4
In-Neuron-ADARB2-GRM7                 SET    1460    0.0052042    0.0014058     0.027017      0.42363 In-Neuron-ADARB2-GRM7
In-Neuron-TRHDE-RALYL                 SET    1490     0.026085    0.0071121      0.02688      0.16593 In-Neuron-TRHDE-RALYL
In-Neuron-ADARB2-IL1RAPL2-CS...       SET    1472     0.019175    0.0051992     0.026922      0.23816 In-Neuron-ADARB2-IL1RAPL2-CSCL14
In-Neuron-ADARB2-NRG1-RELN            SET    1513     0.033885    0.0093035     0.026495      0.10047 In-Neuron-ADARB2-NRG1-RELN
In-Neuron-DPP10-MEF2C                 SET    1454     0.028848    0.0077781     0.026826      0.14112 In-Neuron-DPP10-MEF2C
ambiguous                             SET    1410    0.0087172    0.0023176     0.027281      0.37466 ambiguous
