# TOTAL_GENES = 18353
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Oligo-A                               SET    4285     0.037331     0.015793     0.017264     0.015304 Oligo-A
Astrocyte-activated                   SET    3650     0.027634     0.011031      0.01816     0.064049 Astrocyte-activated
Oligo-B                               SET    3719     0.052403     0.021065     0.018061    0.0018603 Oligo-B
T-cell-mixed                          SET    2906     0.048198     0.017596     0.019539    0.0068224 T-cell-mixed
T-cell-parenchymal-1                  SET     365      0.13769     0.019223     0.049338    0.0026332 T-cell-parenchymal-1
T-cell-parenchymal-2                  SET     378     0.097253     0.013813     0.048098     0.021598 T-cell-parenchymal-2
Microglia-quiescent                   SET    3631     0.055042     0.021928     0.017965    0.0010947 Microglia-quiescent
Microglia-activated                   SET    3934     0.082962     0.034046     0.017224   7.3707e-07 Microglia-activated
Perivascular                          SET    2586     0.035025     0.012186     0.020058     0.040401 Perivascular
Microglia-vascular                    SET    2432     0.058879     0.019963     0.020443    0.0019901 Microglia-vascular
Astrocyte-quiescent                   SET    4120     0.044446     0.018545     0.017432    0.0053952 Astrocyte-quiescent
OPC-A                                 SET    3143     0.058032     0.021863     0.019137     0.001215 OPC-A
OPC-B                                 SET    3363     0.039827     0.015408     0.018744     0.016807 OPC-B
Ex-Neuron-L2-3-CBLN2-LINC023...       SET    5262     0.028987     0.013109     0.015925     0.034371 Ex-Neuron-L2-3-CBLN2-LINC02306-CUX2
Ex-Neuron-ADARB2-ERBB4                SET    3101   -0.0036352   -0.0013622      0.01892      0.57618 Ex-Neuron-ADARB2-ERBB4
In-Neuron-PRKG1-TBC1D4                SET    4150    0.0046777    0.0019568     0.017091      0.39216 In-Neuron-PRKG1-TBC1D4
In-Neuron-ADARB2-LAMP5-NRG1           SET    4317     0.032679     0.013861     0.016827     0.026077 In-Neuron-ADARB2-LAMP5-NRG1
Ex-Neuron-L4-5-RORB-IL1RAPL2          SET    5414     0.019675    0.0089728     0.015967      0.10895 Ex-Neuron-L4-5-RORB-IL1RAPL2
Ex-Neuron-L6-THEMIS-NFIA              SET    5164     0.025069     0.011273     0.016042     0.059068 Ex-Neuron-L6-THEMIS-NFIA
low-feature-cells                     SET    3542     0.046088     0.018189     0.018192    0.0056521 low-feature-cells
Ex-Neuron-L3-5-RORB-PLCH1             SET    4306     0.033527     0.014208     0.017058      0.02469 Ex-Neuron-L3-5-RORB-PLCH1
Ex-Neuron-DLC1-HS3ST4                 SET    4787     0.024663      0.01083     0.016337     0.065578 Ex-Neuron-DLC1-HS3ST4
Ex-Neuron-CBLN2-NRGN                  SET    2477     0.011449     0.003912     0.020934      0.29223 Ex-Neuron-CBLN2-NRGN
In-Neuron-ADARB2-GRM7                 SET    3538     0.011676     0.004606     0.018172      0.26027 In-Neuron-ADARB2-GRM7
In-Neuron-TRHDE-RALYL                 SET    3054     0.036901     0.013744     0.019354     0.028292 In-Neuron-TRHDE-RALYL
In-Neuron-ADARB2-IL1RAPL2-CS...       SET    2902     0.013836    0.0050484     0.019585      0.23995 In-Neuron-ADARB2-IL1RAPL2-CSCL14
In-Neuron-ADARB2-NRG1-RELN            SET    2214     0.037876     0.012336     0.021986     0.042479 In-Neuron-ADARB2-NRG1-RELN
In-Neuron-DPP10-MEF2C                 SET    3094     0.022437    0.0084001     0.019101      0.12008 In-Neuron-DPP10-MEF2C
ambiguous                             SET    3291     0.032634     0.012519      0.01845     0.038473 ambiguous
