# TOTAL_GENES = 18215
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Oligo-A                               SET    4289     0.039204     0.016634     0.018245     0.015836 Oligo-A
Astrocyte-activated                   SET    3653     0.061809      0.02475     0.019479   0.00075543 Astrocyte-activated
Oligo-B                               SET    3723     0.061774     0.024911     0.018795   0.00050765 Oligo-B
T-cell-mixed                          SET    2909     0.072061     0.026399     0.020983   0.00029784 T-cell-mixed
T-cell-parenchymal-1                  SET     365      0.11286     0.015815     0.055231     0.020516 T-cell-parenchymal-1
T-cell-parenchymal-2                  SET     378     0.090775     0.012941     0.053288     0.044249 T-cell-parenchymal-2
Microglia-quiescent                   SET    3635     0.061126     0.024431      0.01917   0.00071585 Microglia-quiescent
Microglia-activated                   SET    3936     0.087164     0.035875     0.018565   1.3426e-06 Microglia-activated
Perivascular                          SET    2587     0.050663     0.017686     0.021774    0.0099937 Perivascular
Microglia-vascular                    SET    2435     0.091515     0.031144     0.022496   2.3801e-05 Microglia-vascular
Astrocyte-quiescent                   SET    4124     0.058012     0.024279     0.018308   0.00076724 Astrocyte-quiescent
OPC-A                                 SET    3145     0.069956     0.026441     0.020655   0.00035431 OPC-A
OPC-B                                 SET    3366     0.048777     0.018932     0.020041    0.0074749 OPC-B
Ex-Neuron-L2-3-CBLN2-LINC023...       SET    5268     0.027452     0.012447     0.016559     0.048685 Ex-Neuron-L2-3-CBLN2-LINC02306-CUX2
Ex-Neuron-ADARB2-ERBB4                SET    3103    -0.033006    -0.012409     0.020033      0.95027 Ex-Neuron-ADARB2-ERBB4
In-Neuron-PRKG1-TBC1D4                SET    4151     0.010752    0.0045104     0.018071      0.27592 In-Neuron-PRKG1-TBC1D4
In-Neuron-ADARB2-LAMP5-NRG1           SET    4321     0.022236    0.0094592     0.017536       0.1024 In-Neuron-ADARB2-LAMP5-NRG1
Ex-Neuron-L4-5-RORB-IL1RAPL2          SET    5421      0.02527     0.011554     0.016214     0.059563 Ex-Neuron-L4-5-RORB-IL1RAPL2
Ex-Neuron-L6-THEMIS-NFIA              SET    5174     0.024057     0.010849     0.016374     0.070889 Ex-Neuron-L6-THEMIS-NFIA
low-feature-cells                     SET    3546     0.061128     0.024204      0.01934   0.00078805 low-feature-cells
Ex-Neuron-L3-5-RORB-PLCH1             SET    4312      0.02534     0.010772      0.01765     0.075551 Ex-Neuron-L3-5-RORB-PLCH1
Ex-Neuron-DLC1-HS3ST4                 SET    4794     0.033333     0.014679     0.016833     0.023845 Ex-Neuron-DLC1-HS3ST4
Ex-Neuron-CBLN2-NRGN                  SET    2483      0.01267    0.0043476     0.021913      0.28157 Ex-Neuron-CBLN2-NRGN
In-Neuron-ADARB2-GRM7                 SET    3540     0.011179    0.0044238     0.019625      0.28446 In-Neuron-ADARB2-GRM7
In-Neuron-TRHDE-RALYL                 SET    3056     0.050056     0.018705     0.020681    0.0077565 In-Neuron-TRHDE-RALYL
In-Neuron-ADARB2-IL1RAPL2-CS...       SET    2905     0.016424    0.0060134     0.021202      0.21928 In-Neuron-ADARB2-IL1RAPL2-CSCL14
In-Neuron-ADARB2-NRG1-RELN            SET    2215     0.043697     0.014282     0.023914     0.033841 In-Neuron-ADARB2-NRG1-RELN
In-Neuron-DPP10-MEF2C                 SET    3094      0.01684    0.0063237     0.020293      0.20333 In-Neuron-DPP10-MEF2C
ambiguous                             SET    3296     0.037194     0.014319     0.019656     0.029238 ambiguous
