# TOTAL_GENES = 18144
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Oligo-A                               SET    4284     0.043785     0.018596     0.018016    0.0075473 Oligo-A
Astrocyte-activated                   SET    3648     0.061428     0.024621     0.019232   0.00070269 Astrocyte-activated
Oligo-B                               SET    3717     0.065174     0.026305     0.018562   0.00022367 Oligo-B
T-cell-mixed                          SET    2905     0.076904     0.028202     0.020715   0.00010293 T-cell-mixed
T-cell-parenchymal-1                  SET     365      0.11638      0.01634     0.054469     0.016322 T-cell-parenchymal-1
T-cell-parenchymal-2                  SET     378     0.096467     0.013778     0.052552     0.033213 T-cell-parenchymal-2
Microglia-quiescent                   SET    3630     0.066196     0.026482     0.018931   0.00023612 Microglia-quiescent
Microglia-activated                   SET    3932     0.092381     0.038062     0.018322   2.3269e-07 Microglia-activated
Perivascular                          SET    2585     0.057948     0.020255     0.021488     0.003504 Perivascular
Microglia-vascular                    SET    2431     0.093534     0.031862     0.022202   1.2671e-05 Microglia-vascular
Astrocyte-quiescent                   SET    4118     0.059451     0.024903     0.018079   0.00050468 Astrocyte-quiescent
OPC-A                                 SET    3141     0.073624     0.027856     0.020392   0.00015323 OPC-A
OPC-B                                 SET    3361     0.052009     0.020206     0.019787    0.0042921 OPC-B
Ex-Neuron-L2-3-CBLN2-LINC023...       SET    5259     0.032912     0.014932     0.016359     0.022128 Ex-Neuron-L2-3-CBLN2-LINC02306-CUX2
Ex-Neuron-ADARB2-ERBB4                SET    3100    -0.027853    -0.010484     0.019774      0.92051 Ex-Neuron-ADARB2-ERBB4
In-Neuron-PRKG1-TBC1D4                SET    4147     0.013834    0.0058093     0.017833      0.21894 In-Neuron-PRKG1-TBC1D4
In-Neuron-ADARB2-LAMP5-NRG1           SET    4313     0.025878     0.011016     0.017322     0.067607 In-Neuron-ADARB2-LAMP5-NRG1
Ex-Neuron-L4-5-RORB-IL1RAPL2          SET    5410     0.029894     0.013675     0.016018     0.031015 Ex-Neuron-L4-5-RORB-IL1RAPL2
Ex-Neuron-L6-THEMIS-NFIA              SET    5161     0.027719     0.012506     0.016188     0.043426 Ex-Neuron-L6-THEMIS-NFIA
low-feature-cells                     SET    3541     0.065106     0.025804       0.0191   0.00032706 low-feature-cells
Ex-Neuron-L3-5-RORB-PLCH1             SET    4302     0.030216     0.012851     0.017444     0.041629 Ex-Neuron-L3-5-RORB-PLCH1
Ex-Neuron-DLC1-HS3ST4                 SET    4783     0.037789      0.01665     0.016637     0.011566 Ex-Neuron-DLC1-HS3ST4
Ex-Neuron-CBLN2-NRGN                  SET    2475     0.013457    0.0046188     0.021659       0.2672 Ex-Neuron-CBLN2-NRGN
In-Neuron-ADARB2-GRM7                 SET    3537     0.015547    0.0061591     0.019368      0.21108 In-Neuron-ADARB2-GRM7
In-Neuron-TRHDE-RALYL                 SET    3053     0.052964     0.019815      0.02041    0.0047329 In-Neuron-TRHDE-RALYL
In-Neuron-ADARB2-IL1RAPL2-CS...       SET    2901     0.019805    0.0072587     0.020934      0.17206 In-Neuron-ADARB2-IL1RAPL2-CSCL14
In-Neuron-ADARB2-NRG1-RELN            SET    2214     0.046033     0.015068     0.023594     0.025534 In-Neuron-ADARB2-NRG1-RELN
In-Neuron-DPP10-MEF2C                 SET    3091     0.019385    0.0072879     0.020026      0.16653 In-Neuron-DPP10-MEF2C
ambiguous                             SET    3289      0.04359     0.016793     0.019422     0.012411 ambiguous
