# TOTAL_GENES = 18423
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Oligo-A                               SET    4313     0.036247     0.015349      0.01746     0.018953 Oligo-A
Astrocyte-activated                   SET    3670     0.027068     0.010811     0.018418      0.07084 Astrocyte-activated
Oligo-B                               SET    3723     0.051279     0.020592     0.018293    0.0025329 Oligo-B
T-cell-mixed                          SET    2412     0.048052     0.016209      0.02134     0.012178 T-cell-mixed
T-cell-parenchymal-1                  SET     370      0.14508     0.020354     0.050072    0.0018834 T-cell-parenchymal-1
T-cell-parenchymal-2                  SET     378     0.094498     0.013397     0.048744     0.026281 T-cell-parenchymal-2
Microglia-quiescent                   SET    3653     0.058478     0.023316     0.018163   0.00064311 Microglia-quiescent
Microglia-activated                   SET    3956     0.082711     0.033965     0.017416    1.031e-06 Microglia-activated
Perivascular                          SET    2006     0.033019     0.010285     0.022772     0.073542 Perivascular
Microglia-vascular                    SET     784     0.050121     0.010117     0.034804     0.074929 Microglia-vascular
Astrocyte-quiescent                   SET    4121     0.044895     0.018709     0.017679    0.0055559 Astrocyte-quiescent
OPC-A                                 SET    3153     0.051426     0.019369     0.019389    0.0040007 OPC-A
OPC-B                                 SET    3385     0.037882     0.014671     0.018942     0.022765 OPC-B
Ex-Neuron-L2-3-CBLN2-LINC023...       SET    5259     0.027751     0.012534     0.016134     0.042719 Ex-Neuron-L2-3-CBLN2-LINC02306-CUX2
Ex-Neuron-ADARB2-ERBB4                SET    3077   -0.0052374   -0.0019536     0.019192      0.60753 Ex-Neuron-ADARB2-ERBB4
In-Neuron-PRKG1-TBC1D4                SET    4174    0.0016449   0.00068858     0.017342      0.46222 In-Neuron-PRKG1-TBC1D4
In-Neuron-ADARB2-LAMP5-NRG1           SET    4315     0.027655     0.011712     0.017061     0.052531 In-Neuron-ADARB2-LAMP5-NRG1
Ex-Neuron-L4-5-RORB-IL1RAPL2          SET    5432     0.016516    0.0075312     0.016183      0.15374 Ex-Neuron-L4-5-RORB-IL1RAPL2
Ex-Neuron-L6-THEMIS-NFIA              SET    5166     0.020571    0.0092406     0.016194      0.10201 Ex-Neuron-L6-THEMIS-NFIA
low-feature-cells                     SET    3580     0.036768     0.014549     0.018395     0.022825 low-feature-cells
Ex-Neuron-L3-5-RORB-PLCH1             SET    4308     0.030141     0.012758     0.017273     0.040502 Ex-Neuron-L3-5-RORB-PLCH1
Ex-Neuron-DLC1-HS3ST4                 SET    4794     0.023716     0.010406     0.016527     0.075655 Ex-Neuron-DLC1-HS3ST4
Ex-Neuron-CBLN2-NRGN                  SET    2476     0.011258      0.00384     0.021211      0.29779 Ex-Neuron-CBLN2-NRGN
In-Neuron-ADARB2-GRM7                 SET    3561     0.014194    0.0056052       0.0184      0.22024 In-Neuron-ADARB2-GRM7
In-Neuron-TRHDE-RALYL                 SET    3066     0.035386      0.01318      0.01959     0.035445 In-Neuron-TRHDE-RALYL
In-Neuron-ADARB2-IL1RAPL2-CS...       SET    2906     0.014238    0.0051898     0.019862      0.23674 In-Neuron-ADARB2-IL1RAPL2-CSCL14
In-Neuron-ADARB2-NRG1-RELN            SET    2216     0.037474      0.01219     0.022314      0.04655 In-Neuron-ADARB2-NRG1-RELN
In-Neuron-DPP10-MEF2C                 SET    3092     0.021588    0.0080681      0.01936      0.13242 In-Neuron-DPP10-MEF2C
ambiguous                             SET    3301     0.032263     0.012373     0.018658     0.041901 ambiguous
