# TOTAL_GENES = 18215
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
T-Pericyte                            SET    1759     0.081222     0.023991      0.02655    0.0011113 T-Pericyte
Oligo-A                               SET    1758     0.033731     0.009961     0.026914      0.10506 Oligo-A
Astrocyte-activated                   SET    1728     0.076948     0.022549     0.027036    0.0022153 Astrocyte-activated
Trans-Endo-to-mural                   SET    1818     0.061836     0.018535     0.024912    0.0065333 Trans-Endo-to-mural
Oligo-B                               SET    1751     0.071038      0.02094     0.026268    0.0034253 Oligo-B
Perivascular-FB-KAZN2                 SET    1754     0.070112     0.020683     0.026123    0.0036417 Perivascular-FB-KAZN2
Perivascular-FB                       SET    1756     0.060916      0.01798     0.026922     0.011832 Perivascular-FB
Capillary                             SET    1766     0.050904     0.015063      0.02623     0.026158 Capillary
Arterial                              SET    1771     0.062076     0.018392     0.026316    0.0091701 Arterial
Venous                                SET    1799     0.061756     0.018425     0.025812    0.0083711 Venous
T-cell-mixed                          SET    1753     0.083825     0.024722     0.026737   0.00086009 T-cell-mixed
Microglia-quiescent                   SET    1745     0.056481     0.016624     0.026366     0.016097 Microglia-quiescent
Microglia-activated                   SET    1767      0.07685     0.022746     0.026316    0.0017508 Microglia-activated
Perivascular                          SET    1752      0.07975     0.023514     0.026432    0.0012775 Perivascular
Astrocyte-quiescent                   SET    1660     0.018873    0.0054318      0.02732      0.24485 Astrocyte-quiescent
OPC-A                                 SET    1686     0.043067     0.012482     0.027588     0.059267 OPC-A
OPC-B                                 SET    1737     0.064982     0.019086     0.027284    0.0086217 OPC-B
Ex-Neuron-L2-3-CBLN2-LINC023...       SET    1697    0.0054128    0.0015733     0.026839      0.42008 Ex-Neuron-L2-3-CBLN2-LINC02306-CUX2
Ex-Neuron-ADARB2-ERBB4                SET    1673    -0.052893    -0.015276     0.026832      0.97565 Ex-Neuron-ADARB2-ERBB4
In-Neuron-PRKG1-TBC1D4                SET    1711    -0.018668   -0.0054464     0.026773      0.75718 In-Neuron-PRKG1-TBC1D4
In-Neuron-ADARB2-LAMP5-NRG1           SET    1721    -0.032938   -0.0096345     0.026787      0.89058 In-Neuron-ADARB2-LAMP5-NRG1
Ex-Neuron-L4-5-RORB-IL1RAPL2          SET    1645    -0.027742   -0.0079519     0.027053      0.84742 Ex-Neuron-L4-5-RORB-IL1RAPL2
Ex-Neuron-L6-THEMIS-NFIA              SET    1647   -0.0050714   -0.0014544     0.027109       0.5742 Ex-Neuron-L6-THEMIS-NFIA
low-feature-cells                     SET    1777     0.037856     0.011233     0.025339     0.067599 low-feature-cells
Ex-Neuron-L3-5-RORB-PLCH1             SET    1653   -0.0050359   -0.0014466     0.027575      0.57245 Ex-Neuron-L3-5-RORB-PLCH1
Ex-Neuron-DLC1-HS3ST4                 SET    1657   -0.0035857   -0.0010311     0.027039      0.55275 Ex-Neuron-DLC1-HS3ST4
In-Neuron-ADARB2-GRM7                 SET    1727     0.022124    0.0064816     0.026967        0.206 In-Neuron-ADARB2-GRM7
In-Neuron-TRHDE-RALYL                 SET    1736     0.031029    0.0091114     0.026929      0.12462 In-Neuron-TRHDE-RALYL
In-Neuron-ADARB2-IL1RAPL2-CS...       SET    1721     0.018787    0.0054953     0.026974      0.24307 In-Neuron-ADARB2-IL1RAPL2-CSCL14
In-Neuron-ADARB2-NRG1-RELN            SET    1748     0.018287    0.0053864     0.026726      0.24692 In-Neuron-ADARB2-NRG1-RELN
In-Neuron-DPP10-MEF2C                 SET    1728     0.010152    0.0029749     0.026867      0.35277 In-Neuron-DPP10-MEF2C
ambiguous                             SET    1674   -0.0083134   -0.0024017     0.027163      0.62022 ambiguous
