# TOTAL_GENES = 18144
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Oligo-A                               SET    4307     0.043733     0.018608     0.017996    0.0075506 Oligo-A
Astrocyte-activated                   SET    3663     0.060656     0.024348     0.019196   0.00079052 Astrocyte-activated
Oligo-B                               SET    3715     0.067215     0.027123     0.018612   0.00015269 Oligo-B
T-cell-mixed                          SET    2409     0.082026     0.027835     0.022723   0.00015358 T-cell-mixed
T-cell-parenchymal-1                  SET     370      0.11953     0.016895      0.05384     0.013213 T-cell-parenchymal-1
T-cell-parenchymal-2                  SET     378     0.095758     0.013677     0.052683     0.034568 T-cell-parenchymal-2
Microglia-quiescent                   SET    3647     0.066441     0.026627     0.018863   0.00021447 Microglia-quiescent
Microglia-activated                   SET    3950     0.091467     0.037748     0.018284   2.8537e-07 Microglia-activated
Perivascular                          SET    2004     0.065808     0.020628     0.024309    0.0033969 Perivascular
Microglia-vascular                    SET     783      0.07706     0.015659     0.037156     0.019048 Microglia-vascular
Astrocyte-quiescent                   SET    4113     0.061856     0.025899     0.018053    0.0003066 Astrocyte-quiescent
OPC-A                                 SET    3147     0.068451     0.025918     0.020355   0.00038654 OPC-A
OPC-B                                 SET    3378     0.049127     0.019123     0.019757    0.0064549 OPC-B
Ex-Neuron-L2-3-CBLN2-LINC023...       SET    5248     0.032125     0.014566     0.016357     0.024776 Ex-Neuron-L2-3-CBLN2-LINC02306-CUX2
Ex-Neuron-ADARB2-ERBB4                SET    3074    -0.022601   -0.0084786     0.019852      0.87254 Ex-Neuron-ADARB2-ERBB4
In-Neuron-PRKG1-TBC1D4                SET    4168     0.013242    0.0055703     0.017815      0.22865 In-Neuron-PRKG1-TBC1D4
In-Neuron-ADARB2-LAMP5-NRG1           SET    4304     0.018714    0.0079608      0.01736      0.14052 In-Neuron-ADARB2-LAMP5-NRG1
Ex-Neuron-L4-5-RORB-IL1RAPL2          SET    5418     0.026499     0.012127      0.01601      0.04896 Ex-Neuron-L4-5-RORB-IL1RAPL2
Ex-Neuron-L6-THEMIS-NFIA              SET    5151     0.026757     0.012065      0.01618     0.049109 Ex-Neuron-L6-THEMIS-NFIA
low-feature-cells                     SET    3574     0.057745     0.022967     0.019025    0.0012039 low-feature-cells
Ex-Neuron-L3-5-RORB-PLCH1             SET    4295     0.030604     0.013009     0.017501     0.040182 Ex-Neuron-L3-5-RORB-PLCH1
Ex-Neuron-DLC1-HS3ST4                 SET    4780     0.035962     0.015842     0.016651     0.015403 Ex-Neuron-DLC1-HS3ST4
Ex-Neuron-CBLN2-NRGN                  SET    2467     0.014448    0.0049524     0.021718      0.25295 Ex-Neuron-CBLN2-NRGN
In-Neuron-ADARB2-GRM7                 SET    3558     0.017597    0.0069869     0.019338      0.18143 In-Neuron-ADARB2-GRM7
In-Neuron-TRHDE-RALYL                 SET    3063     0.050243     0.018821     0.020386    0.0068631 In-Neuron-TRHDE-RALYL
In-Neuron-ADARB2-IL1RAPL2-CS...       SET    2902     0.020417    0.0074841     0.020929      0.16465 In-Neuron-ADARB2-IL1RAPL2-CSCL14
In-Neuron-ADARB2-NRG1-RELN            SET    2215     0.044405     0.014538     0.023568     0.029783 In-Neuron-ADARB2-NRG1-RELN
In-Neuron-DPP10-MEF2C                 SET    3087     0.021215    0.0079718     0.020029      0.14476 In-Neuron-DPP10-MEF2C
ambiguous                             SET    3293     0.042079     0.016219     0.019421     0.015138 ambiguous
