# TOTAL_GENES = 18423
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                    TYPE  NGENES         BETA     BETA_STD           SE            P
Arterial                     SET    2529     0.036262     0.012479     0.020581     0.039051
Arteriolar-SMC               SET    2190     0.048784     0.015789     0.021794     0.012603
Artirial-FB                  SET    1882   -0.0017016  -0.00051534     0.022584      0.53003
Capillary                    SET    2204     0.059042     0.019162     0.021752    0.0033236
M-Pericyte                   SET    2339     0.044271      0.01474      0.02137     0.019155
Meningeal-FB                 SET    1320      0.03471    0.0089521     0.027466      0.10317
Microglia-vascular           SET     868     0.043374    0.0091906      0.03169     0.085557
Pericyte                     SET    2514     0.054497     0.018708     0.020714    0.0042623
Pericyte-2                   SET    2449     0.041727     0.014167      0.02112     0.024103
Pericyte-FB                  SET    1351     0.010721    0.0027948       0.0273      0.34727
Perivascular-FB              SET    1612     0.028836    0.0081481     0.025047      0.12482
Perivascular-FB-KAZN2        SET    1946     0.048013     0.014758     0.022759     0.017454
T-Pericyte                   SET    2478     0.049253     0.016805     0.020693    0.0086572
T-cell-mixed                 SET    1498     0.070097     0.019159     0.025835    0.0033352
T-cell-vascular              SET    1087     0.029512     0.006954     0.029514      0.15868
Trans-Endo-to-mural          SET    3490     0.044756     0.017538     0.018171    0.0068923
Vascular-SMC                 SET    2597     0.029676     0.010327     0.020438     0.073262
Vascular-SMC-LINC00486       SET    1660     0.045022     0.012891     0.024559     0.033398
Venous                       SET    3065     0.032753     0.012198     0.018905     0.041601
