# TOTAL_GENES = 18353
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                    TYPE  NGENES         BETA     BETA_STD           SE            P
Arterial                     SET     281    -0.019154   -0.0023519     0.058449      0.62843
Arteriolar-SMC               SET     279     0.074422    0.0091062     0.058649      0.10224
Artirial-FB                  SET     252   0.00089883    0.0001046     0.060396      0.49406
Capillary                    SET     281    -0.039446   -0.0048436     0.058017      0.75172
M-Pericyte                   SET     281    -0.011818   -0.0014511     0.057017       0.5821
Meningeal-FB                 SET     274    -0.014212   -0.0017236     0.059357      0.59462
Microglia-vascular           SET     286       0.1118     0.013847     0.052857     0.017219
Pericyte                     SET     286   -0.0037597  -0.00046567     0.055647      0.52693
Pericyte-2                   SET     266    -0.026292   -0.0031424     0.061181      0.66631
Pericyte-FB                  SET     262    -0.035223   -0.0041784     0.058896      0.72509
Perivascular-FB              SET     265    -0.007754  -0.00092502     0.059745      0.55163
Perivascular-FB-KAZN2        SET     284     0.062294    0.0076891     0.058939      0.14528
T-Pericyte                   SET     278     0.006496   0.00079344     0.057603      0.45511
T-cell-mixed                 SET     284      0.15449     0.019069      0.05546    0.0026751
T-cell-vascular              SET     276      0.10256     0.012482     0.056046     0.033647
Trans-Endo-to-mural          SET     273     0.046974    0.0056865     0.058919      0.21265
Vascular-SMC                 SET     286      0.10754      0.01332     0.056743     0.029045
Vascular-SMC-LINC00486       SET     282      0.11387     0.014006     0.056482     0.021909
Venous                       SET     271    -0.036184   -0.0043645     0.057672       0.7348
