# TOTAL_GENES = 18215
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                    TYPE  NGENES         BETA     BETA_STD           SE            P
T-Pericyte                   SET     142     -0.12947    -0.011387     0.089629      0.92569
M-Pericyte                   SET     139      -0.0999   -0.0086937     0.090281      0.86575
Pericyte                     SET     145    -0.049825   -0.0044278     0.086865      0.71687
Pericyte-2                   SET     139     -0.12856    -0.011188     0.090875      0.92142
Oligo-A                      SET     126     0.035305    0.0029263     0.094431      0.35425
Vascular-SMC                 SET     144     0.010581   0.00093708     0.088616      0.45248
Arteriolar-SMC               SET     140     0.032182    0.0028106     0.089088      0.35896
Vascular-SMC-LINC00486       SET     145     0.028901    0.0025683     0.087514      0.37061
Trans-Endo-to-mural          SET     142     0.051734    0.0045501     0.085878      0.27345
Perivascular-FB-KAZN2        SET     143      0.10534    0.0092969     0.090519      0.12228
Perivascular-FB              SET     128    -0.015312   -0.0012791     0.092979       0.5654
Meningeal-FB                 SET     141    -0.063808   -0.0055924     0.090722      0.75907
Artirial-FB                  SET     130     0.087213    0.0073416     0.092379      0.17257
Pericyte-FB                  SET     132    -0.010685  -0.00090628     0.091417      0.54652
Capillary                    SET     140     -0.07307   -0.0063815     0.090355      0.79065
Arterial                     SET     142    -0.054512   -0.0047944      0.08977      0.72815
Venous                       SET     138   -0.0047541  -0.00041224     0.090912      0.52085
T-cell-mixed                 SET     143      0.15275     0.013481     0.088383     0.041981
T-cell-vascular              SET     144      0.15209     0.013469     0.089184     0.044079
Perivascular                 SET     144      0.30867     0.027337     0.084711    0.0001347
Microglia-vascular           SET     143      0.25818     0.022787     0.084283    0.0010962
low-feature-cells            SET     139    -0.079898   -0.0069531     0.093606      0.80332
