# TOTAL_GENES = 18144
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                    TYPE  NGENES         BETA     BETA_STD           SE            P
Arterial                     SET    2526     0.024984    0.0086492     0.021817      0.12608
Arteriolar-SMC               SET    2187      0.05861     0.019083     0.023273    0.0058999
Artirial-FB                  SET    1878     0.004366      0.00133     0.023484      0.42626
Capillary                    SET    2198     0.063803     0.020819     0.023073    0.0028464
M-Pericyte                   SET    2337     0.046162     0.015464     0.022963     0.022211
Meningeal-FB                 SET    1319     0.024582    0.0063825     0.029715      0.20405
Microglia-vascular           SET     864     0.029968    0.0063822     0.033884      0.18824
Pericyte                     SET    2511     0.047379     0.016361     0.021789     0.014844
Pericyte-2                   SET    2447     0.060034     0.020507     0.021695    0.0028301
Pericyte-FB                  SET    1351      0.02806    0.0073664     0.029097      0.16744
Perivascular-FB              SET    1611     0.054108     0.015391     0.027135     0.023082
Perivascular-FB-KAZN2        SET    1945     0.042395     0.013116     0.024156     0.039632
T-Pericyte                   SET    2475     0.034016     0.011675      0.02212     0.062062
T-cell-mixed                 SET    1497     0.056029     0.015416     0.028114     0.023141
T-cell-vascular              SET    1081     0.055717     0.013189     0.030848     0.035456
Trans-Endo-to-mural          SET    3479      0.05051     0.019885     0.018782    0.0035834
Vascular-SMC                 SET    2592     0.024659    0.0086291     0.021652      0.12738
Vascular-SMC-LINC00486       SET    1658     0.036811     0.010607     0.026237     0.080315
Venous                       SET    3060     0.032185     0.012052     0.019759     0.051673
