# ALPHA = 0.05
# NUMBER_OF_TESTS = 6

# _SET1_  VARIABLE = Astro (set)
# _SET1_  NGENES = 2560
# _SET1_  P-VALUE = 2.71253e-07
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   116983        1    1202764    1268304    169      19  36989      -1.1201      0.74256             0      -1.1201
_SET1_   643965        1    1336508    1388167    154      16  36989     -0.59437      0.48453             0     -0.59437
_SET1_   2782          1    1691725    1847552    208      15  36989     -0.13831      0.27654    2.7756e-17     -0.13831
_SET1_   5590          1    1956909    2141834    455      29  36989        1.592    0.0069059             0        1.592
_SET1_   63976         1    2960565    3380185   1565     154  36989      0.70956      0.01601             0      0.70956
_SET1_   55966         1    4690105    4868851    836      92  36989     -0.42836      0.26466             0     -0.42836
_SET1_   26038         1    6136847    6265194    399      40  36989      -1.3928       0.7082             0      -1.3928
_SET1_   23261         1    6820384    7854766   2961     201  36989      -2.0071      0.46994             0      -2.0071
_SET1_   8863          1    7819413    7930241    440      35  36989     -0.15549      0.23984    2.7756e-17     -0.15549
_SET1_   473           1    8387464    8902699    834      30  36989       3.6341   1.2421e-06             0       3.6341
_SET1_   2023          1    8896059    8964151    137      16  36989       1.5474     0.011538             0       1.5474
_SET1_   84275         1    9574528    9667831    135      13  36989      -1.3229      0.74492             0      -1.3229
_SET1_   56998         1    9883334    9995316    196      30  36989      0.63644      0.09039             0      0.63644
_SET1_   10277         1   10068041   10266297    431      22  36989      -0.2545      0.32271             0      -0.2545
_SET1_   23095         1   10245606   10466664    699      20  36989      0.29888      0.10456             0      0.29888
_SET1_   9249          1   12602939   12702820    408      47  36989      -1.0098      0.55971             0      -1.0098
_SET1_   7799          1   14001714   14176574    575      33  36989      0.12504      0.15869    2.7756e-17      0.12504
_SET1_   23254         1   14194646   15469544   4859     340  36989     -0.58401     0.064901             0     -0.58401
_SET1_   55160         1   17821693   18049370    523      49  36989      -1.7263      0.79639             0      -1.7263
_SET1_   84966         1   18409240   18729977   1182     138  36989       1.7642    0.0014398             0       1.7642
_SET1_   23352         1   19376000   19561812    415      24  36989     -0.86549      0.51356             0     -0.86549
_SET1_   55450         1   20783884   20837728    112      21  36989      0.20274      0.17833    2.7756e-17      0.20274
_SET1_   50809         1   21044170   21138808    195      21  36989       2.0289    0.0027818             0       2.0289
_SET1_   8672          1   21107785   21528381    783      23  36989       1.7031    0.0031353             0       1.7031
_SET1_   1889          1   21518740   21697034    514      42  36989     -0.48407      0.33956             0     -0.48407
_SET1_   84196         1   21979791   22134688    548      39  36989       1.4783    0.0091864             0       1.4783
_SET1_   998           1   22354120   22444439    311      22  36989       1.8017    0.0050998             0       1.8017
_SET1_   2048          1   23012263   23266823    544      62  36989     -0.23205      0.24217    2.7756e-17     -0.23205
_SET1_   7798          1   23385516   23529301    300      18  36989     -0.49877      0.39452             0     -0.49877
_SET1_   55616         1   23730056   23835750    269      18  36989      -1.2104      0.69861             0      -1.2104
_SET1_   57185         1   24717245   24824473    275      21  36989        1.158     0.026509             0        1.158
_SET1_   10250         1   24944594   25024772    140      17  36989        1.012     0.042246             0        1.012
_SET1_   25932         1   25046760   25195815    246      23  36989      -1.3029        0.702             0      -1.3029
_SET1_   55219         1   25732388   25851700    126       2  36989      -0.2652      0.40341             0      -0.2652
_SET1_   3925          1   26185670   26258368     78       7  36989      -2.5053      0.96709             0      -2.5053
_SET1_   8289          1   26997522   27133601    175      12  36989       2.1343    0.0032486             0       2.1343
_SET1_   10163         1   27705734   27841678    194       9  36989     -0.62683      0.50587             0     -0.62683
_SET1_   27245         1   27835756   27955463    140      17  36989      0.95476     0.063399             0      0.95476
_SET1_   65979         1   28671093   28851881    529      10  36989        1.168     0.023524             0        1.168
_SET1_   1307          1   32092848   32194768    170      22  36989     -0.86252      0.54369             0     -0.86252
_SET1_   8073          1   32347022   32428988    133      21  36989     0.012172       0.2605    1.5613e-17     0.012172
_SET1_   65108         1   32774430   32826840     23      15  36989       0.4394      0.19875             0       0.4394
_SET1_   113451        1   33521711   33611132    128      14  36989      -0.6721      0.49008             0      -0.6721
_SET1_   1912          1   33764224   33866194    277      19  36989      0.14938      0.18142    2.7756e-17      0.14938
_SET1_   114784        1   33954609   34656443   1951     171  36989     -0.82149      0.18805             0     -0.82149
_SET1_   79932         1   35874091   36048037    164      12  36989       1.9101     0.010362             0       1.9101
_SET1_   23499         1   39524839   39977810    960      42  36989      0.59025     0.044074             0      0.59025
_SET1_   10450         1   40179517   40254586    240      34  36989     -0.54629      0.40678             0     -0.54629
_SET1_   64744         1   40814378   40913998    265      34  36989     -0.29113      0.31948             0     -0.29113
_SET1_   4802          1   41132242   41262275    333      25  36989       1.5058     0.010899             0       1.5058
_SET1_   22955         1   41467871   41732815    679      24  36989       1.0551     0.022228             0       1.0551
_SET1_   59269         1   41947036   42526596   1525      70  36989     -0.81732      0.24565             0     -0.81732
_SET1_   79033         1   44661742   44846315    298      21  36989      0.63984     0.080057             0      0.63984
_SET1_   55182         1   44845837   45142396    830      91  36989     -0.22695      0.20339    2.7756e-17     -0.22695
_SET1_   339541        1   45115370   45216263    257      37  36989     -0.90201      0.55051             0     -0.90201
_SET1_   57643         1   45457071   45697250    459      26  36989      -0.9972      0.56799             0      -0.9972
_SET1_   10420         1   45784555   45981840    295      15  36989      -1.2937       0.7064             0      -1.2937
_SET1_   8569          1   46998079   47094966    231      28  36989     0.041083      0.20661    1.3878e-17     0.041083
_SET1_   84871         1   48973527   50514626   2323      59  36989       1.6463    0.0001263             0       1.6463
_SET1_   11124         1   50881935   51450936    791      27  36989     0.092811      0.13694    1.3878e-17     0.092811
_SET1_   114883        1   52057546   52279891    367      26  36989     -0.86956      0.58625             0     -0.86956
_SET1_   23318         1   52863947   53043764    299      19  36989      0.29347      0.16909             0      0.29347
_SET1_   55268         1   53336582   53417846    125      15  36989      -1.5196      0.79269             0      -1.5196
_SET1_   6342          1   53367901   53542289    615      21  36989      -1.9821      0.88116             0      -1.9821
_SET1_   9528          1   54472346   54544135    184      25  36989      0.82353     0.062833             0      0.82353
_SET1_   26027         1   54982930   55125417    530      45  36989      -1.9085      0.84414             0      -1.9085
_SET1_   374977        1   55082427   55200939    481      43  36989      -0.8839      0.50127             0      -0.8839
_SET1_   8613          1   56935419   57070257    405      40  36989      -2.1614      0.90539             0      -2.1614
_SET1_   1600          1   57435453   58741211   3923     212  36989      -0.6467     0.077944             0      -0.6467
_SET1_   55277         1   59737625   60253402   1256      85  36989    -0.092341      0.11122    1.3878e-17    -0.092341
_SET1_   4774          1   61517946   61953460   1068     104  36989      0.28834     0.074879             0      0.28834
_SET1_   85440         1   62895397   63179039    410      12  36989     -0.89132      0.54428             0     -0.89132
_SET1_   84938         1   63224777   63355941    288      11  36989     -0.63351      0.46186             0     -0.63351
_SET1_   23421         1   63881441   64013944    330      17  36989     -0.88792      0.54581             0     -0.88792
_SET1_   5236          1   64033947   64150916    357      42  36989     -0.54089      0.38384             0     -0.54089
_SET1_   4919          1   64214690   64672181   1161      78  36989      -1.9987      0.76624             0      -1.9987
_SET1_   57685         1   64911476   65183741    609      76  36989     -0.44236      0.32603             0     -0.44236
_SET1_   55225         1   65185778   65323915    295      22  36989      0.81355     0.059198             0      0.81355
_SET1_   3716          1   65273906   65457593    467      33  36989        1.771      0.00452             0        1.771
_SET1_   205           1   65588232   65722828    364      35  36989      0.74184     0.059086             0      0.74184
_SET1_   9829          1   65695133   65906552    596      38  36989       -2.595      0.94945             0       -2.595
_SET1_   3953          1   65861335   66128176    790      33  36989      -0.1007      0.16929    1.3878e-17      -0.1007
_SET1_   5142          1   66233193   66865262   1663      83  36989        2.219   7.1978e-05             0        2.219
_SET1_   84251         1   66974066   67235768    938      30  36989     -0.79551      0.36619             0     -0.79551
_SET1_   79819         1   67253568   67415907    348      41  36989      -1.8247      0.84092             0      -1.8247
_SET1_   55970         1   68142149   68324436    460      35  36989       2.5356   0.00032106             0       2.5356
_SET1_   79971         1   68539142   68723284    692      78  36989      -1.1596      0.57043             0      -1.1596
_SET1_   57554         1   70008230   70614171   1682      71  36989     -0.28308     0.094124             0     -0.28308
_SET1_   9295          1   70646365   70742703    151      17  36989     -0.57622       0.4745             0     -0.57622
_SET1_   257194        1   71843625   72773533   2010      91  36989       1.4914   0.00050654             0       1.4914
_SET1_   204962        1   75642816   76106698   1229      48  36989     -0.87404      0.32594             0     -0.87404
_SET1_   10026         1   77529666   77710132    485      31  36989     -0.43386      0.33626             0     -0.43386
_SET1_   26289         1   77722662   78050654   1187      74  36989      0.14688     0.078269    2.7756e-17      0.14688
_SET1_   26009         1   78003160   78174119    328      22  36989      0.69701     0.071611             0      0.69701
_SET1_   23032         1   78136672   78250564    184      25  36989      0.55749      0.10325             0      0.55749
_SET1_   374986        1   78220309   78370225    256      28  36989       1.2892     0.023451             0       1.2892
_SET1_   23266         1   82241082   82483107    704      46  36989      -1.4465      0.66966             0      -1.4465
_SET1_   79739         1   84310057   84489850    501      22  36989      0.10009      0.16718    1.3878e-17      0.10009
_SET1_   5567          1   84518745   84729181    362      26  36989      0.83801     0.048477             0      0.83801
_SET1_   23576         1   85759168   86069046    919      65  36989      0.74826     0.030081             0      0.74826
_SET1_   57489         1   86787507   86887025    352      25  36989     -0.76042      0.48335             0     -0.76042
_SET1_   9653          1   87355335   87600681    613      19  36989      -1.2932      0.66748             0      -1.2932
_SET1_   23507         1   89964933   90088420    318      22  36989      0.11807      0.18061    1.3878e-17      0.11807
_SET1_   84230         1   90073644   90210094    256      16  36989    -0.081355      0.25093    1.3878e-17    -0.081355
_SET1_   55144         1   90261573   90426991    264      40  36989       0.9807      0.03775             0       0.9807
_SET1_   164045        1   91701323   91895426    436      31  36989      0.15252      0.15808    2.7756e-17      0.15252
_SET1_   7049          1   92120900   92396559    953      76  36989      -0.9433      0.41838             0      -0.9433
_SET1_   7813          1   92949253   93282961    764      15  36989       1.2814     0.012268             0       1.2814
_SET1_   388650        1   93273286   93452079    282      11  36989       0.9807     0.044139             0       0.9807
_SET1_   54874         1   93888688   94045218    221      31  36989     -0.15722      0.27566    2.7756e-17     -0.15722
_SET1_   8412          1   94002343   94337706   1046      35  36989       -1.834      0.74673             0       -1.834
_SET1_   2152          1   94969732   95032413    124      26  36989    -0.010153      0.22792    1.5613e-17    -0.010153
_SET1_   126969        1   95260898   95385803    455      57  36989     -0.78484      0.46062             0     -0.78484
