# ALPHA = 0.05
# NUMBER_OF_TESTS = 29

# _SET1_  VARIABLE = Microglia-quiescent (set)
# _SET1_  NGENES = 889
# _SET1_  P-VALUE = 0.000965258
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   23261         1    6810384    7839766   4535     347  469990      0.10935      0.25924    1.3878e-16      0.10935
_SET1_   8863          1    7809413    7915241    452      49  474483      0.65845      0.13289    1.1102e-16      0.65845
_SET1_   6518          1    9087005    9166763    414      55  471932       1.6716     0.015801    2.2204e-16       1.6716
_SET1_   5293          1    9676789    9799172    556      86  461632       1.4409     0.027153    2.2204e-16       1.4409
_SET1_   10277         1   10058041   10251297    689      48  469162     -0.43292      0.54564    1.6653e-16     -0.43292
_SET1_   23095         1   10235606   10451664    906      39  473632      0.27733      0.24746    1.6653e-16      0.27733
_SET1_   7133          1   12192044   12279279    383      67  470965    -0.072167      0.34267    1.3878e-16    -0.072167
_SET1_   23254         1   14184646   15454544   6947     501  468615       1.4119     0.021563    2.2204e-16       1.4119
_SET1_   84966         1   18399240   18714977   1717     250  467668      -1.9808      0.93461    2.2204e-16      -1.9808
_SET1_   55450         1   20798884   20847728    186      50  467091      0.26344      0.24275    1.6653e-16      0.26344
_SET1_   1889          1   21533740   21707034    822     104  467306       0.2805      0.21513    1.6653e-16       0.2805
_SET1_   25932         1   25036760   25180815    375      73  462149      0.39998      0.18029    1.6653e-16      0.39998
_SET1_   6195          1   26821249   26911520    323      52  464996      0.82917     0.095705    1.1102e-16      0.82917
_SET1_   7805          1   31195315   31265683    355      77  464829       2.1734    0.0033547             0       2.1734
_SET1_   114784        1   33969609   34666443   3190     321  467303     0.051904      0.28268    1.4572e-16     0.051904
_SET1_   1441          1   36921644   36983915    266      56  472708      0.93912     0.086199    1.1102e-16      0.93912
_SET1_   64744         1   40804378   40898998    349      73  471965      -1.2758       0.7855    2.2204e-16      -1.2758
_SET1_   5792          1   43956708   44099343    653      54  459610       2.4664    0.0014991             0       2.4664
_SET1_   55182         1   44835837   45127396   1202     176  468476        1.592     0.018042    2.2204e-16        1.592
_SET1_   57643         1   45472071   45707250    703      73  469151     -0.31961      0.45112    1.6653e-16     -0.31961
_SET1_   8569          1   47013079   47104966    382      66  461955      0.10958      0.27034    1.3878e-16      0.10958
_SET1_   84871         1   48988527   50524626   4592     135  458185       0.1399      0.25007    1.3878e-16       0.1399
_SET1_   8613          1   56950419   57080257    621      78  469566    -0.045797      0.32088    1.4572e-16    -0.045797
_SET1_   9829          1   65685133   65891552    814      68  467080        1.133     0.049346    2.2204e-16        1.133
_SET1_   5142          1   66223193   66850262   2519     185  467523      -0.5386      0.50617    1.1102e-16      -0.5386
_SET1_   84251         1   66964066   67220768   1256      55  468663      0.35922      0.19665    1.6653e-16      0.35922
_SET1_   57554         1   69998230   70599171   2483     161  466822       1.2783     0.035166    2.2204e-16       1.2783
_SET1_   257194        1   71858625   72783533   3148     180  464360      0.14228      0.25107    1.3878e-16      0.14228
_SET1_   256435        1   76505389   77110311   2792     261  464911      -1.7083      0.88946    2.2204e-16      -1.7083
