# ALPHA = 0.05
# NUMBER_OF_TESTS = 19

# _SET1_  VARIABLE = T-Pericyte (set)
# _SET1_  NGENES = 2100
# _SET1_  P-VALUE = 0.000656501
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   57801         1     884342     986608    241      23  36989     -0.45894      0.35787    8.8818e-16     -0.45894
_SET1_   375790        1     905503    1041499    325      23  36989     -0.61102       0.4104    8.8818e-16     -0.61102
_SET1_   81669         1    1271091    1384718    352      18  36989      -0.6809      0.51533    8.8818e-16      -0.6809
_SET1_   6497          1    2110134    2291652    588      69  36989      0.89004     0.028765    8.8818e-16      0.89004
_SET1_   23261         1    6795384    7879766   3155     205  36989      -1.8326      0.39583    8.8818e-16      -1.8326
_SET1_   473           1    8362464    8927699    959      31  36989       3.5024   2.2842e-06    8.8818e-16       3.5024
_SET1_   5293          1    9661789    9839172    289      36  36989     -0.47745      0.35258    8.8818e-16     -0.47745
_SET1_   22883         1    9739079    9934550    302      30  36989   -0.0088105      0.22032    8.9165e-16   -0.0088105
_SET1_   10277         1   10043041   10291297    594      24  36989     -0.23066      0.29182    8.8818e-16     -0.23066
_SET1_   5195          1   10485003   10740815    657      46  36989      -1.7418      0.77368    8.8818e-16      -1.7418
_SET1_   5351          1   11944724   12085599    465      29  36989      0.65037     0.061733    8.8818e-16      0.65037
_SET1_   7133          1   12177044   12319279    411      55  36989      -1.1426      0.59793    8.8818e-16      -1.1426
_SET1_   55187         1   12240101   12622099    919      44  36989      -2.9279      0.97605    8.8818e-16      -2.9279
_SET1_   7799          1   13976714   14201574    731      41  36989     0.060148      0.15863    8.9512e-16     0.060148
_SET1_   23254         1   14169646   15494544   5043     341  36989      -0.6603     0.074734    8.8818e-16      -0.6603
_SET1_   55092         1   15429028   15596974    885      49  36989      -1.1172      0.50234    8.8818e-16      -1.1172
_SET1_   149563        1   16280731   16383184    526      28  36989      -0.6794      0.41493    8.8818e-16      -0.6794
_SET1_   23352         1   19351000   19586812    629      30  36989     -0.85143      0.47188    8.8818e-16     -0.85143
_SET1_   832           1   19615267   19862066    870      44  36989      0.27177     0.087516    8.8818e-16      0.27177
_SET1_   50809         1   21019170   21163808    350      27  36989       1.7524    0.0046722    8.8818e-16       1.7524
_SET1_   1889          1   21493740   21722034    673      52  36989    -0.079131      0.17937    8.8818e-16    -0.079131
_SET1_   249           1   21785475   21954905    681      65  36989      -1.0772      0.52296    8.8818e-16      -1.0772
_SET1_   3339          1   22098737   22313750    934      63  36989     -0.63291      0.33048    8.8818e-16     -0.63291
_SET1_   998           1   22329120   22469439    529      29  36989       1.9162    0.0026436    8.8818e-16       1.9162
_SET1_   7798          1   23360516   23554301    410      21  36989     -0.81109      0.49086    8.8818e-16     -0.81109
_SET1_   10236         1   23585953   23721143    207      20  36989      -1.5069      0.77532    8.8818e-16      -1.5069
_SET1_   3399          1   23834421   23936285    177      30  36989      -0.4949      0.34479    8.8818e-16      -0.4949
_SET1_   10772         1   24242935   24356953     11       5  36989     -0.24986      0.23022    8.8818e-16     -0.24986
_SET1_   25932         1   25021760   25220815    386      26  36989      -1.2737      0.65766    8.8818e-16      -1.2737
_SET1_   57035         1   25518740   25624010     60      17  36989        -1.61      0.76646    8.8818e-16        -1.61
_SET1_   6548          1   27375300   27531621    285      22  36989      0.87871     0.043219    8.8818e-16      0.87871
_SET1_   2268          1   27888800   28011727    173      25  36989         1.29     0.038051    8.8818e-16         1.29
_SET1_   23673         1   28049694   28200963    209      12  36989     -0.17311      0.43381    8.8818e-16     -0.17311
_SET1_   2140          1   28246855   28465173    524      38  36989      0.17047      0.13562    8.8818e-16      0.17047
_SET1_   2035          1   29163603   29496558    724      39  36989       2.9999   3.5317e-05    8.8818e-16       2.9999
_SET1_   6429          1   29424250   29558637    311      24  36989       1.9373    0.0032988    8.8818e-16       1.9373
_SET1_   3633          1   38276369   38462729    399      26  36989       1.9722    0.0023481    8.8818e-16       1.9722
_SET1_   23499         1   39499839   40002810   1099      38  36989      0.63989     0.040973    8.8818e-16      0.63989
_SET1_   26508         1   40039103   40155348    356      41  36989      0.54804     0.074763    8.8818e-16      0.54804
