# ALPHA = 0.05
# NUMBER_OF_TESTS = 6

# _SET1_  VARIABLE = Microglia (set)
# _SET1_  NGENES = 2532
# _SET1_  P-VALUE = 0.00796456
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   54991         1    1007198    1086736    445      57  459504       1.5354     0.022328    6.6613e-16       1.5354
_SET1_   116983        1    1217764    1278304    353      61  457628     -0.89314      0.70959    6.6613e-16     -0.89314
_SET1_   643965        1    1326508    1373167    237      45  461609     -0.70531      0.62826    6.6613e-16     -0.70531
_SET1_   2782          1    1706725    1857552    549      64  461322     -0.93629      0.67363    6.6613e-16     -0.93629
_SET1_   5590          1    1946909    2126834    980     118  465400      -2.1764       0.9517    4.4409e-16      -2.1764
_SET1_   6497          1    2125134    2251652    592     106  464827      -1.8112       0.9023    6.6613e-16      -1.8112
_SET1_   55966         1    4680105    4853851   1133     152  473410      -1.8608      0.91335    6.6613e-16      -1.8608
_SET1_   23261         1    6810384    7839766   4535     347  469990      0.11659      0.25924    6.5226e-16      0.11659
_SET1_   8863          1    7809413    7915241    452      49  474483      0.66709      0.13289    6.6613e-16      0.66709
_SET1_   6518          1    9087005    9166763    414      55  471932       1.6815     0.015801    6.6613e-16       1.6815
_SET1_   5293          1    9676789    9799172    556      86  461632       1.4485     0.027153    6.6613e-16       1.4485
_SET1_   22883         1    9779079    9919550    633      60  452429     -0.69035      0.62311    6.6613e-16     -0.69035
_SET1_   10277         1   10058041   10251297    689      48  469162     -0.43343      0.54564    6.6613e-16     -0.43343
_SET1_   23095         1   10235606   10451664    906      39  473632      0.28016      0.24746    6.6613e-16      0.28016
_SET1_   5394          1   11116675   11194961    287      17  470277      -1.2133      0.83537    6.6613e-16      -1.2133
_SET1_   7133          1   12192044   12279279    383      67  470965    -0.062064      0.34267    6.5226e-16    -0.062064
_SET1_   9249          1   12617939   12712820    532      93  469229     0.026825      0.29954    6.5573e-16     0.026825
_SET1_   23254         1   14184646   15454544   6947     501  468615       1.4227     0.021563    6.6613e-16       1.4227
_SET1_   55092         1   15444028   15556974    795      59  473443     -0.97034        0.688    6.6613e-16     -0.97034
_SET1_   11240         1   17383256   17480948    580      58  475303     -0.54959      0.52805    6.6613e-16     -0.54959
_SET1_   55920         1   17723251   17801250    394      51  463683      -1.0532      0.71423    6.6613e-16      -1.0532
_SET1_   55160         1   17811693   18034370   1063     121  466654       -1.672      0.88358    6.6613e-16       -1.672
_SET1_   84966         1   18399240   18714977   1717     250  467668       -1.977      0.93461    6.6613e-16       -1.977
_SET1_   832           1   19655267   19847066    991      76  470928       0.7104      0.11252    6.6613e-16       0.7104
_SET1_   440574        1   19888471   19966315    368      35  470132       1.7482     0.017059    6.6613e-16       1.7482
_SET1_   55450         1   20798884   20847728    186      50  467091      0.27238      0.24275    6.6613e-16      0.27238
_SET1_   8672          1   21122785   21538381   1271      60  468770       3.6411   1.9171e-05    4.4409e-16       3.6411
_SET1_   1889          1   21533740   21707034    822     104  467306       0.2895      0.21513    6.6613e-16       0.2895
_SET1_   713           1   22944682   22998130    232      44  468518     -0.81678      0.63491    6.6613e-16     -0.81678
_SET1_   6135          1   23983269   24032915    226      51  464734      0.38412      0.19574    6.6613e-16      0.38412
_SET1_   57185         1   24707245   24809473    479      54  468327      0.19216      0.25144    6.6613e-16      0.19216
_SET1_   25932         1   25036760   25180815    375      73  462149      0.41063      0.18029    6.6613e-16      0.41063
_SET1_   3925          1   26200670   26268368    218      43  457675       2.0609    0.0054066    4.4409e-16       2.0609
_SET1_   6195          1   26821249   26911520    323      52  464996       0.8383     0.095705    6.6613e-16       0.8383
_SET1_   8289          1   26987522   27118601    316      45  461622      0.76762      0.12531    6.6613e-16      0.76762
_SET1_   10163         1   27720734   27851678    406      58  464277      0.87854        0.102    6.6613e-16      0.87854
_SET1_   5724          1   28463677   28555447    292      69  462230      0.65733       0.1262    6.6613e-16      0.65733
_SET1_   2035          1   29178603   29456558   1021      72  462846       1.0434     0.065712    6.6613e-16       1.0434
_SET1_   7805          1   31195315   31265683    355      77  464829       2.1864    0.0033547    4.4409e-16       2.1864
_SET1_   9698          1   31394353   31573838    706      59  466407      -0.3181      0.44012    6.6613e-16      -0.3181
_SET1_   1307          1   32107848   32204768    364      78  461991      0.78853      0.09835    6.6613e-16      0.78853
_SET1_   65108         1   32789430   32836840    118      44  450848     -0.33677       0.5714    6.6613e-16     -0.33677
_SET1_   339487        1   33076421   33151565    338      28  466506       1.0988     0.095067    6.6613e-16       1.0988
_SET1_   1912          1   33779224   33876194    360      44  466556      -0.1525      0.37768    6.6613e-16      -0.1525
_SET1_   114784        1   33969609   34666443   3190     321  467303     0.058655      0.28268    6.5226e-16     0.058655
_SET1_   9202          1   35699444   35897545    616      58  461833      0.55778      0.21589    6.6613e-16      0.55778
_SET1_   192670        1   36238231   36333491    286      49  461214      0.70543       0.1504    6.6613e-16      0.70543
_SET1_   1441          1   36921644   36983915    266      56  472708      0.94759     0.086199    6.6613e-16      0.94759
_SET1_   23499         1   39514839   39962810   1542      84  469792     -0.88303      0.66748    6.6613e-16     -0.88303
_SET1_   10487         1   40470912   40548321    378      27  465309        1.426     0.037726    6.6613e-16        1.426
_SET1_   64744         1   40804378   40898998    349      73  471965      -1.2646       0.7855    6.6613e-16      -1.2646
_SET1_   59269         1   41962036   42536596   2359     131  468659      0.88871     0.078898    6.6613e-16      0.88871
_SET1_   728621        1   42965560   43130335    685      43  471413       1.8096     0.011948    6.6613e-16       1.8096
_SET1_   5792          1   43956708   44099343    653      54  459610       2.4737    0.0014991    4.4409e-16       2.4737
_SET1_   79033         1   44676742   44856315    570      59  464359       1.2937     0.040081    6.6613e-16       1.2937
_SET1_   55182         1   44835837   45127396   1202     176  468476       1.5996     0.018042    6.6613e-16       1.5996
_SET1_   6202          1   45206213   45254427    175      43  463665      -1.9855      0.93926    6.6613e-16      -1.9855
_SET1_   57643         1   45472071   45707250    703      73  469151     -0.31376      0.45112    6.6613e-16     -0.31376
_SET1_   10420         1   45799555   45991840    622      50  460996      -1.7955      0.90839    6.6613e-16      -1.7955
_SET1_   60313         1   46082976   46188782    384      28  465972      -1.8947      0.93245    6.6613e-16      -1.8947
_SET1_   8569          1   47013079   47104966    382      66  461955      0.11929      0.27034    6.5226e-16      0.11929
_SET1_   64756         1   47090711   47169099    285      26  463535     -0.86759      0.67921    6.6613e-16     -0.86759
_SET1_   84871         1   48988527   50524626   4592     135  458185      0.14427      0.25007    6.6613e-16      0.14427
_SET1_   2060          1   51809935   52020026    919      46  472475        1.921     0.012334    6.6613e-16        1.921
_SET1_   114883        1   52047546   52264891    641      77  460771      0.22244      0.27719    6.6613e-16      0.22244
_SET1_   9372          1   52572678   52822358    798      67  458005     -0.80432      0.68616    6.6613e-16     -0.80432
_SET1_   9528          1   54487346   54554135    243      52  470879     0.087869      0.32566    6.5226e-16     0.087869
_SET1_   23648         1   54681104   54907068   1056     160  466922     -0.48632      0.48799    6.6613e-16     -0.48632
_SET1_   26027         1   54972930   55110417    772     100  468738       1.3046     0.037237    6.6613e-16       1.3046
_SET1_   374977        1   55072427   55185939    635     106  471229      0.67752      0.11929    6.6613e-16      0.67752
_SET1_   23358         1   55522032   55716039    740      62  471142      -1.3828      0.83283    6.6613e-16      -1.3828
_SET1_   8613          1   56950419   57080257    621      78  469566    -0.035316      0.32088    6.5226e-16    -0.035316
_SET1_   5563          1   57075990   57191008    552      49  474300      0.16241      0.26417    6.6613e-16      0.16241
_SET1_   1600          1   57450453   58751211   5999     330  467630      0.25431      0.21744    6.6613e-16      0.25431
_SET1_   1573          1   60348980   60427445    263      30  467583    -0.049036      0.38295    6.5226e-16    -0.049036
_SET1_   4774          1   61507946   61938460   1739     217  468051      0.40426      0.19949    6.6613e-16      0.40426
_SET1_   10207         1   62173149   62639592   2203     186  471259     -0.60533      0.54412    6.6613e-16     -0.60533
_SET1_   4919          1   64204690   64657181   1862     162  466707    -0.042286       0.3192    6.5226e-16    -0.042286
_SET1_   57685         1   64901476   65168741    961     175  469245      0.17675      0.26806    6.6613e-16      0.17675
_SET1_   3716          1   65288906   65467593    697      73  470327       1.2525     0.044647    6.6613e-16       1.2525
_SET1_   9829          1   65685133   65891552    814      68  467080       1.1426     0.049346    6.6613e-16       1.1426
_SET1_   5142          1   66223193   66850262   2519     185  467523     -0.53174      0.50617    6.6613e-16     -0.53174
_SET1_   84251         1   66964066   67220768   1256      55  468663       0.3662      0.19665    6.6613e-16       0.3662
_SET1_   23169         1   67455015   67555080    419      49  468315       1.6469     0.017838    6.6613e-16       1.6469
_SET1_   57554         1   69998230   70599171   2483     161  466822       1.2857     0.035166    6.6613e-16       1.2857
_SET1_   81573         1   70714685   70855471    415      73  466260    -0.023832      0.33531    6.5573e-16    -0.023832
_SET1_   257194        1   71858625   72783533   3148     180  464360      0.14846      0.25107    6.6613e-16      0.14846
_SET1_   51086         1   74666071   75020116   1257     121  466434     -0.26975      0.40964    6.6613e-16     -0.26975
_SET1_   204962        1   75657816   76116698   1950     111  469243      0.66183      0.11863    6.6613e-16      0.66183
_SET1_   256435        1   76505389   77110311   2792     261  464911      -1.7047      0.88946    6.6613e-16      -1.7047
_SET1_   26289         1   77712662   78035654   1410     117  473372     -0.85079      0.63858    6.6613e-16     -0.85079
_SET1_   374986        1   78210309   78355225    418      77  464795     -0.41892      0.49419    6.6613e-16     -0.41892
_SET1_   10964         1   79051067   79121830    248      87  465527      -2.9532      0.99357    4.4409e-16      -2.9532
_SET1_   23266         1   82231082   82468107   1015      92  470669        0.886     0.083806    6.6613e-16        0.886
_SET1_   79739         1   84325057   84499850    641      50  467618     -0.69854      0.59439    6.6613e-16     -0.69854
_SET1_   5567          1   84508745   84714181    558      63  465430     -0.51928      0.51099    6.6613e-16     -0.51928
_SET1_   23576         1   85774168   86079046   1376     110  469166    -0.088752      0.33618    6.5226e-16    -0.088752
_SET1_   57489         1   86802507   86897025    466      45  474097      -1.1764      0.77293    6.6613e-16      -1.1764
_SET1_   5586          1   89114876   89311938    841      46  464715      -1.7975      0.91926    6.6613e-16      -1.7975
_SET1_   23507         1   89954933   90073420    443      43  470413     -0.63265      0.56768    6.6613e-16     -0.63265
_SET1_   84230         1   90063644   90195094    427      50  469376      -1.8765      0.91821    6.6613e-16      -1.8765
_SET1_   284697        1   92510862   92623397    353      52  469609     -0.71146      0.61105    6.6613e-16     -0.71146
_SET1_   79871         1   92729522   92863732    440      61  463898      -1.1832       0.7643    6.6613e-16      -1.1832
_SET1_   7813          1   92964253   93292961   1332      48  465070      0.88639     0.093832    6.6613e-16      0.88639
_SET1_   388650        1   93288286   93462079    544      51  467169       1.3689     0.033453    6.6613e-16       1.3689
_SET1_   54874         1   93878688   94030218    476      88  459050      0.43982      0.18667    6.6613e-16      0.43982
_SET1_   8412          1   94017343   94347706   1478      91  471137      0.21365      0.24629    6.6613e-16      0.21365
_SET1_   1266          1   95352507   95427735    381      70  469833       1.1748     0.050487    6.6613e-16       1.1748
_SET1_   58155         1   97152161   97290605    552      48  465124     -0.10263      0.35954    6.5226e-16     -0.10263
_SET1_   8556          1  100775598  100995833    771      67  465065     -0.71688      0.60708    6.6613e-16     -0.71688
_SET1_   280           1  104060894  104132156    212      77  462522      -0.8353      0.64341    6.6613e-16      -0.8353
_SET1_   284611        1  109067653  109191949    451      39  464207      0.42816      0.22316    6.6613e-16      0.42816
_SET1_   55119         1  109199932  109254425    135      54  464506  -0.00053858      0.35355    6.5432e-16  -0.00053858
_SET1_   29899         1  109382972  109483044    475      48  468657       1.6398     0.019474    6.6613e-16       1.6398
_SET1_   6272          1  109842187  109975563    377      43  458670      -1.0316      0.72045    6.6613e-16      -1.0316
_SET1_   2773          1  110056186  110148465    339      66  464231     0.085082      0.28724    6.5226e-16     0.085082
_SET1_   10768         1  110492387  110576364    276      43  468350      -1.7691      0.91678    6.6613e-16      -1.7691
_SET1_   963           1  111378821  111452558    336      37  475742      0.58434      0.15396    6.6613e-16      0.58434
_SET1_   10390         1  111647249  111737724    394      47  464005     -0.79537      0.65064    6.6613e-16     -0.79537
_SET1_   128338        1  111649954  111717838    304      42  463907     -0.62641      0.59441    6.6613e-16     -0.62641
_SET1_   5906          1  112127405  112266807    625      54  472316      -1.1733      0.76506    6.6613e-16      -1.1733
_SET1_   3752          1  112308444  112567147   1187     193  469924     -0.91492      0.66806    6.6613e-16     -0.91492
_SET1_   55917         1  112903800  113013786    362      45  469241      0.28192      0.22803    6.6613e-16      0.28192
_SET1_   7482          1  112975040  113073910    326      66  472707     -0.48053      0.50244    6.6613e-16     -0.48053
_SET1_   54879         1  113056140  113197040    435      45  471780      -2.0048      0.94197    4.4409e-16      -2.0048
_SET1_   829           1  113127075  113224241    274      38  466312      -2.0389      0.94482    4.4409e-16      -2.0389
_SET1_   55356         1  116484119  116622675    493      61  468875      0.92678     0.090137    6.6613e-16      0.92678
_SET1_   476           1  116879802  116958069    256      35  467910       1.9115     0.015817    6.6613e-16       1.9115
_SET1_   965           1  117047156  117148715    295      84  462497       1.6859     0.015867    6.6613e-16       1.6859
_SET1_   4853          1  120444176  120674880    329      55  449934      0.19591      0.26855    6.6613e-16      0.19591
_SET1_   647135        1  143880897  144104426     34      23  330494     -0.71926      0.64246    6.6613e-16     -0.71926
_SET1_   56957         1  149902229  150017686    386      46  462115     -0.53176      0.55191    6.6613e-16     -0.53176
_SET1_   51177         1  150087170  150141825    280      31  457216       0.1736      0.30637    6.6613e-16       0.1736
