# ALPHA = 0.05
# NUMBER_OF_TESTS = 29

# _SET1_  VARIABLE = Microglia-quiescent (set)
# _SET1_  NGENES = 889
# _SET1_  P-VALUE = 0.000705265
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   23261         1    6845384    7829766   4336     358  469781     0.093823      0.26817    5.8287e-16     0.093823
_SET1_   8863          1    7844413    7905241    294      37  472715      0.52624      0.17031    5.5511e-16      0.52624
_SET1_   6518          1    9097005    9131763    153      32  471589       1.8051      0.01268    6.6613e-16       1.8051
_SET1_   5293          1    9711789    9789172    335      67  460695      0.80611      0.10982    5.5511e-16      0.80611
_SET1_   10277         1   10093041   10241297    544      46  470117      -0.6864      0.64723    5.5511e-16      -0.6864
_SET1_   23095         1   10270606   10441664    689      35  473689      0.20972      0.26977    5.8287e-16      0.20972
_SET1_   7133          1   12227044   12269279    186      40  470837      0.46992       0.1881    6.1062e-16      0.46992
_SET1_   23254         1   14219646   15444544   6679     495  468521       1.3081     0.030734    6.6613e-16       1.3081
_SET1_   84966         1   18434240   18704977   1501     223  467147      -1.9734      0.93474    6.6613e-16      -1.9734
_SET1_   55450         1   20808884   20812728     10       6  427038     -0.60567      0.66512    5.5511e-16     -0.60567
_SET1_   1889          1   21543740   21672034    601      86  464758     -0.17206      0.39088    5.8287e-16     -0.17206
_SET1_   25932         1   25071760   25170815    224      69  456523      0.35442       0.2138    6.1062e-16      0.35442
_SET1_   6195          1   26856249   26901520    156      37  462336     -0.61937      0.56954    5.5511e-16     -0.61937
_SET1_   7805          1   31205315   31230683    133      59  458853        2.329    0.0023809    4.4409e-16        2.329
_SET1_   114784        1   33979609   34631443   2968     295  466818     -0.78231      0.61309    5.5511e-16     -0.78231
_SET1_   1441          1   36931644   36948915     73      32  467036      0.12564      0.29422    5.8287e-16      0.12564
_SET1_   64744         1   40839378   40888998    173      48  472830      -1.6803      0.89478    6.6613e-16      -1.6803
_SET1_   5792          1   43991708   44089343    463      48  459273       2.1189    0.0049543    4.4409e-16       2.1189
_SET1_   55182         1   44870837   45117396   1031     132  467875        1.675     0.015766    6.6613e-16        1.675
_SET1_   57643         1   45482071   45672250    541      51  469539     -0.12319      0.39367    5.8287e-16     -0.12319
_SET1_   8569          1   47023079   47069966    179      44  465863      0.37819      0.20862    6.1062e-16      0.37819
_SET1_   84871         1   48998527   50489626   4462     138  458219      0.27288      0.22423    6.1062e-16      0.27288
_SET1_   8613          1   56960419   57045257    366      61  465839      0.36613      0.20777    6.1062e-16      0.36613
_SET1_   9829          1   65720133   65881552    630      61  466789      0.87848     0.087333    5.5511e-16      0.87848
_SET1_   5142          1   66258193   66840262   2322     165  467219     -0.59652      0.54056    5.5511e-16     -0.59652
_SET1_   84251         1   66999066   67210768    990      49  468664      0.35883      0.20531    6.1062e-16      0.35883
_SET1_   57554         1   70033230   70589171   2299     143  466918       1.0837     0.056929    6.6613e-16       1.0837
_SET1_   257194        1   71868625   72748533   3079     188  464137      0.23392      0.23304    5.8287e-16      0.23392
_SET1_   256435        1   76540389   77100311   2552     228  464420      -1.6124       0.8733    6.6613e-16      -1.6124
_SET1_   26289         1   77747662   78025654   1260     109  474810      -1.0914      0.73229    6.6613e-16      -1.0914
_SET1_   79739         1   84335057   84464850    454      36  464859     -0.42677      0.50331    6.1062e-16     -0.42677
_SET1_   5567          1   84543745   84704181    435      66  464042      -0.3688      0.46017    6.1062e-16      -0.3688
_SET1_   23507         1   89989933   90063420    253      26  476320     -0.69764      0.60418    5.5511e-16     -0.69764
_SET1_   284697        1   92545862   92613397    235      44  467941      -1.2717      0.79954    6.6613e-16      -1.2717
_SET1_   388650        1   93298286   93427079    389      33  466436       1.6371     0.019936    6.6613e-16       1.6371
_SET1_   58155         1   97187161   97280605    342      47  464307     -0.20775      0.40732    5.8287e-16     -0.20775
_SET1_   29899         1  109417972  109473044    200      40  468711       1.4059     0.034172    6.6613e-16       1.4059
_SET1_   963           1  111413821  111442558    110      21  474791      -1.0427      0.73283    6.6613e-16      -1.0427
_SET1_   3752          1  112318444  112532147    967     165  470362     -0.66868      0.58126    5.5511e-16     -0.66868
_SET1_   55356         1  116519119  116612675    345      52  469053      0.88769      0.10031    5.5511e-16      0.88769
_SET1_   647135        1  143915897  144094426     32      21  347485      -0.7825      0.63919    5.5511e-16      -0.7825
_SET1_   56957         1  149912229  149982686    223      37  458221       -1.342      0.84553    6.6613e-16       -1.342
_SET1_   23208         1  155829260  155854990     66      25  458793       1.3116     0.045809    6.6613e-16       1.3116
_SET1_   10485         1  156374048  156426441    135      62  460083      0.63358      0.14596    5.5511e-16      0.63358
_SET1_   3428          1  158979682  159024945    252      21  474469       0.8889      0.11097    5.5511e-16       0.8889
_SET1_   8832          1  160510884  160549306    206      33  466946      0.75473      0.13136    5.5511e-16      0.75473
_SET1_   22926         1  161736034  161933860    780      41  471113     -0.28214      0.46233    6.1062e-16     -0.28214
_SET1_   5087          1  164528597  164821067   1173     180  467777     -0.18979      0.39072    5.8287e-16     -0.18979
_SET1_   92241         1  167599474  167677933    460     104  468027      0.21665      0.24631    5.8287e-16      0.21665
_SET1_   481           1  169075947  169101960    134      33  474383     0.052023      0.30347    5.8287e-16     0.052023
_SET1_   26052         1  171810618  172387606   2254     139  467183      0.66046      0.12336    5.5511e-16      0.66046
_SET1_   460           1  176826441  177134024   1203     120  459353       1.3116     0.038017    6.6613e-16       1.3116
_SET1_   23127         1  183898988  184006904    575      91  461406     -0.49861      0.51053    6.1062e-16     -0.49861
_SET1_   81563         1  184356150  184598155   1052      84  462159      0.47488      0.18038    6.1062e-16      0.47488
_SET1_   116496        1  184760159  184943718    833      74  464988     0.010155      0.31919    5.8634e-16     0.010155
_SET1_   5321          1  186798032  186958113    699      85  468371      -1.1106      0.74016    6.6613e-16      -1.1106
_SET1_   339479        1  190066792  190447534   1316      93  466164      0.78245      0.10385    5.5511e-16      0.78245
_SET1_   23418         1  197170592  197447585    903     118  456134      0.59263       0.1457    5.5511e-16      0.59263
_SET1_   5788          1  198608098  198726605    484      72  463424    -0.041866      0.35037    5.8287e-16    -0.041866
_SET1_   1465          1  201452658  201476387    140      36  474716     0.050634      0.31065    5.8287e-16     0.050634
_SET1_   89796         1  201508243  201796102   1273     168  468951      -0.1405      0.37474    5.8287e-16      -0.1405
_SET1_   4660          1  202317830  202557697    702      62  463017     -0.46889      0.50341    6.1062e-16     -0.46889
_SET1_   22874         1  204187979  204329057    747      69  471113       0.8036      0.09888    5.5511e-16       0.8036
_SET1_   23114         1  204797782  204991950   1018     111  465436       1.2858     0.041064    6.6613e-16       1.2858
_SET1_   6900          1  205012340  205047173    185      36  474477       2.6801   0.00090337    4.4409e-16       2.6801
_SET1_   5129          1  205473684  205501921    165      54  470661       1.4378     0.029916    6.6613e-16       1.4378
_SET1_   255928        1  210111519  210337636    854      56  466392       1.8572     0.010968    6.6613e-16       1.8572
_SET1_   3756          1  210851657  211307457   2096     141  469183     -0.23988      0.40197    5.8287e-16     -0.23988
_SET1_   9926          1  211916799  212048531    590      54  472296      -1.1962      0.78316    6.6613e-16      -1.1962
_SET1_   51133         1  215740528  215795149    153      25  463945       1.0609     0.094502    6.6613e-16       1.0609
_SET1_   2104          1  216676588  217311097   3043     254  470566      0.18021      0.25185    5.8287e-16      0.18021
_SET1_   4139          1  220701568  220837799    458      49  463980      0.71892       0.1373    5.5511e-16      0.71892
_SET1_   84976         1  222988342  223179337    769      66  466836     -0.65464      0.58031    5.5511e-16     -0.65464
_SET1_   55740         1  225674534  225840845    545      44  467773     -0.53306      0.56679    5.5511e-16     -0.53306
_SET1_   9725          1  226033233  226070420    159      32  468666      0.38676      0.21556    6.1062e-16      0.38676
_SET1_   8476          1  227177566  227506193   1868      38  473088       0.3208      0.22295    6.1062e-16       0.3208
_SET1_   58480         1  228780394  228882416    430      66  465465      -2.2931      0.96925    4.4409e-16      -2.2931
_SET1_   27185         1  231762561  232177018   1841     199  468990       1.4114     0.030197    6.6613e-16       1.4114
_SET1_   57568         1  232533711  232765907   1179     137  468914       -0.511      0.51493    5.5511e-16       -0.511
_SET1_   80003         1  233119855  233431459   1602     135  472062      0.26806      0.23477    6.1062e-16      0.26806
_SET1_   56776         1  240255185  240638491   1997     148  468228       1.5566     0.019715    6.6613e-16       1.5566
_SET1_   6000          1  240938817  241520505   2849     260  468447     -0.25897      0.41183    6.1062e-16     -0.25897
_SET1_   200150        1  242251689  242687998   2373     177  470993      0.60003      0.13478    5.5511e-16      0.60003
_SET1_   10806         1  243419307  243663393    732      81  468957      -1.6652      0.88774    6.6613e-16      -1.6652
_SET1_   9781          2    7057523    7209011    717      83  470163      -1.1157      0.73029    6.6613e-16      -1.1157
_SET1_   129642        2    8996701    9143876    543      47  463548     -0.36135      0.51797    6.1062e-16     -0.36135
_SET1_   8853          2    9346894    9545812    805      68  463924       1.7012     0.015722    6.6613e-16       1.7012
_SET1_   22979         2   25264973   25382004    422      70  460126       1.3566     0.034059    6.6613e-16       1.3566
_SET1_   56896         2   27070969   27173219    309      45  455280      0.64089      0.13634    5.5511e-16      0.64089
_SET1_   79745         2   29320542   29406679    391      54  462299      0.94715     0.082877    5.5511e-16      0.94715
_SET1_   6546          2   40339286   40739575   1992     174  470357      0.34131      0.20646    6.1062e-16      0.34131
_SET1_   27436         2   42396490   42559688    733      50  462605       1.8468     0.010607    6.6613e-16       1.8468
_SET1_   678           2   43449541   43453745     20      12  465879       4.1758   3.4485e-06    8.8818e-16       4.1758
_SET1_   5495          2   44395984   44471570    285      42  458300      -1.2359      0.79729    6.6613e-16      -1.2359
_SET1_   9581          2   44544746   44589001    227      46  461342      0.59802      0.15326    5.5511e-16      0.59802
_SET1_   9378          2   50145643   51259674   5031     233  467409      -1.3858      0.81554    6.6613e-16      -1.3858
_SET1_   100302652     2   53897430   54087170    780      57  465837     -0.60614      0.56607    5.5511e-16     -0.60614
_SET1_   6711          2   54683454   54898583   1005      63  469320     0.057907      0.30728    5.8287e-16     0.057907
_SET1_   55120         2   58386378   58468515    312      51  461775      -1.0499      0.74511    6.6613e-16      -1.0499
_SET1_   5966          2   61108709   61171410    151      55  460158       0.3269      0.21975    6.1062e-16       0.3269
_SET1_   51057         2   63348518   63815867   1593      72  465554      -1.8336       0.9115    6.6613e-16      -1.8336
_SET1_   57162         2   64319786   64371605    203      43  457770      -1.9181      0.93157    6.6613e-16      -1.9181
_SET1_   4211          2   66662257   66799891    459      88  469936     -0.15545      0.37779    5.8287e-16     -0.15545
_SET1_   9938          2   68961913   69053965    481      64  474788      0.98942     0.070732    5.5511e-16      0.98942
_SET1_   8291          2   71680347   71913895   1176     155  473591     -0.23846      0.41128    5.8287e-16     -0.23846
_SET1_   23233         2   72403113   73053177   1627      75  467895      -1.8961      0.93002    6.6613e-16      -1.8961
_SET1_   80059         2   76974849   77749502   4288     175  467782      0.04386      0.29491    5.8287e-16      0.04386
_SET1_   1496          2   79740060   80875993   5244     368  466170       1.4529     0.024532    6.6613e-16       1.4529
_SET1_   4118          2   95691400   95719737     66      42  461022        1.035     0.081999    6.6613e-16        1.035
_SET1_   400986        2   96516914   96658068    276      50  447771      0.23566      0.24824    5.8287e-16      0.23566
_SET1_   375248        2   97778923   97930258    190      38  438938      -1.3158      0.81801    6.6613e-16      -1.3158
_SET1_   57730         2   98109009   98206708    164      16  469926     -0.63045      0.59476    5.5511e-16     -0.63045
_SET1_   11320         2   99235569   99347589    408      58  462189       1.7145     0.015011    6.6613e-16       1.7145
_SET1_   8440          2  106361520  106510730    792      64  464803       3.6697   1.7504e-05    4.4409e-16       3.6697
_SET1_   10461         2  112656056  112797293    636      36  470574      0.75577      0.11552    5.5511e-16      0.75577
_SET1_   57628         2  115199899  116603328   5333     248  467541     -0.69285       0.5928    5.5511e-16     -0.69285
_SET1_   5775          2  120517207  120742496    766      50  463109      -1.0201      0.73667    6.6613e-16      -1.0201
_SET1_   50649         2  131594489  131804826    879      97  468158       0.8279      0.10486    5.5511e-16       0.8279
_SET1_   81615         2  135213330  135478219   1094     101  469482       2.3533    0.0023318    4.4409e-16       2.3533
_SET1_   53353         2  140988996  142889270  10043     381  470787     -0.40856      0.45766    6.1062e-16     -0.40856
_SET1_   8942          2  143506497  143799885   1192      85  469771       1.7023     0.015692    6.6613e-16       1.7023
_SET1_   55843         2  143886899  144525921   2184     208  469500     -0.20936      0.39545    5.8287e-16     -0.20936
_SET1_   114805        2  154728426  155310489   2607     106  468700      0.39198      0.18613    6.1062e-16      0.39198
_SET1_   8502          2  159313476  159537941    980      53  468846      0.14999        0.275    5.8287e-16      0.14999
_SET1_   55137         2  164461447  164592618    405      77  468217      -1.1676      0.76949    6.6613e-16      -1.1676
_SET1_   80034         2  166326157  166545917    743      80  466609      -1.0312      0.71067    6.6613e-16      -1.0312
_SET1_   8708          2  168346692  168727366   1691     187  468242      -1.8314      0.91616    6.6613e-16      -1.8314
_SET1_   27347         2  168810530  169104105   1511      85  467792      -0.8276      0.63327    5.5511e-16      -0.8276
_SET1_   4036          2  169983619  170219123   1096     128  469900      0.56823      0.14716    5.5511e-16      0.56823
_SET1_   1123          2  175664042  175870671    606      64  457699      0.48668      0.17507    6.1062e-16      0.48668
_SET1_   91404         2  179966419  180129350    653      60  465944      0.69961       0.1318    5.5511e-16      0.69961
_SET1_   5136          2  183004762  183387572   1755      99  470537      0.14821      0.26121    5.8287e-16      0.14821
_SET1_   10787         2  183789579  183903586    448      53  467502      -1.9411      0.94177    6.6613e-16      -1.9411
_SET1_   165215        2  187558789  187630686    209      54  457553     0.073784      0.29639    5.8287e-16     0.073784
_SET1_   26275         2  191069355  191184771    512      25  473827       0.2335      0.26931    5.8287e-16       0.2335
_SET1_   3628          2  191208196  191236391    129      17  473823     -0.84352      0.67154    5.5511e-16     -0.84352
_SET1_   54842         2  191273081  191367041    311      42  474644      0.40722      0.19376    6.1062e-16      0.40722
_SET1_   23671         2  192770615  193059645   1160     160  465970     -0.49521      0.51353    6.1062e-16     -0.49521
_SET1_   57520         2  197063971  197458416   1721     119  468526     -0.56885       0.5472    5.5511e-16     -0.56885
