# ALPHA = 0.05
# NUMBER_OF_TESTS = 12

# _SET1_  VARIABLE = Pericyte (set)
# _SET1_  NGENES = 904
# _SET1_  P-VALUE = 0.0029183
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   57801         1     924342     971608    257      44  456042       2.0712    0.0053653             0       2.0712
_SET1_   23261         1    6810384    7839766   4535     347  469990      0.10935      0.25924             0      0.10935
_SET1_   5293          1    9676789    9799172    556      86  461632       1.4409     0.027153             0       1.4409
_SET1_   23095         1   10235606   10451664    906      39  473632      0.27733      0.24746             0      0.27733
_SET1_   5351          1   11959724   12045599    478      63  467721      -1.1758      0.75244             0      -1.1758
_SET1_   1889          1   21533740   21707034    822     104  467306       0.2805      0.21513             0       0.2805
_SET1_   114784        1   33969609   34666443   3190     321  467303     0.051904      0.28268             0     0.051904
_SET1_   26508         1   40079103   40140348    253      59  472415      -1.0535      0.72222             0      -1.0535
_SET1_   55182         1   44835837   45127396   1202     176  468476        1.592     0.018042             0        1.592
_SET1_   4678          1   46014660   46094578    322      32  466019       -2.258      0.96767             0       -2.258
_SET1_   84871         1   48988527   50524626   4592     135  458185       0.1399      0.25007             0       0.1399
_SET1_   84938         1   63214777   63340941    497      43  468734     -0.42599      0.48469             0     -0.42599
_SET1_   57685         1   64901476   65168741    961     175  469245      0.17152      0.26806             0      0.17152
_SET1_   9829          1   65685133   65891552    814      68  467080        1.133     0.049346             0        1.133
_SET1_   5142          1   66223193   66850262   2519     185  467523      -0.5386      0.50617             0      -0.5386
_SET1_   84251         1   66964066   67220768   1256      55  468663      0.35922      0.19665             0      0.35922
_SET1_   57554         1   69998230   70599171   2483     161  466822       1.2783     0.035166             0       1.2783
_SET1_   257194        1   71858625   72783533   3148     180  464360      0.14228      0.25107             0      0.14228
_SET1_   256435        1   76505389   77110311   2792     261  464911      -1.7083      0.88946             0      -1.7083
_SET1_   26289         1   77712662   78035654   1410     117  473372     -0.85936      0.63858             0     -0.85936
_SET1_   26009         1   78018160   78184119    473      59  465613     -0.49983      0.51752             0     -0.49983
_SET1_   5567          1   84508745   84714181    558      63  465430     -0.52839      0.51099             0     -0.52839
_SET1_   23507         1   89954933   90073420    443      43  470413     -0.64151      0.56768             0     -0.64151
_SET1_   55144         1   90251573   90411991    512     110  468794    -0.079251      0.32859             0    -0.079251
_SET1_   284697        1   92510862   92623397    353      52  469609     -0.71881      0.61105             0     -0.71881
_SET1_   388650        1   93288286   93462079    544      51  467169       1.3614     0.033453             0       1.3614
_SET1_   58155         1   97152161   97290605    552      48  465124     -0.10943      0.35954             0     -0.10943
_SET1_   29899         1  109382972  109483044    475      48  468657       1.6342     0.019474             0       1.6342
_SET1_   6272          1  109842187  109975563    377      43  458670      -1.0372      0.72045             0      -1.0372
_SET1_   3752          1  112308444  112567147   1187     193  469924     -0.92173      0.66806             0     -0.92173
_SET1_   55356         1  116484119  116622675    493      61  468875      0.92135     0.090137             0      0.92135
_SET1_   476           1  116879802  116958069    256      35  467910       1.9123     0.015817             0       1.9123
_SET1_   10905         1  117875085  118078320    772      47  467874     -0.58319      0.55388             0     -0.58319
_SET1_   6913          1  119415666  119567179    558      52  470279      -1.5246      0.85254             0      -1.5246
_SET1_   8515          1  145489709  145553868    153      38  411800      -0.7432      0.57874             0      -0.7432
_SET1_   56957         1  149902229  150017686    386      46  462115     -0.53546      0.55191             0     -0.53546
_SET1_   23208         1  155794260  155864990    188      49  464793       1.3374     0.039733             0       1.3374
_SET1_   9181          1  155906431  155988396    225      60  458286     -0.91178      0.66671             0     -0.91178
_SET1_   10485         1  156364048  156461441    306      82  461738      0.60146      0.13757             0      0.60146
_SET1_   55243         1  157928063  158075846    642     132  470249      0.43493      0.17263             0      0.43493
_SET1_   477           1  160050520  160123381    302      47  472789     -0.56702      0.54671             0     -0.56702
_SET1_   9722          1  162004581  162349813   1738     123  469668      0.27796      0.21189             0      0.27796
_SET1_   8490          1  163102089  163326581   1120      86  473967       2.1554    0.0037659             0       2.1554
_SET1_   92241         1  167564474  167687933    705     121  467171        1.696     0.013345             0        1.696
_SET1_   481           1  169040947  169111960    346      71  470657       1.0545     0.057324             0       1.0545
_SET1_   5396          1  170598313  170718541    477      92  460319      -2.1813      0.94986             0      -2.1813
_SET1_   26052         1  171775618  172397606   2481     148  467176      0.61859      0.12301             0      0.61859
_SET1_   460           1  176816441  177169024   1386     126  460218        1.048      0.05794             0        1.048
_SET1_   9462          1  178027864  178458649   1347      68  462940      -1.5423      0.86906             0      -1.5423
_SET1_   23127         1  183888988  184041904    803      92  460431     -0.38223      0.44417             0     -0.38223
_SET1_   81563         1  184321150  184608155   1267      85  463769      0.50937      0.15844             0      0.50937
_SET1_   116496        1  184750159  184978718   1037      97  465039    -0.051989      0.32037             0    -0.051989
_SET1_   343450        1  196184913  196612690   1582      78  434722     -0.41617      0.46044             0     -0.41617
_SET1_   3075          1  196586008  196726634    636      53  463164      0.65174      0.13293             0      0.65174
_SET1_   23418         1  197135592  197457585   1072     118  455912      0.44124      0.16474             0      0.44124
_SET1_   1465          1  201442658  201511387    411      47  474874     -0.30148      0.43793             0     -0.30148
_SET1_   89796         1  201473243  201806102   1533     166  470088     -0.25151      0.39902             0     -0.25151
_SET1_   22874         1  204177979  204364057    945      88  469643      0.55346      0.14127             0      0.55346
_SET1_   5287          1  204381756  204498943    557      72  465384      -2.0437      0.94178             0      -2.0437
