# ALPHA = 0.05
# NUMBER_OF_TESTS = 12

# _SET1_  VARIABLE = Microglia (set)
# _SET1_  NGENES = 1289
# _SET1_  P-VALUE = 0.00154215
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   6497          1    2125134    2251652    592     106  464827      -1.8219       0.9023   -6.6613e-16      -1.8219
_SET1_   23261         1    6810384    7839766   4535     347  469990      0.10935      0.25924   -5.8287e-16      0.10935
_SET1_   6518          1    9087005    9166763    414      55  471932       1.6716     0.015801   -6.6613e-16       1.6716
_SET1_   5293          1    9676789    9799172    556      86  461632       1.4409     0.027153   -6.6613e-16       1.4409
_SET1_   23095         1   10235606   10451664    906      39  473632      0.27733      0.24746   -5.5511e-16      0.27733
_SET1_   7133          1   12192044   12279279    383      67  470965    -0.072167      0.34267   -5.8287e-16    -0.072167
_SET1_   9249          1   12617939   12712820    532      93  469229     0.015961      0.29954    -5.794e-16     0.015961
_SET1_   23254         1   14184646   15454544   6947     501  468615       1.4119     0.021563   -6.6613e-16       1.4119
_SET1_   55092         1   15444028   15556974    795      59  473443     -0.97944        0.688   -5.5511e-16     -0.97944
_SET1_   11240         1   17383256   17480948    580      58  475303     -0.56017      0.52805   -5.5511e-16     -0.56017
_SET1_   55920         1   17723251   17801250    394      51  463683      -1.0627      0.71423   -6.6613e-16      -1.0627
_SET1_   84966         1   18399240   18714977   1717     250  467668      -1.9808      0.93461   -6.6613e-16      -1.9808
_SET1_   832           1   19655267   19847066    991      76  470928      0.70092      0.11252   -5.5511e-16      0.70092
_SET1_   440574        1   19888471   19966315    368      35  470132       1.7454     0.017059   -6.6613e-16       1.7454
_SET1_   8672          1   21122785   21538381   1271      60  468770       3.6349   1.9171e-05   -4.4409e-16       3.6349
_SET1_   1889          1   21533740   21707034    822     104  467306       0.2805      0.21513   -5.5511e-16       0.2805
_SET1_   713           1   22944682   22998130    232      44  468518     -0.82815      0.63491   -5.5511e-16     -0.82815
_SET1_   25932         1   25036760   25180815    375      73  462149      0.39998      0.18029   -5.5511e-16      0.39998
_SET1_   6195          1   26821249   26911520    323      52  464996      0.82917     0.095705   -5.5511e-16      0.82917
_SET1_   8289          1   26987522   27118601    316      45  461622      0.76424      0.12531   -5.5511e-16      0.76424
_SET1_   10163         1   27720734   27851678    406      58  464277      0.87426        0.102   -5.5511e-16      0.87426
_SET1_   5724          1   28463677   28555447    292      69  462230      0.64686       0.1262   -5.5511e-16      0.64686
_SET1_   2035          1   29178603   29456558   1021      72  462846       1.0384     0.065712   -6.6613e-16       1.0384
_SET1_   7805          1   31195315   31265683    355      77  464829       2.1734    0.0033547   -4.4409e-16       2.1734
_SET1_   1912          1   33779224   33876194    360      44  466556     -0.16122      0.37768   -5.8287e-16     -0.16122
_SET1_   114784        1   33969609   34666443   3190     321  467303     0.051904      0.28268   -5.8287e-16     0.051904
_SET1_   1441          1   36921644   36983915    266      56  472708      0.93912     0.086199   -5.5511e-16      0.93912
