# ALPHA = 0.05
# NUMBER_OF_TESTS = 7

# _SET1_  VARIABLE = Microglia (set)
# _SET1_  NGENES = 264
# _SET1_  P-VALUE = 5.78871e-05
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   8514          1    6017358    6171253    773     115  467414      0.55578      0.14319   -2.2204e-16      0.55578
_SET1_   7133          1   12192044   12279279    383      67  470965    -0.072167      0.34267   -1.6653e-16    -0.072167
_SET1_   9473          1   28164055   28223196    224      60  460426       1.5441      0.02086   -2.2204e-16       1.5441
_SET1_   1441          1   36921644   36983915    266      56  472708      0.93912     0.086199   -2.2204e-16      0.93912
_SET1_   64744         1   40804378   40898998    349      73  471965      -1.2758       0.7855   -2.2204e-16      -1.2758
_SET1_   5142          1   66223193   66850262   2519     185  467523      -0.5386      0.50617   -2.2204e-16      -0.5386
_SET1_   1806          1   97533299   98421615   3497     219  468142      -0.6741      0.57621   -2.2204e-16      -0.6741
_SET1_   10451         1  108103782  108542545   2100     159  469466      -2.2406      0.95802             0      -2.2406
_SET1_   963           1  111378821  111452558    336      37  475742      0.57517      0.15396   -2.2204e-16      0.57517
_SET1_   4853          1  120444176  120674880    329      55  449934      0.19187      0.26855   -1.6653e-16      0.19187
_SET1_   1520          1  150692672  150773433    211      36  468102      0.22777      0.25026   -1.6653e-16      0.22777
_SET1_   2212          1  161440205  161499360    236      66  462136       1.6584     0.015013   -2.2204e-16       1.6584
_SET1_   9462          1  178027864  178458649   1347      68  462940      -1.5423      0.86906   -2.2204e-16      -1.5423
_SET1_   80896         1  182723584  182809519    319      60  470717     -0.87589      0.67896   -2.2204e-16     -0.87589
_SET1_   4688          1  183514697  183595056    363      57  467843      0.78712      0.09772   -2.2204e-16      0.78712
_SET1_   23179         1  183570208  183907666   1455      97  469289     -0.83757      0.62065   -2.2204e-16     -0.83757
_SET1_   5788          1  198573098  198736605    737      78  467266     -0.14536      0.38072   -1.6653e-16     -0.14536
_SET1_   1378          1  207634473  207825110    697      88  463997       6.9888    3.139e-14             0       6.9888
_SET1_   8476          1  227167566  227541193   2101      40  472613      0.38664      0.20403   -1.6653e-16      0.38664
