# ALPHA = 0.05
# NUMBER_OF_TESTS = 29

# _SET1_  VARIABLE = T-cell-parenchymal-1 (set)
# _SET1_  NGENES = 912
# _SET1_  P-VALUE = 0.000616254
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   23261         1    6845384    7829766   4336     358  469781     0.093823      0.26817    7.0777e-16     0.093823
_SET1_   5293          1    9711789    9789172    335      67  460695      0.80611      0.10982    6.6613e-16      0.80611
_SET1_   10250         1   24969594   24999772     66      33  469892     -0.56529      0.58855    6.6613e-16     -0.56529
_SET1_   864           1   25226002   25291648    258      70  469794       1.3225     0.037257    6.6613e-16       1.3225
_SET1_   2035          1   29213603   29446558    800      67  461740       1.0449     0.071921    6.6613e-16       1.0449
_SET1_   3932          1   32716840   32751766    101      50  466458      -1.8907      0.94023    6.6613e-16      -1.8907
_SET1_   64744         1   40839378   40888998    173      48  472830      -1.6803      0.89478    6.6613e-16      -1.6803
_SET1_   55182         1   44870837   45117396   1031     132  467875        1.675     0.015766    6.6613e-16        1.675
_SET1_   84871         1   48998527   50489626   4462     138  458219      0.27288      0.22423    7.2164e-16      0.27288
_SET1_   2060          1   51819935   51985026    711      42  471701        1.847     0.015429    6.6613e-16        1.847
_SET1_   114883        1   52082546   52254891    499      68  459943     -0.46294      0.55006    7.2164e-16     -0.46294
_SET1_   55706         1   54231133   54304225    239      47  469419      0.81997      0.11648    6.6613e-16      0.81997
_SET1_   26027         1   55007930   55100417    554      65  469665        1.271     0.044647    6.6613e-16        1.271
_SET1_   374977        1   55107427   55175939    376      78  472386      0.42621      0.18428    7.2164e-16      0.42621
_SET1_   1600          1   57460453   58716211   5805     340  467497      0.23357      0.22632    7.2164e-16      0.23357
_SET1_   85440         1   62920397   63154039    655      46  463161       1.8812     0.010581    6.6613e-16       1.8812
_SET1_   57685         1   64936476   65158741    773     140  469202      0.30043       0.2397    7.2164e-16      0.30043
_SET1_   9829          1   65720133   65881552    630      61  466789      0.87848     0.087333    6.6613e-16      0.87848
_SET1_   5142          1   66258193   66840262   2322     165  467219     -0.59652      0.54056    6.6613e-16     -0.59652
_SET1_   57708         1   67390578   67454302    206      35  471614       1.5827     0.023359    6.6613e-16       1.5827
_SET1_   79971         1   68564142   68698284    717     110  474021     -0.59218      0.54449    6.6613e-16     -0.59218
