# ALPHA = 0.05
# NUMBER_OF_TESTS = 7

# _SET1_  VARIABLE = SMC (set)
# _SET1_  NGENES = 1327
# _SET1_  P-VALUE = 0.00596394
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   57801         1     909342     961608    151      13  36989      -1.2073       0.6922             0      -1.2073
_SET1_   2782          1    1691725    1847552    208      15  36989     -0.13831      0.27654             0     -0.13831
_SET1_   6497          1    2135134    2266652    399      60  36989      0.91631     0.038234             0      0.91631
_SET1_   63976         1    2960565    3380185   1565     154  36989      0.70956      0.01601             0      0.70956
_SET1_   473           1    8387464    8902699    834      30  36989       3.6341   1.2421e-06             0       3.6341
_SET1_   7133          1   12202044   12294279    275      32  36989      -2.1445      0.91599             0      -2.1445
_SET1_   7799          1   14001714   14176574    575      33  36989      0.12504      0.15869             0      0.12504
_SET1_   149563        1   16305731   16358184    287      18  36989      -0.3599      0.34749             0      -0.3599
_SET1_   55160         1   17821693   18049370    523      49  36989      -1.7263      0.79639             0      -1.7263
_SET1_   8672          1   21107785   21528381    783      23  36989       1.7031    0.0031353             0       1.7031
_SET1_   1889          1   21518740   21697034    514      42  36989     -0.48407      0.33956             0     -0.48407
_SET1_   249           1   21810475   21929905    487      46  36989      -0.8421      0.48078             0      -0.8421
_SET1_   998           1   22354120   22444439    311      22  36989       1.8017    0.0050998             0       1.8017
_SET1_   7798          1   23385516   23529301    300      18  36989     -0.49877      0.39452             0     -0.49877
_SET1_   8289          1   26997522   27133601    175      12  36989       2.1343    0.0032486             0       2.1343
_SET1_   10163         1   27705734   27841678    194       9  36989     -0.62683      0.50587             0     -0.62683
_SET1_   2268          1   27913800   27986727    111      15  36989       1.5566      0.03144             0       1.5566
_SET1_   23673         1   28074694   28175963    120       7  36989      0.08731      0.37222   -1.3878e-17      0.08731
_SET1_   2035          1   29188603   29471558    589      26  36989       2.5325   0.00029604             0       2.5325
_SET1_   6429          1   29449250   29533637    196      25  36989       1.9308    0.0039981             0       1.9308
_SET1_   64766         1   33257368   33349480    141      16  36989       1.1898      0.02919             0       1.1898
_SET1_   192670        1   36248231   36348491    105      10  36989       3.2964   7.2354e-05             0       3.2964
_SET1_   23499         1   39524839   39977810    960      42  36989      0.59025     0.044074             0      0.59025
_SET1_   26508         1   40064103   40130348    184      33  36989      0.12783      0.18996             0      0.12783
_SET1_   84879         1   40395784   40460630    128      23  36989      -1.1172      0.65108             0      -1.1172
_SET1_   6513          1   43366046   43449847    279      24  36989      0.21056      0.16087             0      0.21056
_SET1_   7075          1   43741566   43813781    107      16  36989       2.7243   0.00027482             0       2.7243
_SET1_   55182         1   44845837   45142396    830      91  36989     -0.22695      0.20339             0     -0.22695
_SET1_   57643         1   45457071   45697250    459      26  36989      -0.9972      0.56799             0      -0.9972
_SET1_   8503          1   46480812   46667167    319      23  36989      -1.0372       0.5939             0      -1.0372
_SET1_   114883        1   52057546   52279891    367      26  36989     -0.86956      0.58625             0     -0.86956
