# ALPHA = 0.05
# NUMBER_OF_TESTS = 44

# _SET1_  VARIABLE = Perivascular (set)
# _SET1_  NGENES = 260
# _SET1_  P-VALUE = 0.000207054
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   7133       1   12192044   12279279    383      67  470965    -0.062064      0.34267    6.3838e-16    -0.062064
_SET1_   2268       1   27928800   27996727    258      55  461684       -0.327      0.51425    6.6613e-16       -0.327
_SET1_   9473       1   28164055   28223196    224      60  460426       1.5547      0.02086    6.6613e-16       1.5547
_SET1_   1441       1   36921644   36983915    266      56  472708      0.94759     0.086199    6.6613e-16      0.94759
_SET1_   64744      1   40804378   40898998    349      73  471965      -1.2646       0.7855    6.6613e-16      -1.2646
_SET1_   84251      1   66964066   67220768   1256      55  468663       0.3662      0.19665    6.6613e-16       0.3662
_SET1_   79739      1   84325057   84499850    641      50  467618     -0.69854      0.59439    6.6613e-16     -0.69854
_SET1_   10451      1  108103782  108542545   2100     159  469466      -2.2335      0.95802    4.4409e-16      -2.2335
_SET1_   963        1  111378821  111452558    336      37  475742      0.58434      0.15396    6.6613e-16      0.58434
_SET1_   1520       1  150692672  150773433    211      36  468102      0.23669      0.25026    6.3838e-16      0.23669
_SET1_   2212       1  161440205  161499360    236      66  462136       1.6704     0.015013    6.6613e-16       1.6704
_SET1_   5087       1  164493597  164831067   1388     215  468364      0.17934      0.25324    6.3838e-16      0.17934
_SET1_   92241      1  167564474  167687933    705     121  467171       1.7062     0.013345    6.6613e-16       1.7062
_SET1_   26052      1  171775618  172397606   2481     148  467176      0.62679      0.12301    6.6613e-16      0.62679
_SET1_   5788       1  198573098  198736605    737      78  467266     -0.13957      0.38072    6.3838e-16     -0.13957
_SET1_   23114      1  204762782  205001950   1263     114  465522       1.1914     0.046585    6.6613e-16       1.1914
_SET1_   1378       1  207634473  207825110    697      88  463997       6.9979    3.139e-14    8.8818e-16       6.9979
_SET1_   8476       1  227167566  227541193   2101      40  472613      0.38944      0.20403    6.6613e-16      0.38944
_SET1_   27185      1  231727561  232187018   2094     222  469118       2.0125    0.0063427    4.4409e-16       2.0125
_SET1_   10000      1  243641535  244049381   1183      89  463528       2.5722    0.0011385    4.4409e-16       2.5722
_SET1_   81553      2   16720727   16882134    700     125  466834     -0.53013      0.51512    6.6613e-16     -0.53013
_SET1_   6546       2   40329286   40774575   2177     156  470225     0.078282      0.27985    6.3838e-16     0.078282
_SET1_   6711       2   54648454   54908583   1201      82  469287     -0.06833      0.33732    6.3838e-16     -0.06833
_SET1_   9938       2   68926913   69063965    687      79  472617       1.0882     0.054897    6.6613e-16       1.0882
_SET1_   23233      2   72393113   73088177   1787      76  468406      -2.1135      0.95189    4.4409e-16      -2.1135
_SET1_   284996     2  101877681  101960178    273      58  463691      -1.5335      0.85774    6.6613e-16      -1.5335
_SET1_   10461      2  112621056  112807293    842      54  469685      0.56755      0.14595    6.6613e-16      0.56755
_SET1_   8942       2  143471497  143809885   1393      89  470082       1.6946     0.015059    6.6613e-16       1.6946
_SET1_   55843      2  143851899  144535921   2357     212  469504      0.41174      0.18392    6.6613e-16      0.41174
_SET1_   9595       2  158261131  158335604    256      67  465209       1.2699     0.050876    6.6613e-16       1.2699
