# ALPHA = 0.05
# NUMBER_OF_TESTS = 29

# _SET1_  VARIABLE = Astrocyte-quiescent (set)
# _SET1_  NGENES = 1261
# _SET1_  P-VALUE = 0.000128083
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   643965        1    1311508    1413167    264      19  36989     -0.85029      0.57132    1.7764e-15     -0.85029
_SET1_   5590          1    1931909    2166834    565      34  36989       1.8952    0.0022901    1.7764e-15       1.8952
_SET1_   63976         1    2935565    3405185   1728     162  36989      0.51613     0.021179    1.7764e-15      0.51613
_SET1_   55966         1    4665105    4893851   1036     109  36989     -0.32614      0.19359    1.8319e-15     -0.32614
_SET1_   8863          1    7794413    7955241    615      39  36989     -0.15178      0.20934    1.8041e-15     -0.15178
_SET1_   2023          1    8871059    8989151    270      25  36989       1.6414    0.0062408    1.7764e-15       1.6414
_SET1_   84275         1    9549528    9692831    222      24  36989      -1.2787      0.68672    1.7764e-15      -1.2787
_SET1_   9249          1   12577939   12727820    551      51  36989      -1.3624      0.65927    1.7764e-15      -1.3624
_SET1_   23254         1   14169646   15494544   5043     341  36989      -0.6603     0.074734    1.7764e-15      -0.6603
_SET1_   55160         1   17796693   18074370    632      55  36989      -1.7754      0.78773    1.7764e-15      -1.7754
_SET1_   7798          1   23360516   23554301    410      21  36989     -0.81109      0.49086    1.7764e-15     -0.81109
_SET1_   55616         1   23705056   23860750    387      29  36989      -1.5935      0.78899    1.7764e-15      -1.5935
_SET1_   57185         1   24692245   24849473    401      28  36989       1.0166     0.028669    1.7764e-15       1.0166
_SET1_   8073          1   32322022   32453988    227      32  36989     -0.65654      0.45871    1.7764e-15     -0.65654
_SET1_   114784        1   33929609   34681443   2107     170  36989     -0.48349      0.10418    1.8319e-15     -0.48349
_SET1_   22955         1   41442871   41757815    818      26  36989       1.1308     0.018165    1.7764e-15       1.1308
_SET1_   339541        1   45090370   45241263    369      40  36989      -0.7075      0.43099    1.7764e-15      -0.7075
_SET1_   84871         1   48948527   50539626   2446      68  36989       1.8069   0.00010861    1.7764e-15       1.8069
_SET1_   55268         1   53311582   53442846    258      15  36989      -1.4771      0.76444    1.7764e-15      -1.4771
_SET1_   26027         1   54957930   55150417    725      72  36989      -2.3898      0.91276    1.7764e-15      -2.3898
_SET1_   374977        1   55057427   55225939    678      54  36989      -1.1583      0.56642    1.7764e-15      -1.1583
_SET1_   8613          1   56910419   57095257    639      47  36989      -1.8764        0.811    1.7764e-15      -1.8764
_SET1_   55277         1   59712625   60278402   1395      97  36989     -0.49139       0.1947    1.8319e-15     -0.49139
_SET1_   85440         1   62870397   63204039    529      17  36989      -1.0869       0.6024    1.7764e-15      -1.0869
_SET1_   5236          1   64008947   64175916    561      50  36989       -0.945      0.48844    1.7764e-15       -0.945
_SET1_   4919          1   64189690   64697181   1308      86  36989      -1.9716       0.7402    1.7764e-15      -1.9716
_SET1_   57685         1   64886476   65208741    727      96  36989     -0.80342      0.42695    1.7764e-15     -0.80342
_SET1_   55225         1   65160778   65348915    413      32  36989      0.68547     0.064045    1.7764e-15      0.68547
_SET1_   205           1   65563232   65747828    516      43  36989      0.85755     0.037237    1.7764e-15      0.85755
_SET1_   9829          1   65670133   65931552    695      54  36989      -2.0535      0.84509    1.7764e-15      -2.0535
_SET1_   55970         1   68117149   68349436    575      34  36989       2.5345   0.00026033    1.7764e-15       2.5345
_SET1_   79971         1   68514142   68748284    846      85  36989      -1.1779        0.536    1.7764e-15      -1.1779
_SET1_   57554         1   69983230   70639171   1783      72  36989     -0.17559     0.085052    1.8041e-15     -0.17559
_SET1_   26289         1   77697662   78075654   1297      73  36989    -0.069465      0.11363    1.8041e-15    -0.069465
_SET1_   79739         1   84285057   84514850    638      27  36989       1.2336     0.015687    1.7764e-15       1.2336
_SET1_   23576         1   85734168   86094046   1082      73  36989      0.65261     0.031971    1.7764e-15      0.65261
_SET1_   9653          1   87330335   87625681    755      24  36989       -1.395      0.69598    1.7764e-15       -1.395
_SET1_   23507         1   89939933   90113420    461      26  36989     -0.12463      0.22104    1.8041e-15     -0.12463
_SET1_   55144         1   90236573   90451991    387      51  36989      0.54313     0.069442    1.7764e-15      0.54313
_SET1_   7049          1   92095900   92421559   1130      87  36989     -0.38439      0.19553    1.8319e-15     -0.38439
_SET1_   8412          1   93977343   94362706   1161      44  36989      -1.8905      0.77029    1.7764e-15      -1.8905
_SET1_   2152          1   94944732   95057413    277      28  36989     -0.42313      0.33527    1.8319e-15     -0.42313
_SET1_   126969        1   95235898   95410803    592      66  36989      -0.6797      0.37194    1.7764e-15      -0.6797
_SET1_   1266          1   95312507   95442735    508      57  36989     0.093094      0.15465    1.8041e-15     0.093094
_SET1_   148534        1   95532894   95713163    610      38  36989       1.1478     0.017697    1.7764e-15       1.1478
_SET1_   25950         1   95649711   95762781    320      30  36989       1.3512     0.014161    1.7764e-15       1.3512
_SET1_   1806          1   97493299   98436615   2438     122  36989       6.5907   1.1587e-17    1.7764e-15       6.5907
_SET1_   178           1  100265633  100439579    596      32  36989      -1.1654      0.59411    1.7764e-15      -1.1654
_SET1_   8556          1  100760598  101035833    543      33  36989     -0.80075      0.45378    1.7764e-15     -0.80075
_SET1_   10451         1  108063782  108557545   1686      97  36989      0.76515      0.01158    1.7764e-15      0.76515
_SET1_   10768         1  110477387  110616364    201      33  36989      0.76696     0.048167    1.7764e-15      0.76696
_SET1_   5906          1  112112405  112306807    678      40  36989      0.68372      0.05026    1.7764e-15      0.68372
_SET1_   4343          1  113167048  113293368    237      35  36989       2.5884   0.00025024    1.7764e-15       2.5884
_SET1_   260425        1  113883087  114278545    821      31  36989      -1.4413      0.67028    1.7764e-15      -1.4413
_SET1_   476           1  116864802  116998069    213      16  36989     -0.53357      0.53014    1.7764e-15     -0.53357
_SET1_   4853          1  120404176  120689880    214      18  36989      -1.8218      0.87134    1.7764e-15      -1.8218
_SET1_   607           1  146963222  147148022    537      66  36989      0.49726     0.077933    1.8319e-15      0.49726
_SET1_   51205         1  147069168  147192634    330      36  36989       -1.044      0.57252    1.7764e-15       -1.044
_SET1_   79630         1  150194687  150303335    214      17  36989        3.407   1.2016e-05    1.7764e-15        3.407
_SET1_   2029          1  150544599  150652098    266      19  36989      0.83759     0.051536    1.7764e-15      0.83759
_SET1_   3570          1  154327669  154491926    442      33  36989      0.90632     0.034968    1.7764e-15      0.90632
_SET1_   3782          1  154619938  154892754    723     103  36989       3.4557   2.7174e-06    1.7764e-15       3.4557
_SET1_   57326         1  154866553  154978624    164      18  36989       3.0604    5.559e-05    1.7764e-15       3.0604
_SET1_   9181          1  155866431  156003396    190      17  36989       2.5501   0.00044276    1.7764e-15       2.5501
_SET1_   10485         1  156324048  156476441    256      42  36989     -0.73279      0.43575    1.7764e-15     -0.73279
_SET1_   60484         1  156539085  156645517    253      23  36989     0.081531      0.19269    1.8041e-15     0.081531
_SET1_   477           1  160035520  160163381    409      52  36989       1.0035     0.025961    1.7764e-15       1.0035
_SET1_   9722          1  161989581  162389813   1408      76  36989     -0.84943      0.30369    1.7764e-15     -0.84943
_SET1_   4921          1  162552228  162806409    684      54  36989     -0.25197      0.24736    1.8319e-15     -0.25197
_SET1_   481           1  169025947  169151960    489      44  36989      0.16523      0.12927    1.8041e-15      0.16523
_SET1_   5396          1  170583313  170758541    419      39  36989      -2.3224      0.92078    1.7764e-15      -2.3224
_SET1_   9588          1  173396486  173507946    235      17  36989       1.4052     0.014807    1.7764e-15       1.4052
_SET1_   460           1  176776441  177184024    984      66  36989       1.6387    0.0027437    1.7764e-15       1.6387
_SET1_   57795         1  177090058  177301558    461      42  36989       3.0585    3.762e-05    1.7764e-15       3.0585
_SET1_   9213          1  180551146  180909415    807      39  36989       2.3773   0.00033981    1.7764e-15       2.3773
_SET1_   777           1  181402447  181825920   1160      84  36989       1.3225    0.0051546    1.7764e-15       1.3225
_SET1_   2752          1  182300839  182411341    383      27  36989      0.80519      0.04719    1.7764e-15      0.80519
_SET1_   80896         1  182708584  182849519    250      32  36989       1.9642    0.0030228    1.7764e-15       1.9642
_SET1_   23057         1  183167372  183437634    691      34  36989       1.4142    0.0083586    1.7764e-15       1.4142
_SET1_   23127         1  183848988  184056904    511      50  36989      0.19686      0.12456    1.8041e-15      0.19686
_SET1_   81563         1  184306150  184648155    885      50  36989      0.96579     0.021571    1.7764e-15      0.96579
_SET1_   339479        1  190016792  190497534   1075      41  36989       1.0045     0.014688    1.7764e-15       1.0045
_SET1_   23418         1  197120592  197497585    555      39  36989      0.97498     0.027155    1.7764e-15      0.97498
_SET1_   1465          1  201402658  201526387    506      39  36989     -0.85074      0.47034    1.7764e-15     -0.85074
_SET1_   9283          1  202042029  202148634    393      59  36989       0.2133      0.12663    1.8041e-15       0.2133
_SET1_   10765         1  202646532  202827549    449      32  36989     -0.63709       0.4079    1.7764e-15     -0.63709
_SET1_   493           1  203545915  203763209    548      60  36989    -0.069872      0.18277    1.8041e-15    -0.069872
_SET1_   22874         1  204137979  204379057    735      61  36989     0.087428      0.12669    1.8041e-15     0.087428
_SET1_   5287          1  204341756  204513943    419      42  36989       2.2376   0.00089722    1.7764e-15       2.2376
