# ALPHA = 0.05
# NUMBER_OF_TESTS = 7

# _SET1_  VARIABLE = SMC (set)
# _SET1_  NGENES = 930
# _SET1_  P-VALUE = 0.00454312
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   2782          1    1716725    1822552    354      66  459277     -0.68716      0.59651    1.1102e-15     -0.68716
_SET1_   63976         1    2985565    3355185   2354     285  469116      -1.4231      0.83381    1.1102e-15      -1.4231
_SET1_   7133          1   12227044   12269279    186      40  470837      0.46287       0.1881    1.1102e-15      0.46287
_SET1_   149563        1   16330731   16333184     21       9  472024       1.0064     0.095877    1.1102e-15       1.0064
_SET1_   55160         1   17846693   18024370    883     107  465717      -1.4282      0.84026    1.1102e-15      -1.4282
_SET1_   1889          1   21543740   21672034    601      86  464758     -0.17713      0.39088    1.1102e-15     -0.17713
_SET1_   249           1   21835475   21904905    403      51  474751     -0.47361      0.50606    1.1102e-15     -0.47361
_SET1_   7798          1   23410516   23504301    261      43  469949      -1.4818      0.85261    1.1102e-15      -1.4818
_SET1_   10163         1   27730734   27816678    256      46  464639       1.0719     0.074749    1.1102e-15       1.0719
_SET1_   2268          1   27938800   27961727     93      27  455169      0.48975      0.22207    1.1102e-15      0.48975
_SET1_   23673         1   28099694   28150963    159      30  454096      0.12755      0.36301    1.1102e-15      0.12755
_SET1_   2035          1   29213603   29446558    800      67  461740       1.0374     0.071921    1.1102e-15       1.0374
_SET1_   192670        1   36273231   36323491    147      46  456153       1.1691     0.065849    1.1102e-15       1.1691
_SET1_   26508         1   40089103   40105348     71      36  472469      -1.5283      0.86046    1.1102e-15      -1.5283
_SET1_   84879         1   40420784   40435630     52      27  460084      0.45814      0.20256    1.1102e-15      0.45814
_SET1_   6513          1   43391046   43424847    160      32  475577      -1.0124      0.71842    1.1102e-15      -1.0124
_SET1_   7075          1   43766566   43788781     59      19  463819     -0.23031      0.42258    1.1102e-15     -0.23031
_SET1_   55182         1   44870837   45117396   1031     132  467875       1.6734     0.015766    1.1102e-15       1.6734
_SET1_   57643         1   45482071   45672250    541      51  469539     -0.13043      0.39367    1.1102e-15     -0.13043
_SET1_   8503          1   46505812   46642167    461      55  467848     -0.81311       0.6381    1.1102e-15     -0.81311
_SET1_   7804          1   53708036   53793821    313      62  471064     -0.67069      0.57421    1.1102e-15     -0.67069
_SET1_   23648         1   54691104   54872068    813     138  465304     -0.13597      0.36798    1.1102e-15     -0.13597
_SET1_   3953          1   65886335   66103176    816      50  466616       0.7554      0.10828    1.1102e-15       0.7554
_SET1_   84251         1   66999066   67210768    990      49  468664      0.34835      0.20531    1.1102e-15      0.34835
_SET1_   256435        1   76540389   77100311   2552     228  464420      -1.6075       0.8733    1.1102e-15      -1.6075
_SET1_   91624         1   78354200   78412009    171      50  459819     -0.19404      0.42354    1.1102e-15     -0.19404
_SET1_   10964         1   79086067   79111830     90      34  475980      -2.0472      0.94918    1.3323e-15      -2.0472
_SET1_   10561         1   79115477   79129763     49      21  459027     -0.45985       0.5257    1.1102e-15     -0.45985
_SET1_   64123         1   79355449   79472495    608      45  474174     -0.36976      0.47501    1.1102e-15     -0.36976
_SET1_   23266         1   82266082   82458107    828      83  469423      0.79952      0.10264    1.1102e-15      0.79952
_SET1_   79739         1   84335057   84464850    454      36  464859     -0.43641      0.50331    1.1102e-15     -0.43641
_SET1_   57489         1   86812507   86862025    219      38  472829     -0.66073      0.58794    1.1102e-15     -0.66073
_SET1_   84230         1   90098644   90185094    264      35  468980      -1.7245      0.89496    1.1102e-15      -1.7245
_SET1_   7049          1   92145900   92371559    979      98  474172      0.35081      0.19845    1.1102e-15      0.35081
_SET1_   54874         1   93913688   94020218    332      72  457632     0.016068      0.33854    1.1102e-15     0.016068
_SET1_   8412          1   94027343   94312706   1257      84  471658      0.47577      0.18164    1.1102e-15      0.47577
_SET1_   5825          1   94883933   94984219    245      61  464669      -1.9677      0.93232    1.1102e-15      -1.9677
_SET1_   54873         1  100111431  100160097    228      41  473679      -1.8469      0.92377    1.1102e-15      -1.8469
_SET1_   8556          1  100810598  100985833    601      52  464343     -0.75023      0.63989    1.1102e-15     -0.75023
_SET1_   6272          1  109852187  109940563    237      48  455818     -0.90155      0.67609    1.1102e-15     -0.90155
_SET1_   55917         1  112938800  113003786    209      19  475516      0.09724      0.30729    1.1102e-15      0.09724
_SET1_   6566          1  113454469  113498975    129      48  467498     -0.30663       0.4493    1.1102e-15     -0.30663
_SET1_   260425        1  113933087  114228545    897      75  461698     -0.64526      0.56892    1.1102e-15     -0.64526
_SET1_   845           1  116242624  116311426    416      41  471169       0.7824      0.10492    1.1102e-15       0.7824
_SET1_   476           1  116914802  116948069    102      23  463733       1.1089     0.088976    1.1102e-15       1.1089
_SET1_   6913          1  119425666  119532179    396      53  469230      -1.4474      0.83493    1.1102e-15      -1.4474
_SET1_   647135        1  143915897  144094426     32      21  347485      -0.7736      0.63919    1.1102e-15      -0.7736
_SET1_   27246         1  145610990  145689005    138      21  366463     -0.40347      0.44163    1.1102e-15     -0.40347
_SET1_   7170          1  154127780  154164611     89      27  451259      0.11061      0.28585    1.1102e-15      0.11061
_SET1_   126669        1  154442118  154474786     87      34  463081      -1.6713       0.8918    1.1102e-15      -1.6713
_SET1_   103           1  154554533  154600456    131      27  471944     -0.49364       0.5165    1.1102e-15     -0.49364
_SET1_   2224          1  155278539  155290457     30      13  449858      -1.3669      0.84401    1.1102e-15      -1.3669
_SET1_   55243         1  157963063  158065846    456     103  470839    -0.081647      0.34849    1.1102e-15    -0.081647
_SET1_   3428          1  158979682  159024945    252      21  474469      0.88106      0.11097    1.1102e-15      0.88106
_SET1_   9019          1  167691187  167761156    296      50  462205       1.4065     0.031143    1.1102e-15       1.4065
_SET1_   26052         1  171810618  172387606   2254     139  467183      0.65635      0.12336    1.1102e-15      0.65635
_SET1_   27252         1  173684063  173755960    256      29  448321      0.11359      0.31909    1.1102e-15      0.11359
_SET1_   9213          1  180601146  180859415   1144      42  458336     -0.16219      0.40742    1.1102e-15     -0.16219
_SET1_   116496        1  184760159  184943718    833      74  464988     0.002853      0.31919    1.1102e-15     0.002853
_SET1_   343450        1  196194913  196577690   1373      72  433544     -0.74558      0.62268    1.1102e-15     -0.74558
_SET1_   3075          1  196621008  196716634    434      46  465899      0.33574      0.21524    1.1102e-15      0.33574
_SET1_   89796         1  201508243  201796102   1273     168  468951     -0.13848      0.37474    1.1102e-15     -0.13848
_SET1_   25802         1  201865584  201915716    216      57  465559      0.13715      0.27471    1.1102e-15      0.13715
_SET1_   4660          1  202317830  202557697    702      62  463017     -0.47738      0.50341    1.1102e-15     -0.47738
_SET1_   493           1  203595915  203713209    512      91  465774      -1.9227      0.93031    1.1102e-15      -1.9227
_SET1_   5287          1  204391756  204463943    361      55  464919      -1.9467      0.93568    1.1102e-15      -1.9467
_SET1_   23114         1  204797782  204991950   1018     111  465436       1.2822     0.041064    1.1102e-15       1.2822
_SET1_   5129          1  205473684  205501921    165      54  470661        1.432     0.029916    1.1102e-15        1.432
_SET1_   4179          1  207925383  207968861    152      32  465626       1.8331     0.011041    1.1102e-15       1.8331
_SET1_   947           1  208059883  208084742    109      34  468185       2.2368    0.0037333    1.3323e-15       2.2368
_SET1_   5362          1  208195587  208417665   1071     111  463830     -0.25505      0.41188    1.1102e-15     -0.25505
_SET1_   5784          1  214521640  214725024   1076     112  473322      0.15919      0.26573    1.1102e-15      0.15919
_SET1_   4139          1  220701568  220837799    458      49  463980      0.71135       0.1373    1.1102e-15      0.71135
_SET1_   64853         1  222841355  222886602    134      41  458424       0.6091      0.15797    1.1102e-15       0.6091
_SET1_   55740         1  225674534  225840845    545      44  467773      -0.5409      0.56679    1.1102e-15      -0.5409
_SET1_   8476          1  227177566  227506193   1868      38  473088      0.30796      0.22295    1.1102e-15      0.30796
_SET1_   27185         1  231762561  232177018   1841     199  468990       1.4152     0.030197    1.1102e-15       1.4152
_SET1_   57568         1  232533711  232765907   1179     137  468914     -0.51231      0.51493    1.1102e-15     -0.51231
_SET1_   1130          1  235824331  236047008    645      72  462421     -0.58758      0.54511    1.1102e-15     -0.58758
_SET1_   6262          1  237205510  237997288   4008     332  469964     -0.29156      0.40487    1.1102e-15     -0.29156
_SET1_   3241          2   10443015   10567743    713     114  474195     -0.26389      0.40212    1.1102e-15     -0.26389
_SET1_   9475          2   11319894   11484711    637      43  470061      0.59963      0.15112    1.1102e-15      0.59963
_SET1_   50618         2   24425733   24583647    501      49  467986       1.1696     0.060541    1.1102e-15       1.1696
_SET1_   8648          2   24714919   24993571    982      71  461950     -0.33292      0.46002    1.1102e-15     -0.33292
_SET1_   109           2   25042038   25142602    607      50  464849      0.48738      0.16939    1.1102e-15      0.48738
_SET1_   22979         2   25264973   25382004    422      70  460126       1.3496     0.034059    1.1102e-15       1.3496
_SET1_   5500          2   28974614   29025806    213      51  463557     -0.43369       0.4847    1.1102e-15     -0.43369
_SET1_   4052          2   33172221   33624576   2766     146  470238      -1.5953      0.86392    1.1102e-15      -1.5953
_SET1_   9637          2   36779397   36825333    240      36  466971     -0.66356       0.5779    1.1102e-15     -0.66356
_SET1_   5610          2   37332281   37384190    250      42  462332      -1.4494      0.84921    1.1102e-15      -1.4494
_SET1_   23683         2   37477645   37551915    419      44  465583         2.08    0.0062496    1.3323e-15         2.08
_SET1_   6654          2   39208690   39347686    523      42  466013      0.82231      0.12492    1.1102e-15      0.82231
_SET1_   6546          2   40339286   40739575   1992     174  470357      0.34216      0.20646    1.1102e-15      0.34216
_SET1_   2034          2   46524541   46613842    381      69  465207      -2.0344      0.93737    1.3323e-15      -2.0344
_SET1_   57217         2   47168313   47303275    819      90  469627       1.3548     0.033398    1.1102e-15       1.3548
_SET1_   6711          2   54683454   54898583   1005      63  469320     0.049631      0.30728    1.1102e-15     0.049631
_SET1_   114800        2   56411258   56613309    970     121  467173     -0.59938      0.55484    1.1102e-15     -0.59938
_SET1_   84542         2   61293005   61365169    229      62  458734       0.4664      0.17223    1.1102e-15       0.4664
_SET1_   57162         2   64319786   64371605    203      43  457770      -1.9265      0.93157    1.1102e-15      -1.9265
_SET1_   23177         2   65283495   65314142    142      37  466025    -0.039084      0.35036    1.1102e-15    -0.039084
_SET1_   200734        2   65534580   65659733    504      46  467503       2.2985     0.002901    1.3323e-15       2.2985
_SET1_   84168         2   69240276   69476459   1116     124  467068      0.55269      0.15531    1.1102e-15      0.55269
_SET1_   22848         2   69685127   69901566    814      59  463070      0.85475      0.10089    1.1102e-15      0.85475
_SET1_   23233         2   72403113   73053177   1627      75  467895      -1.9042      0.93002    1.1102e-15      -1.9042
_SET1_   9168          2   85132763   85133799      3       1  476169      0.12703      0.44434    1.1102e-15      0.12703
