# ALPHA = 0.05
# NUMBER_OF_TESTS = 29

# _SET1_  VARIABLE = Astrocyte-quiescent (set)
# _SET1_  NGENES = 259
# _SET1_  P-VALUE = 0.00132346
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   63976      1    2960565    3380185   1565     154  36989      0.70956      0.01601   -2.2204e-16      0.70956
_SET1_   339541     1   45115370   45216263    257      37  36989     -0.90201      0.55051   -2.2204e-16     -0.90201
_SET1_   55268      1   53336582   53417846    125      15  36989      -1.5196      0.79269   -2.2204e-16      -1.5196
_SET1_   26027      1   54982930   55125417    530      45  36989      -1.9085      0.84414   -2.2204e-16      -1.9085
_SET1_   374977     1   55082427   55200939    481      43  36989      -0.8839      0.50127   -2.2204e-16      -0.8839
_SET1_   8613       1   56935419   57070257    405      40  36989      -2.1614      0.90539   -4.4409e-16      -2.1614
_SET1_   85440      1   62895397   63179039    410      12  36989     -0.89132      0.54428   -2.2204e-16     -0.89132
_SET1_   57685      1   64911476   65183741    609      76  36989     -0.44236      0.32603   -2.7756e-16     -0.44236
_SET1_   79971      1   68539142   68723284    692      78  36989      -1.1596      0.57043   -2.2204e-16      -1.1596
_SET1_   26289      1   77722662   78050654   1187      74  36989      0.14688     0.078269   -2.7756e-16      0.14688
_SET1_   79739      1   84310057   84489850    501      22  36989      0.10009      0.16718   -2.7756e-16      0.10009
_SET1_   23576      1   85759168   86069046    919      65  36989      0.74826     0.030081   -2.2204e-16      0.74826
_SET1_   7049       1   92120900   92396559    953      76  36989      -0.9433      0.41838   -2.2204e-16      -0.9433
_SET1_   8412       1   94002343   94337706   1046      35  36989       -1.834      0.74673   -2.2204e-16       -1.834
_SET1_   2152       1   94969732   95032413    124      26  36989    -0.010153      0.22792   -2.7409e-16    -0.010153
_SET1_   1806       1   97518299   98411615   2309     119  36989       6.4753   1.9849e-17             0       6.4753
