# ALPHA = 0.05
# NUMBER_OF_TESTS = 6

# _SET1_  VARIABLE = Astro (set)
# _SET1_  NGENES = 1266
# _SET1_  P-VALUE = 5.27279e-05
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   643965        1    1336508    1388167    154      16  36989     -0.59437      0.48453             0     -0.59437
_SET1_   5590          1    1956909    2141834    455      29  36989        1.592    0.0069059             0        1.592
_SET1_   63976         1    2960565    3380185   1565     154  36989      0.70956      0.01601             0      0.70956
_SET1_   55966         1    4690105    4868851    836      92  36989     -0.42836      0.26466             0     -0.42836
_SET1_   26038         1    6136847    6265194    399      40  36989      -1.3928       0.7082             0      -1.3928
_SET1_   8863          1    7819413    7930241    440      35  36989     -0.15549      0.23984             0     -0.15549
_SET1_   2023          1    8896059    8964151    137      16  36989       1.5474     0.011538             0       1.5474
_SET1_   84275         1    9574528    9667831    135      13  36989      -1.3229      0.74492             0      -1.3229
_SET1_   9249          1   12602939   12702820    408      47  36989      -1.0098      0.55971             0      -1.0098
_SET1_   23254         1   14194646   15469544   4859     340  36989     -0.58401     0.064901             0     -0.58401
_SET1_   55160         1   17821693   18049370    523      49  36989      -1.7263      0.79639             0      -1.7263
_SET1_   84966         1   18409240   18729977   1182     138  36989       1.7642    0.0014398             0       1.7642
_SET1_   55450         1   20783884   20837728    112      21  36989      0.20274      0.17833             0      0.20274
_SET1_   7798          1   23385516   23529301    300      18  36989     -0.49877      0.39452             0     -0.49877
_SET1_   55616         1   23730056   23835750    269      18  36989      -1.2104      0.69861             0      -1.2104
_SET1_   57185         1   24717245   24824473    275      21  36989        1.158     0.026509             0        1.158
_SET1_   3925          1   26185670   26258368     78       7  36989      -2.5053      0.96709             0      -2.5053
_SET1_   8073          1   32347022   32428988    133      21  36989     0.012172       0.2605   -1.0408e-17     0.012172
_SET1_   1912          1   33764224   33866194    277      19  36989      0.14938      0.18142             0      0.14938
_SET1_   114784        1   33954609   34656443   1951     171  36989     -0.82149      0.18805             0     -0.82149
_SET1_   339541        1   45115370   45216263    257      37  36989     -0.90201      0.55051             0     -0.90201
_SET1_   84871         1   48973527   50514626   2323      59  36989       1.6463    0.0001263             0       1.6463
_SET1_   55268         1   53336582   53417846    125      15  36989      -1.5196      0.79269             0      -1.5196
_SET1_   26027         1   54982930   55125417    530      45  36989      -1.9085      0.84414             0      -1.9085
_SET1_   374977        1   55082427   55200939    481      43  36989      -0.8839      0.50127             0      -0.8839
_SET1_   8613          1   56935419   57070257    405      40  36989      -2.1614      0.90539             0      -2.1614
_SET1_   55277         1   59737625   60253402   1256      85  36989    -0.092341      0.11122   -1.3878e-17    -0.092341
_SET1_   85440         1   62895397   63179039    410      12  36989     -0.89132      0.54428             0     -0.89132
_SET1_   5236          1   64033947   64150916    357      42  36989     -0.54089      0.38384             0     -0.54089
_SET1_   4919          1   64214690   64672181   1161      78  36989      -1.9987      0.76624             0      -1.9987
_SET1_   57685         1   64911476   65183741    609      76  36989     -0.44236      0.32603             0     -0.44236
_SET1_   55225         1   65185778   65323915    295      22  36989      0.81355     0.059198             0      0.81355
_SET1_   205           1   65588232   65722828    364      35  36989      0.74184     0.059086             0      0.74184
_SET1_   9829          1   65695133   65906552    596      38  36989       -2.595      0.94945             0       -2.595
_SET1_   55970         1   68142149   68324436    460      35  36989       2.5356   0.00032106             0       2.5356
_SET1_   79971         1   68539142   68723284    692      78  36989      -1.1596      0.57043             0      -1.1596
_SET1_   57554         1   70008230   70614171   1682      71  36989     -0.28308     0.094124             0     -0.28308
_SET1_   204962        1   75642816   76106698   1229      48  36989     -0.87404      0.32594             0     -0.87404
_SET1_   26289         1   77722662   78050654   1187      74  36989      0.14688     0.078269             0      0.14688
_SET1_   23266         1   82241082   82483107    704      46  36989      -1.4465      0.66966             0      -1.4465
_SET1_   79739         1   84310057   84489850    501      22  36989      0.10009      0.16718   -1.3878e-17      0.10009
_SET1_   23576         1   85759168   86069046    919      65  36989      0.74826     0.030081             0      0.74826
_SET1_   9653          1   87355335   87600681    613      19  36989      -1.2932      0.66748             0      -1.2932
_SET1_   23507         1   89964933   90088420    318      22  36989      0.11807      0.18061   -1.3878e-17      0.11807
_SET1_   55144         1   90261573   90426991    264      40  36989       0.9807      0.03775             0       0.9807
_SET1_   7049          1   92120900   92396559    953      76  36989      -0.9433      0.41838             0      -0.9433
_SET1_   8412          1   94002343   94337706   1046      35  36989       -1.834      0.74673             0       -1.834
_SET1_   2152          1   94969732   95032413    124      26  36989    -0.010153      0.22792   -1.0408e-17    -0.010153
_SET1_   126969        1   95260898   95385803    455      57  36989     -0.78484      0.46062             0     -0.78484
