# ALPHA = 0.05
# NUMBER_OF_TESTS = 6

# _SET1_  VARIABLE = Microglia (set)
# _SET1_  NGENES = 3752
# _SET1_  P-VALUE = 0.000385638
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   54991         1    1007198    1086736    445      57  459504       1.5283     0.022328   -6.6613e-16       1.5283
_SET1_   116983        1    1217764    1278304    353      61  457628     -0.89601      0.70959   -5.5511e-16     -0.89601
_SET1_   81669         1    1311091    1369718    297      38  462831     -0.81896      0.67848   -5.5511e-16     -0.81896
_SET1_   643965        1    1326508    1373167    237      45  461609     -0.70972      0.62826   -5.5511e-16     -0.70972
_SET1_   2782          1    1706725    1857552    549      64  461322     -0.94414      0.67363   -5.5511e-16     -0.94414
_SET1_   5590          1    1946909    2126834    980     118  465400      -2.1854       0.9517   -4.4409e-16      -2.1854
_SET1_   6497          1    2125134    2251652    592     106  464827      -1.8219       0.9023   -6.6613e-16      -1.8219
_SET1_   9731          1    3718645    3808797    713      55  473191     -0.66445      0.57268   -5.5511e-16     -0.66445
_SET1_   55966         1    4680105    4853851   1133     152  473410      -1.8701      0.91335   -6.6613e-16      -1.8701
_SET1_   55735         1    6684228    6796966    434      60  469291       2.0428    0.0054637   -4.4409e-16       2.0428
_SET1_   23261         1    6810384    7839766   4535     347  469990      0.10935      0.25924   -6.1062e-16      0.10935
_SET1_   8863          1    7809413    7915241    452      49  474483      0.65845      0.13289   -5.5511e-16      0.65845
_SET1_   473           1    8402464    8912699   1433      72  464886       2.1157    0.0044384   -4.4409e-16       2.1157
_SET1_   6518          1    9087005    9166763    414      55  471932       1.6716     0.015801   -6.6613e-16       1.6716
_SET1_   5293          1    9676789    9799172    556      86  461632       1.4409     0.027153   -6.6613e-16       1.4409
_SET1_   22883         1    9779079    9919550    633      60  452429     -0.69117      0.62311   -5.5511e-16     -0.69117
_SET1_   10277         1   10058041   10251297    689      48  469162     -0.43292      0.54564   -6.1062e-16     -0.43292
_SET1_   23095         1   10235606   10451664    906      39  473632      0.27733      0.24746   -6.1062e-16      0.27733
_SET1_   5394          1   11116675   11194961    287      17  470277      -1.2074      0.83537   -6.6613e-16      -1.2074
