# ALPHA = 0.05
# NUMBER_OF_TESTS = 6

# _SET1_  VARIABLE = Microglia (set)
# _SET1_  NGENES = 1261
# _SET1_  P-VALUE = 0.00268983
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   6497          1    2160134    2241652    408     105  462692      -1.9773      0.93164    1.3323e-15      -1.9773
_SET1_   55966         1    4715105    4843851    857     118  474019      -1.5063      0.84801    1.3323e-15      -1.5063
_SET1_   23261         1    6845384    7829766   4336     358  469781     0.093823      0.26817    1.2906e-15     0.093823
_SET1_   6518          1    9097005    9131763    153      32  471589       1.8051      0.01268    1.3323e-15       1.8051
_SET1_   5293          1    9711789    9789172    335      67  460695      0.80611      0.10982    1.3323e-15      0.80611
_SET1_   23095         1   10270606   10441664    689      35  473689      0.20972      0.26977    1.2768e-15      0.20972
_SET1_   7133          1   12227044   12269279    186      40  470837      0.46992       0.1881    1.2768e-15      0.46992
_SET1_   9249          1   12627939   12677820    236      66  468205      -0.2207      0.39346    1.2768e-15      -0.2207
_SET1_   23254         1   14219646   15444544   6679     495  468521       1.3081     0.030734    1.3323e-15       1.3081
_SET1_   55092         1   15479028   15546974    442      44  477011      -2.0522      0.94367    1.3323e-15      -2.0522
_SET1_   55920         1   17733251   17766250    150      43  456625       -2.185      0.95777    1.3323e-15       -2.185
_SET1_   84966         1   18434240   18704977   1501     223  467147      -1.9734      0.93474    1.3323e-15      -1.9734
_SET1_   832           1   19665267   19812066    775      47  472024      0.75085      0.11564    1.3323e-15      0.75085
_SET1_   440574        1   19923471   19956315    148      23  468139        1.708      0.02068    1.3323e-15        1.708
_SET1_   55450         1   20808884   20812728     10       6  427038     -0.60567      0.66512    1.3323e-15     -0.60567
_SET1_   1889          1   21543740   21672034    601      86  464758     -0.17206      0.39088    1.2768e-15     -0.17206
_SET1_   713           1   22979682   22988130     36      14  473320     -0.69943      0.62661    1.3323e-15     -0.69943
_SET1_   6195          1   26856249   26901520    156      37  462336     -0.61937      0.56954    1.3323e-15     -0.61937
_SET1_   10163         1   27730734   27816678    256      46  464639       1.0789     0.074749    1.3323e-15       1.0789
_SET1_   5724          1   28473677   28520447    134      60  455121      0.53775      0.16544    1.3323e-15      0.53775
_SET1_   2035          1   29213603   29446558    800      67  461740       1.0449     0.071921    1.3323e-15       1.0449
_SET1_   7805          1   31205315   31230683    133      59  458853        2.329    0.0023809    1.3323e-15        2.329
_SET1_   1307          1   32117848   32169768    207      66  463494      0.42891      0.18357    1.2768e-15      0.42891
_SET1_   1912          1   33789224   33841194    215      45  464617     -0.35704      0.45768    1.2768e-15     -0.35704
_SET1_   114784        1   33979609   34631443   2968     295  466818     -0.78231      0.61309    1.3323e-15     -0.78231
_SET1_   1441          1   36931644   36948915     73      32  467036      0.12564      0.29422    1.2768e-15      0.12564
_SET1_   64744         1   40839378   40888998    173      48  472830      -1.6803      0.89478    1.3323e-15      -1.6803
_SET1_   59269         1   41972036   42501596   2185     134  468432      0.85349      0.08867    1.3323e-15      0.85349
_SET1_   5792          1   43991708   44089343    463      48  459273       2.1189    0.0049543    1.3323e-15       2.1189
_SET1_   55182         1   44870837   45117396   1031     132  467875        1.675     0.015766    1.3323e-15        1.675
_SET1_   57643         1   45482071   45672250    541      51  469539     -0.12319      0.39367    1.2906e-15     -0.12319
_SET1_   8569          1   47023079   47069966    179      44  465863      0.37819      0.20862    1.2768e-15      0.37819
_SET1_   84871         1   48998527   50489626   4462     138  458219      0.27288      0.22423    1.2768e-15      0.27288
_SET1_   8613          1   56960419   57045257    366      61  465839      0.36613      0.20777    1.2768e-15      0.36613
_SET1_   5563          1   57110990   57181008    342      34  473537      0.20016      0.25801    1.2768e-15      0.20016
_SET1_   9829          1   65720133   65881552    630      61  466789      0.87848     0.087333    1.3323e-15      0.87848
_SET1_   5142          1   66258193   66840262   2322     165  467219     -0.59652      0.54056    1.3323e-15     -0.59652
_SET1_   84251         1   66999066   67210768    990      49  468664      0.35883      0.20531    1.2768e-15      0.35883
_SET1_   57554         1   70033230   70589171   2299     143  466918       1.0837     0.056929    1.3323e-15       1.0837
_SET1_   257194        1   71868625   72748533   3079     188  464137      0.23392      0.23304    1.2768e-15      0.23392
_SET1_   204962        1   75667816   76081698   1671      89  469099      0.77999      0.10308    1.3323e-15      0.77999
_SET1_   256435        1   76540389   77100311   2552     228  464420      -1.6124       0.8733    1.3323e-15      -1.6124
_SET1_   26289         1   77747662   78025654   1260     109  474810      -1.0914      0.73229    1.3323e-15      -1.0914
_SET1_   10964         1   79086067   79111830     90      34  475980      -2.0412      0.94918    1.3323e-15      -2.0412
_SET1_   79739         1   84335057   84464850    454      36  464859     -0.42677      0.50331    1.2768e-15     -0.42677
_SET1_   5567          1   84543745   84704181    435      66  464042      -0.3688      0.46017    1.2768e-15      -0.3688
_SET1_   23576         1   85784168   86044046   1178     111  469038      0.07544      0.28932    1.2906e-15      0.07544
_SET1_   84230         1   90098644   90185094    264      35  468980      -1.7149      0.89496    1.3323e-15      -1.7149
_SET1_   284697        1   92545862   92613397    235      44  467941      -1.2717      0.79954    1.3323e-15      -1.2717
_SET1_   388650        1   93298286   93427079    389      33  466436       1.6371     0.019936    1.3323e-15       1.6371
_SET1_   54874         1   93913688   94020218    332      72  457632     0.021816      0.33854    1.2837e-15     0.021816
_SET1_   8412          1   94027343   94312706   1257      84  471658      0.48176      0.18164    1.2768e-15      0.48176
_SET1_   58155         1   97187161   97280605    342      47  464307     -0.20775      0.40732    1.2768e-15     -0.20775
_SET1_   284611        1  109102653  109181949    208      29  465915      0.75962      0.14207    1.3323e-15      0.75962
_SET1_   29899         1  109417972  109473044    200      40  468711       1.4059     0.034172    1.3323e-15       1.4059
_SET1_   963           1  111413821  111442558    110      21  474791      -1.0427      0.73283    1.3323e-15      -1.0427
_SET1_   128338        1  111659954  111682838     97      28  466111     -0.25803      0.44735    1.2768e-15     -0.25803
_SET1_   5906          1  112162405  112256807    436      46  472689      -1.1367      0.75975    1.3323e-15      -1.1367
_SET1_   3752          1  112318444  112532147    967     165  470362     -0.66868      0.58126    1.3323e-15     -0.66868
_SET1_   55917         1  112938800  113003786    209      19  475516      0.10661      0.30729    1.2906e-15      0.10661
_SET1_   7482          1  113010040  113063910    190      54  472170     -0.33026      0.44784    1.2768e-15     -0.33026
_SET1_   55356         1  116519119  116612675    345      52  469053      0.88769      0.10031    1.3323e-15      0.88769
_SET1_   965           1  117057156  117113715    144      53  460422       1.6163     0.023265    1.3323e-15       1.6163
_SET1_   647135        1  143915897  144094426     32      21  347485      -0.7825      0.63919    1.3323e-15      -0.7825
_SET1_   56957         1  149912229  149982686    223      37  458221       -1.342      0.84553    1.3323e-15       -1.342
_SET1_   51177         1  150122170  150131825     50      23  444700     0.010494      0.35927    1.2854e-15     0.010494
_SET1_   1520          1  150702672  150738433    100      24  463078       0.2631      0.24668    1.2768e-15       0.2631
_SET1_   3570          1  154377669  154441926    266      38  472051      0.46721      0.18061    1.2768e-15      0.46721
_SET1_   23208         1  155829260  155854990     66      25  458793       1.3116     0.045809    1.3323e-15       1.3116
