# ALPHA = 0.05
# NUMBER_OF_TESTS = 12

# _SET1_  VARIABLE = Microglia (set)
# _SET1_  NGENES = 249
# _SET1_  P-VALUE = 0.000823825
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   6518       1    9087005    9166763    414      55  471932       1.6815     0.015801   -2.2204e-16       1.6815
_SET1_   84966      1   18399240   18714977   1717     250  467668       -1.977      0.93461   -2.2204e-16       -1.977
_SET1_   713        1   22944682   22998130    232      44  468518     -0.81678      0.63491   -1.1102e-16     -0.81678
_SET1_   7805       1   31195315   31265683    355      77  464829       2.1864    0.0033547             0       2.1864
_SET1_   1441       1   36921644   36983915    266      56  472708      0.94759     0.086199   -1.1102e-16      0.94759
_SET1_   64744      1   40804378   40898998    349      73  471965      -1.2646       0.7855   -2.2204e-16      -1.2646
_SET1_   8569       1   47013079   47104966    382      66  461955      0.11929      0.27034   -1.5266e-16      0.11929
_SET1_   84251      1   66964066   67220768   1256      55  468663       0.3662      0.19665   -1.6653e-16       0.3662
_SET1_   963        1  111378821  111452558    336      37  475742      0.58434      0.15396   -1.1102e-16      0.58434
_SET1_   647135     1  143880897  144104426     34      23  330494     -0.71926      0.64246   -1.1102e-16     -0.71926
_SET1_   3428       1  158944682  159034945    466      44  470272       1.1678     0.059302   -2.2204e-16       1.1678
_SET1_   8832       1  160500884  160584306    456      43  469645       1.0322     0.076145   -2.2204e-16       1.0322
_SET1_   5087       1  164493597  164831067   1388     215  468364      0.17934      0.25324   -1.3878e-16      0.17934
_SET1_   92241      1  167564474  167687933    705     121  467171       1.7062     0.013345   -2.2204e-16       1.7062
_SET1_   80896      1  182723584  182809519    319      60  470717     -0.86898      0.67896   -1.1102e-16     -0.86898
_SET1_   5321       1  186763032  186968113    874      98  468501      -1.2966      0.78791   -2.2204e-16      -1.2966
_SET1_   5788       1  198573098  198736605    737      78  467266     -0.13957      0.38072   -1.3878e-16     -0.13957
_SET1_   23114      1  204762782  205001950   1263     114  465522       1.1914     0.046585   -2.2204e-16       1.1914
_SET1_   8476       1  227167566  227541193   2101      40  472613      0.38944      0.20403   -1.6653e-16      0.38944
_SET1_   27185      1  231727561  232187018   2094     222  469118       2.0125    0.0063427             0       2.0125
_SET1_   80003      1  233109855  233466459   1750     166  471217      0.27391      0.22553   -1.6653e-16      0.27391
_SET1_   6546       2   40329286   40774575   2177     156  470225     0.078282      0.27985   -1.5266e-16     0.078282
_SET1_   678        2   43439541   43488745    162      61  458345       2.8832   0.00040005             0       2.8832
_SET1_   6711       2   54648454   54908583   1201      82  469287     -0.06833      0.33732   -1.5266e-16     -0.06833
_SET1_   9938       2   68926913   69063965    687      79  472617       1.0882     0.054897   -2.2204e-16       1.0882
_SET1_   11320      2   99225569   99382589    589      79  464820        2.029    0.0056922             0        2.029
_SET1_   8440       2  106326520  106520730   1045      75  465605       3.5722   2.2621e-05             0       3.5722
_SET1_   10461      2  112621056  112807293    842      54  469685      0.56755      0.14595   -1.1102e-16      0.56755
_SET1_   55843      2  143851899  144535921   2357     212  469504      0.41174      0.18392   -1.6653e-16      0.41174
_SET1_   8502       2  159278476  159547941   1305      64  469555    -0.031379      0.32519   -1.5266e-16    -0.031379
_SET1_   22837      2  165526695  165733678    919      68  470257     -0.36692      0.45665   -1.6653e-16     -0.36692
_SET1_   27347      2  168800530  169139105   1666     105  467301     -0.88709      0.64169   -1.1102e-16     -0.88709
_SET1_   11069      2  173565525  173927621   1476     167  470093      0.13364      0.26709   -1.3878e-16      0.13364
_SET1_   91404      2  179956419  180164350    875      76  467893      0.48041      0.17147   -1.6653e-16      0.48041
_SET1_   10787      2  183779579  183938586    631      54  469065      -1.6832      0.90295   -2.2204e-16      -1.6832
_SET1_   7145       2  218654512  218843796    855     157  471139     -0.47925      0.49003   -1.6653e-16     -0.47925
_SET1_   6556       2  219211752  219271617    245      71  466047      -1.2765      0.78708   -2.2204e-16      -1.2765
_SET1_   55619      2  225619807  225942330   1424     128  465404       2.1069    0.0043121             0       2.1069
_SET1_   6672       2  231245871  231420317    822      77  469351      -0.3535      0.43312   -1.6653e-16      -0.3535
_SET1_   116987     2  236367733  237050444   3201     262  466468     -0.86274      0.64967   -1.1102e-16     -0.86274
_SET1_   6529       3   10999420   11090935    416     112  471291      -1.3322      0.79698   -2.2204e-16      -1.3322
_SET1_   9922       3   12928542   13149652   1135     175  469857      0.24586      0.22838   -1.3878e-16      0.24586
_SET1_   23228      3   16939582   17142098    765      60  467693       -1.721       0.8939   -2.2204e-16       -1.721
_SET1_   9497       3   27404212   27560911    729      51  465170       0.8347      0.09861   -1.1102e-16       0.8347
_SET1_   27303      3   29287351   30061886   4104     264  471603      0.41853      0.18645   -1.6653e-16      0.41853
_SET1_   7048       3   30612994   30745634    606     105  469019    -0.099857      0.34047   -1.5266e-16    -0.099857
_SET1_   112616     3   32398163   32506333    599      80  473517      0.90565      0.08021   -1.1102e-16      0.90565
_SET1_   1524       3   39294985   39358226    336      60  463408      -1.4047      0.81985   -2.2204e-16      -1.4047
_SET1_   25924      3   39815405   40311812   2442     133  467371      0.39031      0.17844   -1.6653e-16      0.39031
_SET1_   5793       3   61512243   62290573   3844     302  468559      -1.2653      0.78068   -2.2204e-16      -1.2653
_SET1_   166336     3   64069526   64288859   1086     124  466400     -0.80474      0.61337   -1.1102e-16     -0.80474
_SET1_   23024      3   73421582   73709072   1256     152  467830     -0.33976      0.43105   -1.6653e-16     -0.33976
_SET1_   3059       3  121340246  121414791    256      39  465374      -1.9907      0.93841   -2.2204e-16      -1.9907
_SET1_   942        3  121739209  121849990    368      84  469994    -0.011189      0.32245   -1.5092e-16    -0.011189
_SET1_   8997       3  123778558  124450036   3161     179  468453      0.74438      0.10181   -1.1102e-16      0.74438
_SET1_   285195     3  142974063  143602373   2800     256  471651    -0.055959      0.34224   -1.5266e-16    -0.055959
_SET1_   64805      3  151044631  151137600    431      56  470947     -0.57446      0.53702   -1.1102e-16     -0.57446
_SET1_   6480       3  186613315  186806341   1121     133  471041        -1.13      0.73269   -2.2204e-16        -1.13
_SET1_   57533      4    6876171    7044845    829      81  469827       1.0476     0.061162   -2.2204e-16       1.0476
_SET1_   7096       4   38787876   38841814    250      38  475872       1.5052     0.027892   -2.2204e-16       1.5052
_SET1_   80008      4   38958052   39069041    573      80  473233      -2.5242      0.97813             0      -2.5242
_SET1_   54502      4   40415272   40667958   1105     177  468278     -0.25364      0.40038   -1.6653e-16     -0.25364
_SET1_   323        4   40802044   41253731   2147     157  469074       1.4268     0.026166   -2.2204e-16       1.4268
_SET1_   22998      4   41327802   41712061   1675     176  465962     0.047475       0.2944   -1.5266e-16     0.047475
_SET1_   23284      4   62031949   62948168   3466     242  466807     -0.92106      0.66751   -1.1102e-16     -0.92106
_SET1_   55589      4   79662532   79847519    630      47  469437     -0.29921      0.51701   -1.6653e-16     -0.29921
_SET1_   83478      4   86033860   86933823   4254     186  471656    0.0092341      0.29815   -1.5092e-16    0.0092341
_SET1_   8404       4   88384483   88485798    485      49  469737   -0.0031487      0.31622   -1.5179e-16   -0.0031487
_SET1_   285513     4   90152427   90264161    490     105  469980      -1.6041      0.86113   -2.2204e-16      -1.6041
_SET1_   4126       4  103542643  103717151    747      57  465467     -0.20627      0.38909   -1.3878e-16     -0.20627
_SET1_   80216      4  113183480  113373774    823     131  468331       1.3148     0.032528   -2.2204e-16       1.3148
_SET1_   55534      4  140627545  141110233   1869     242  469430       0.7509      0.11017   -1.1102e-16       0.7509
_SET1_   152503     4  152031433  152281797   1024      70  465332       1.0265     0.065481   -2.2204e-16       1.0265
_SET1_   7097       4  154570404  154637243    298      52  467285      0.58557      0.14678   -1.1102e-16      0.58557
_SET1_   8470       4  186496598  186912870   2505     257  469736       -1.015      0.70431   -2.2204e-16       -1.015
_SET1_   25854      4  186991054  187103817    519      69  471071     -0.16795      0.37059   -1.3878e-16     -0.16795
_SET1_   54491      5   14546891   14626289    277      66  462497       1.2498     0.044376   -2.2204e-16       1.2498
_SET1_   23194      5   15465305   15949905   1771     121  467340     -0.13261      0.35394   -1.3878e-16     -0.13261
_SET1_   23037      5   31604345   32121038   2653     327  472584      -1.0491      0.70351   -2.2204e-16      -1.0491
_SET1_   6507       5   36571457   36698436    566     107  466291      -1.3731      0.80294   -2.2204e-16      -1.3731
_SET1_   3977       5   38465065   38630507    579      66  460583      -1.4109      0.82453   -2.2204e-16      -1.4109
_SET1_   2533       5   39095354   39305759    936     101  471098      -2.2343      0.96012             0      -2.2343
_SET1_   375449     5   65857176   66475426   2733     204  468981      -1.2034      0.76156   -2.2204e-16      -1.2034
_SET1_   10184      5   77771038   77979648    729      97  467917       1.0256     0.058858   -2.2204e-16       1.0256
_SET1_   5924       5   80221491   80535981   1518     175  470211       -1.861      0.91257   -2.2204e-16       -1.861
_SET1_   4208       5   88004058   88234922    717      86  460018      0.57488      0.13827   -1.1102e-16      0.57488
_SET1_   7903       5  100132639  100273989    491      43  460578     -0.16669      0.38889   -1.3878e-16     -0.16669
_SET1_   6558       5  127384483  127535380    467      75  457449      0.47455      0.17348   -1.6653e-16      0.47455
_SET1_   1436       5  149422854  149527935    477     104  467476      0.47463      0.16058   -1.6653e-16      0.47463
_SET1_   972        5  149771200  149827543    262      63  465193     -0.84018       0.6475   -1.1102e-16     -0.84018
_SET1_   1794       5  169029251  169520386   2325     206  470395       -0.495      0.50162   -1.6653e-16       -0.495
_SET1_   255426     5  179517795  179671130    968     144  469938       3.1903   0.00010301             0       3.1903
_SET1_   9450       6    6553934    6665216    736     121  470582     -0.45708      0.47851   -1.6653e-16     -0.45708
_SET1_   6239       6    7072830    7262213    781     103  461042     -0.96878      0.67732   -1.1102e-16     -0.96878
_SET1_   221472     6   36938423   37006845    446      86  465373      -1.1325      0.72727   -2.2204e-16      -1.1325
_SET1_   860        6   45261054   45528819   1033     119  465939       1.3619     0.030756   -2.2204e-16       1.3619
_SET1_   4646       6   76423893   76639254    790      50  464927      0.34082      0.21333   -1.6653e-16      0.34082
_SET1_   55084      6  107776317  107992513    750      95  468398     -0.58018      0.55096   -1.1102e-16     -0.58018
_SET1_   2534       6  111971535  112229655   1042      77  470808     -0.79772       0.6325   -1.1102e-16     -0.79772
_SET1_   5796       6  128279924  128876870   2084     167  469385       3.4801   4.8764e-05             0       3.4801
_SET1_   23328      6  148628729  148883185   1246     181  474663      0.31779      0.21011   -1.6653e-16      0.31779
_SET1_   23345      6  152432819  152993534   2799     204  469526      0.41413      0.17751   -1.6653e-16      0.41413
_SET1_   26034      6  154465618  154712900   1207     128  473473      0.53974      0.14987   -1.1102e-16      0.53974
_SET1_   8635       6  167332992  167405077    369      52  469303      -1.5903      0.86215   -2.2204e-16      -1.5903
_SET1_   84433      7    2935709    3118579   1174     178  471193       1.2915     0.037263   -2.2204e-16       1.2915
_SET1_   85477      7   12574989   12703228    772      96  471965       1.0892     0.055365   -2.2204e-16       1.0892
_SET1_   9734       7   18091572   19049135   4096     267  465158      0.14936      0.26942   -1.3878e-16      0.14936
_SET1_   9771       7   22147908   22431751   1332     120  469154     -0.96535      0.67379   -1.1102e-16     -0.96535
_SET1_   26031      7   24826159   25054818   1110     126  469221     -0.12982      0.35564   -1.3878e-16     -0.12982
_SET1_   8935       7   26687397   27069862   1454      60  467134     -0.46042      0.48581   -1.6653e-16     -0.46042
_SET1_   54504      7   29025247   29260213   1195     138  471032      0.87954      0.08299   -1.1102e-16      0.87954
_SET1_   313        7   36542549   36799154   1209     136  468680       1.7437     0.011402   -2.2204e-16       1.7437
_SET1_   64759      7   47304752   47656742   1520     189  464802       0.9752     0.067729   -1.1102e-16       0.9752
_SET1_   2887       7   50647760   50896159   1195      85  466475       2.4154    0.0016991             0       2.4154
_SET1_   7462       7   73589087   73654164    213      31  450598       1.6484     0.028765   -2.2204e-16       1.6484
_SET1_   3092       7   75152619   75403290   1144     130  470837      -1.3267      0.78941   -2.2204e-16      -1.3267
_SET1_   781        7   81565760   82108031   2507     159  466640      -1.5955      0.85771   -2.2204e-16      -1.5955
_SET1_   93986      7  113691365  114343827   2220     164  461201      0.23015      0.23582   -1.3878e-16      0.23015
_SET1_   22797      7  115565202  115834950   1041      69  464616      -1.4131      0.82004   -2.2204e-16      -1.4131
_SET1_   79974      7  120593751  120947498   1316      87  465579     -0.99852      0.68131   -1.1102e-16     -0.99852
_SET1_   800        7  134429164  134665480    956     105  469741      0.79096     0.095149   -1.1102e-16      0.79096
_SET1_   6916       7  139443047  139730125   1245     147  467192       2.0412    0.0056597             0       2.0412
_SET1_   1508       8   11690033   11760646    441      63  469784        1.727     0.012872   -2.2204e-16        1.727
_SET1_   10395      8   12930870   13408167   3091     159  470908     -0.65491      0.55088   -1.1102e-16     -0.65491
_SET1_   4481       8   15955387   16085300    770      81  468322     -0.34487      0.46042   -1.6653e-16     -0.34487
_SET1_   55790      8   19251672   19575261   1714     130  470043      -1.4632      0.82677   -2.2204e-16      -1.4632
_SET1_   10863      8   24116553   24222726    547      37  467178      -1.5829      0.88323   -2.2204e-16      -1.5829
_SET1_   4067       8   56757386   56935006    781      78  468826       1.6146     0.017484   -2.2204e-16       1.6146
_SET1_   80243      8   68829244   69153897   1646     175  467874      0.70657      0.10793   -1.1102e-16      0.70657
_SET1_   619279     8   81530686   81822016    889      69  466339     -0.70786       0.6163   -1.1102e-16     -0.70786
_SET1_   55824      8   81870045   82059303    764     115  470264     -0.71414       0.5794   -1.1102e-16     -0.71414
_SET1_   862        8   92957195   93150454    490      54  460253     -0.25452      0.41587   -1.6653e-16     -0.25452
_SET1_   51571      8  130841839  131063897    839      88  461729      0.10698      0.26475   -1.5266e-16      0.10698
_SET1_   3786       8  133123105  133528004   1945     185  468831      0.93847     0.073457   -1.1102e-16      0.93847
_SET1_   6503       8  134038973  134150604    628      52  470103      0.69206      0.12163   -1.1102e-16      0.69206
_SET1_   22898      8  142103720  142215903    553     102  465866       1.3441     0.030602   -2.2204e-16       1.3441
_SET1_   81704      9     179865     475259   1919     134  470635      0.19908      0.23527   -1.3878e-16      0.19908
_SET1_   8777       9   13095700   13314660    732     119  465860      0.67159      0.12469   -1.1102e-16      0.67159
_SET1_   4781       9   14071842   14433982   1652     224  466049      0.74019      0.11627   -1.1102e-16      0.74019
_SET1_   54796      9   16399501   16905786   2389     195  469898      0.46739      0.17403   -1.6653e-16      0.46739
_SET1_   4300       9   20331663   20657514   1255     146  458748     0.054465      0.28675   -1.5266e-16     0.054465
_SET1_   6850       9   93529012   93670842    838     115  472623       3.2976   7.2474e-05             0       3.2976
_SET1_   7046       9  101832412  101926474    337      61  465119      -1.0058      0.71386   -2.2204e-16      -1.0058
_SET1_   445815     9  112507577  112944792   2141     218  468464       -2.727      0.98767             0       -2.727
_SET1_   57713     10    7190586    7488448   1618     148  469300     -0.49573       0.4999   -1.6653e-16     -0.49573
_SET1_   10659     10   10803851   11388674   2883     254  462294       1.0944     0.058039   -2.2204e-16       1.0944
_SET1_   55691     10   13675706   14407866   4442     351  470268      0.46204      0.15771   -1.6653e-16      0.46204
_SET1_   84898     10   20070118   20585199   2756     156  472731     -0.47601      0.48466   -1.6653e-16     -0.47601
_SET1_   10529     10   21058900   21498116   1851     152  468902      0.44062      0.17468   -1.6653e-16      0.44062
_SET1_   54518     10   26692253   26866732    882     100  473028     -0.36582      0.43668   -1.6653e-16     -0.36582
_SET1_   56288     10   34388488   35139253   3025     155  466171       1.0103     0.060697   -2.2204e-16       1.0103
_SET1_   240       10   45834624   45951569    615      62  467938      -1.6006      0.87193   -2.2204e-16      -1.6006
_SET1_   58504     10   49644068   49899310   1246     138  468916     -0.18361      0.36577   -1.3878e-16     -0.18361
_SET1_   57705     10   49857907   50201001   1618     153  469022     -0.14712      0.35461   -1.3878e-16     -0.14712
_SET1_   27143     10   72203564   72338206    750     127  470475       1.4657     0.024033   -2.2204e-16       1.4657
_SET1_   159195    10   75247296   75370433    432      40  465500      0.79519       0.1507   -1.1102e-16      0.79519
_SET1_   83938     10   77156217   78327133   4395     300  464516      -1.4567      0.82989   -2.2204e-16      -1.4567
_SET1_   3778      10   78619359   79432577   3711     279  469912     -0.41393      0.47298   -1.6653e-16     -0.41393
_SET1_   2894      10   87349312   88161250   3877     253  469589      0.43703      0.18773   -1.6653e-16      0.43703
_SET1_   10580     10   97061530   97356171   1460     130  474711       1.1029     0.055298   -2.2204e-16       1.1029
_SET1_   953       10   97436536   97647023    847      48  472693       1.6889     0.016477   -2.2204e-16       1.6889
_SET1_   29760     10   97941455   98066333    658     107  469322       3.9847   4.0584e-06             0       3.9847
_SET1_   118788    10   98343069   98515279    745     123  469540      0.51178       0.1544   -1.1102e-16      0.51178
_SET1_   3983      10  116180869  116479762   1352     135  467499      0.42017      0.17404   -1.6653e-16      0.42017
_SET1_   6001      10  121249339  121337222    383      79  467964      0.26598      0.23179   -1.6653e-16      0.26598
_SET1_   1793      10  128733965  129260780   2757     204  471236     -0.46668      0.48653   -1.6653e-16     -0.46668
_SET1_   5791      10  129670325  129894180   1263     164  470706      0.38144      0.18974   -1.6653e-16      0.38144
_SET1_   3784      11    2431221    2880340   2424     286  466214     -0.48405      0.50447   -1.6653e-16     -0.48405
_SET1_   374378    11   11282421   11678561   2424     269  472519      0.32501      0.21056   -1.6653e-16      0.32501
_SET1_   7003      11   12660969   12976284   1095     113  464650        1.665     0.014273   -2.2204e-16        1.665
_SET1_   5140      11   14630191   14903605    712      77  462669     -0.12681      0.36344   -1.3878e-16     -0.12681
_SET1_   5795      11   47967101   48202394    827      68  432967      0.92312     0.070122   -1.1102e-16      0.92312
_SET1_   64231     11   59929080   59987139    231      42  470004        5.658        5e-10             0        5.658
_SET1_   58475     11   60110949   60173427    229      37  465992       1.5675     0.022021   -2.2204e-16       1.5675
_SET1_   11309     11   74827032   74927445    472      65  469573     -0.90686      0.66924   -1.1102e-16     -0.90686
_SET1_   1075      11   88016760   88105941    369      45  473217     -0.12239      0.37015   -1.5266e-16     -0.12239
_SET1_   3606      11  112003974  112069840    238      56  472545       0.0864      0.29295   -1.5266e-16       0.0864
_SET1_   6653      11  121287912  121514471    781     142  467323       7.2171   5.8133e-15             0       7.2171
_SET1_   2313      11  128521430  128693162    811     115  472262      -1.1997      0.75612   -2.2204e-16      -1.1997
_SET1_   64581     12   10259376   10317868    292      44  474776      -1.0609      0.73045   -2.2204e-16      -1.0609
_SET1_   2120      12   11767788   12058336   1257     185  468139      -1.8976      0.91958   -2.2204e-16      -1.8976
_SET1_   6660      12   23672438   24750383   4807     357  469904      0.47897      0.15697   -1.6653e-16      0.47897
_SET1_   4033      12   25170181   25271269    502      92  472072     -0.69009      0.57008   -1.1102e-16     -0.69009
