# ALPHA = 0.05
# NUMBER_OF_TESTS = 29

# _SET1_  VARIABLE = Microglia-activated (set)
# _SET1_  NGENES = 270
# _SET1_  P-VALUE = 0.000532623
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   6518       1    9087005    9166763    414      55  471932       1.6815     0.015801   -2.2204e-16       1.6815
_SET1_   7133       1   12192044   12279279    383      67  470965    -0.062064      0.34267   -1.5266e-16    -0.062064
_SET1_   84966      1   18399240   18714977   1717     250  467668       -1.977      0.93461   -2.2204e-16       -1.977
_SET1_   713        1   22944682   22998130    232      44  468518     -0.81678      0.63491   -1.1102e-16     -0.81678
_SET1_   7805       1   31195315   31265683    355      77  464829       2.1864    0.0033547             0       2.1864
_SET1_   1441       1   36921644   36983915    266      56  472708      0.94759     0.086199   -1.1102e-16      0.94759
_SET1_   64744      1   40804378   40898998    349      73  471965      -1.2646       0.7855   -2.2204e-16      -1.2646
_SET1_   8569       1   47013079   47104966    382      66  461955      0.11929      0.27034   -1.5266e-16      0.11929
_SET1_   9829       1   65685133   65891552    814      68  467080       1.1426     0.049346   -2.2204e-16       1.1426
_SET1_   84251      1   66964066   67220768   1256      55  468663       0.3662      0.19665   -1.6653e-16       0.3662
_SET1_   26289      1   77712662   78035654   1410     117  473372     -0.85079      0.63858   -1.1102e-16     -0.85079
_SET1_   79739      1   84325057   84499850    641      50  467618     -0.69854      0.59439   -1.1102e-16     -0.69854
_SET1_   963        1  111378821  111452558    336      37  475742      0.58434      0.15396   -1.1102e-16      0.58434
_SET1_   55356      1  116484119  116622675    493      61  468875      0.92678     0.090137   -1.1102e-16      0.92678
_SET1_   647135     1  143880897  144104426     34      23  330494     -0.71926      0.64246   -1.1102e-16     -0.71926
_SET1_   3428       1  158944682  159034945    466      44  470272       1.1678     0.059302   -2.2204e-16       1.1678
_SET1_   8832       1  160500884  160584306    456      43  469645       1.0322     0.076145   -2.2204e-16       1.0322
_SET1_   5087       1  164493597  164831067   1388     215  468364      0.17934      0.25324   -1.3878e-16      0.17934
_SET1_   92241      1  167564474  167687933    705     121  467171       1.7062     0.013345   -2.2204e-16       1.7062
_SET1_   26052      1  171775618  172397606   2481     148  467176      0.62679      0.12301   -1.1102e-16      0.62679
_SET1_   23127      1  183888988  184041904    803      92  460431     -0.37376      0.44417   -1.6653e-16     -0.37376
_SET1_   5321       1  186763032  186968113    874      98  468501      -1.2966      0.78791   -2.2204e-16      -1.2966
_SET1_   5788       1  198573098  198736605    737      78  467266     -0.13957      0.38072   -1.3878e-16     -0.13957
_SET1_   23114      1  204762782  205001950   1263     114  465522       1.1914     0.046585   -2.2204e-16       1.1914
_SET1_   84976      1  222953342  223189337    977      82  467231     -0.62832       0.5506   -1.1102e-16     -0.62832
_SET1_   8476       1  227167566  227541193   2101      40  472613      0.38944      0.20403   -1.6653e-16      0.38944
_SET1_   27185      1  231727561  232187018   2094     222  469118       2.0125    0.0063427             0       2.0125
_SET1_   57568      1  232523711  232800907   1418     159  468867    -0.089932      0.33776   -1.5266e-16    -0.089932
_SET1_   9781       2    7022523    7219011    889      97  471035       -1.177      0.74206   -2.2204e-16       -1.177
_SET1_   129642     2    8986701    9178876    693      68  464162      -0.4203      0.51228   -1.6653e-16      -0.4203
_SET1_   79745      2   29285542   29416679    617      68  466834       1.0193     0.066368   -2.2204e-16       1.0193
_SET1_   6546       2   40329286   40774575   2177     156  470225     0.078282      0.27985   -1.5266e-16     0.078282
_SET1_   27436      2   42361490   42569688    915      59  463902       2.0005    0.0062658             0       2.0005
_SET1_   6711       2   54648454   54908583   1201      82  469287     -0.06833      0.33732   -1.5266e-16     -0.06833
_SET1_   57162      2   64309786   64406605    371      53  458759      -2.1236      0.95027             0      -2.1236
_SET1_   9938       2   68926913   69063965    687      79  472617       1.0882     0.054897   -2.2204e-16       1.0882
_SET1_   11320      2   99225569   99382589    589      79  464820        2.029    0.0056922             0        2.029
_SET1_   8440       2  106326520  106520730   1045      75  465605       3.5722   2.2621e-05             0       3.5722
_SET1_   10461      2  112621056  112807293    842      54  469685      0.56755      0.14595   -1.1102e-16      0.56755
_SET1_   55843      2  143851899  144535921   2357     212  469504      0.41174      0.18392   -1.6653e-16      0.41174
_SET1_   27347      2  168800530  169139105   1666     105  467301     -0.88709      0.64169   -1.1102e-16     -0.88709
_SET1_   91404      2  179956419  180164350    875      76  467893      0.48041      0.17147   -1.6653e-16      0.48041
_SET1_   23671      2  192760615  193094645   1291     189  466413    -0.088832      0.34566   -1.5266e-16    -0.088832
_SET1_   57520      2  197053971  197493416   1924     130  468606     -0.42216      0.47504   -1.6653e-16     -0.42216
_SET1_   130132     2  198425524  198575774    411      61  465719     -0.72091      0.59022   -1.1102e-16     -0.72091
_SET1_   2066       2  212230442  213438879   6188     318  471172      0.41747      0.17907   -1.6653e-16      0.41747
_SET1_   6556       2  219211752  219271617    245      71  466047      -1.2765      0.78708   -2.2204e-16      -1.2765
_SET1_   6672       2  231245871  231420317    822      77  469351      -0.3535      0.43312   -1.6653e-16      -0.3535
_SET1_   116987     2  236367733  237050444   3201     262  466468     -0.86274      0.64967   -1.1102e-16     -0.86274
_SET1_   9497       3   27404212   27560911    729      51  465170       0.8347      0.09861   -1.1102e-16       0.8347
_SET1_   7048       3   30612994   30745634    606     105  469019    -0.099857      0.34047   -1.5266e-16    -0.099857
_SET1_   112616     3   32398163   32506333    599      80  473517      0.90565      0.08021   -1.1102e-16      0.90565
_SET1_   1524       3   39294985   39358226    336      60  463408      -1.4047      0.81985   -2.2204e-16      -1.4047
_SET1_   1795       3   50677672   51431629   2310      49  460476       2.6484    0.0011371             0       2.6484
_SET1_   6091       3   78636388   79852059   4514     214  464391     -0.27617      0.40658   -1.6653e-16     -0.27617
_SET1_   4045       3  115511210  116199385   2706     175  467712      0.15838      0.25625   -1.3878e-16      0.15838
_SET1_   152404     3  118609477  118899915   1237      83  469236      0.22291      0.24132   -1.3878e-16      0.22291
_SET1_   3059       3  121340246  121414791    256      39  465374      -1.9907      0.93841   -2.2204e-16      -1.9907
_SET1_   942        3  121739209  121849990    368      84  469994    -0.011189      0.32245   -1.5092e-16    -0.011189
_SET1_   54625      3  122364672  122459687    454      55  471854     -0.94503      0.68567   -1.1102e-16     -0.94503
_SET1_   64805      3  151044631  151137600    431      56  470947     -0.57446      0.53702   -1.1102e-16     -0.57446
_SET1_   22871      3  173080570  174014434   4012     253  468784      0.39943      0.19547   -1.6653e-16      0.39943
_SET1_   59345      3  179103876  179204371    419      80  471266     -0.29414      0.42505   -1.6653e-16     -0.29414
_SET1_   51555      3  179502746  179789841   1175      95  467302     0.030896      0.29105   -1.5266e-16     0.030896
_SET1_   6480       3  186613315  186806341   1121     133  471041        -1.13      0.73269   -2.2204e-16        -1.13
_SET1_   54436      4    8166060    8252830    462      99  469903     -0.10073       0.3455   -1.5266e-16     -0.10073
_SET1_   7096       4   38787876   38841814    250      38  475872       1.5052     0.027892   -2.2204e-16       1.5052
_SET1_   80008      4   38958052   39069041    573      80  473233      -2.5242      0.97813             0      -2.5242
_SET1_   54502      4   40415272   40667958   1105     177  468278     -0.25364      0.40038   -1.6653e-16     -0.25364
_SET1_   323        4   40802044   41253731   2147     157  469074       1.4268     0.026166   -2.2204e-16       1.4268
_SET1_   22998      4   41327802   41712061   1675     176  465962     0.047475       0.2944   -1.5266e-16     0.047475
_SET1_   23284      4   62031949   62948168   3466     242  466807     -0.92106      0.66751   -1.1102e-16     -0.92106
_SET1_   55589      4   79662532   79847519    630      47  469437     -0.29921      0.51701   -1.6653e-16     -0.29921
_SET1_   79966      4   83540690   83755010   1177     111  472761      0.17359      0.24765   -1.3878e-16      0.17359
_SET1_   83478      4   86033860   86933823   4254     186  471656    0.0092341      0.29815   -1.5092e-16    0.0092341
_SET1_   285513     4   90152427   90264161    490     105  469980      -1.6041      0.86113   -2.2204e-16      -1.6041
_SET1_   8633       4   96073655   96505361   2081     233  469551      0.66696      0.12489   -1.1102e-16      0.66696
_SET1_   10098      4   99381518   99614812   1015     140  469606      0.89677     0.079789   -1.1102e-16      0.89677
_SET1_   80216      4  113183480  113373774    823     131  468331       1.3148     0.032528   -2.2204e-16       1.3148
_SET1_   55534      4  140627545  141110233   1869     242  469430       0.7509      0.11017   -1.1102e-16       0.7509
_SET1_   152503     4  152031433  152281797   1024      70  465332       1.0265     0.065481   -2.2204e-16       1.0265
_SET1_   23321      4  154038650  154270474    966     120  469596       1.2313     0.040682   -2.2204e-16       1.2313
_SET1_   7097       4  154570404  154637243    298      52  467285      0.58557      0.14678   -1.1102e-16      0.58557
_SET1_   2891       4  158106736  158297227    543      73  464103      -1.1662      0.76329   -2.2204e-16      -1.1662
_SET1_   50859      4  167644535  168190741   2460     126  469899      -1.4383       0.8228   -2.2204e-16      -1.4383
_SET1_   25854      4  186991054  187103817    519      69  471071     -0.16795      0.37059   -1.3878e-16     -0.16795
_SET1_   1501       5   10961952   11939155   4445     337  468194       1.3379     0.032497   -2.2204e-16       1.3379
_SET1_   54491      5   14546891   14626289    277      66  462497       1.2498     0.044376   -2.2204e-16       1.2498
_SET1_   23194      5   15465305   15949905   1771     121  467340     -0.13261      0.35394   -1.3878e-16     -0.13261
_SET1_   3977       5   38465065   38630507    579      66  460583      -1.4109      0.82453   -2.2204e-16      -1.4109
_SET1_   2533       5   39095354   39305759    936     101  471098      -2.2343      0.96012             0      -2.2343
_SET1_   10184      5   77771038   77979648    729      97  467917       1.0256     0.058858   -2.2204e-16       1.0256
_SET1_   10085      5   83226414   83715685   1607     173  468219     -0.49602      0.49509   -1.6653e-16     -0.49602
_SET1_   4208       5   88004058   88234922    717      86  460018      0.57488      0.13827   -1.1102e-16      0.57488
_SET1_   7903       5  100132639  100273989    491      43  460578     -0.16669      0.38889   -1.3878e-16     -0.16669
_SET1_   6695       5  136300987  136870018   2411     162  467986     -0.18096      0.36937   -1.3878e-16     -0.18096
_SET1_   5521       5  145959067  146496083   2003     172  467429     -0.10953      0.35466   -1.5266e-16     -0.10953
_SET1_   9832       5  146955002  147197411    987      77  467783       1.1166     0.057386   -2.2204e-16       1.1166
_SET1_   1436       5  149422854  149527935    477     104  467476      0.47463      0.16058   -1.6653e-16      0.47463
_SET1_   972        5  149771200  149827543    262      63  465193     -0.84018       0.6475   -1.1102e-16     -0.84018
_SET1_   1794       5  169029251  169520386   2325     206  470395       -0.495      0.50162   -1.6653e-16       -0.495
_SET1_   3937       5  169665088  169759822    377     123  467627       1.1371     0.048946   -2.2204e-16       1.1371
_SET1_   9450       6    6553934    6665216    736     121  470582     -0.45708      0.47851   -1.6653e-16     -0.45708
_SET1_   6239       6    7072830    7262213    781     103  461042     -0.96878      0.67732   -1.1102e-16     -0.96878
_SET1_   221472     6   36938423   37006845    446      86  465373      -1.1325      0.72727   -2.2204e-16      -1.1325
