# ALPHA = 0.05
# NUMBER_OF_TESTS = 29

# _SET1_  VARIABLE = Microglia-quiescent (set)
# _SET1_  NGENES = 1417
# _SET1_  P-VALUE = 0.000939616
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   116983        1    1217764    1278304    353      61  457628     -0.89314      0.70959    1.1102e-16     -0.89314
_SET1_   643965        1    1326508    1373167    237      45  461609     -0.70531      0.62826    1.1102e-16     -0.70531
_SET1_   5590          1    1946909    2126834    980     118  465400      -2.1764       0.9517             0      -2.1764
_SET1_   6497          1    2125134    2251652    592     106  464827      -1.8112       0.9023             0      -1.8112
_SET1_   55966         1    4680105    4853851   1133     152  473410      -1.8608      0.91335             0      -1.8608
_SET1_   23261         1    6810384    7839766   4535     347  469990      0.11659      0.25924    8.3267e-17      0.11659
_SET1_   8863          1    7809413    7915241    452      49  474483      0.66709      0.13289    1.1102e-16      0.66709
_SET1_   6518          1    9087005    9166763    414      55  471932       1.6815     0.015801             0       1.6815
_SET1_   5293          1    9676789    9799172    556      86  461632       1.4485     0.027153             0       1.4485
_SET1_   10277         1   10058041   10251297    689      48  469162     -0.43343      0.54564    1.1102e-16     -0.43343
_SET1_   23095         1   10235606   10451664    906      39  473632      0.28016      0.24746    1.1102e-16      0.28016
_SET1_   7133          1   12192044   12279279    383      67  470965    -0.062064      0.34267    9.0206e-17    -0.062064
_SET1_   23254         1   14184646   15454544   6947     501  468615       1.4227     0.021563             0       1.4227
_SET1_   84966         1   18399240   18714977   1717     250  467668       -1.977      0.93461             0       -1.977
_SET1_   832           1   19655267   19847066    991      76  470928       0.7104      0.11252    1.1102e-16       0.7104
_SET1_   55450         1   20798884   20847728    186      50  467091      0.27238      0.24275    1.1102e-16      0.27238
_SET1_   1889          1   21533740   21707034    822     104  467306       0.2895      0.21513    1.1102e-16       0.2895
_SET1_   57185         1   24707245   24809473    479      54  468327      0.19216      0.25144    8.3267e-17      0.19216
_SET1_   25932         1   25036760   25180815    375      73  462149      0.41063      0.18029    1.1102e-16      0.41063
_SET1_   6195          1   26821249   26911520    323      52  464996       0.8383     0.095705    1.1102e-16       0.8383
_SET1_   10163         1   27720734   27851678    406      58  464277      0.87854        0.102    1.1102e-16      0.87854
_SET1_   2035          1   29178603   29456558   1021      72  462846       1.0434     0.065712             0       1.0434
_SET1_   7805          1   31195315   31265683    355      77  464829       2.1864    0.0033547             0       2.1864
_SET1_   1307          1   32107848   32204768    364      78  461991      0.78853      0.09835    1.1102e-16      0.78853
_SET1_   65108         1   32789430   32836840    118      44  450848     -0.33677       0.5714    1.1102e-16     -0.33677
_SET1_   339487        1   33076421   33151565    338      28  466506       1.0988     0.095067             0       1.0988
_SET1_   114784        1   33969609   34666443   3190     321  467303     0.058655      0.28268    9.0206e-17     0.058655
_SET1_   1441          1   36921644   36983915    266      56  472708      0.94759     0.086199    1.1102e-16      0.94759
_SET1_   64744         1   40804378   40898998    349      73  471965      -1.2646       0.7855             0      -1.2646
_SET1_   59269         1   41962036   42536596   2359     131  468659      0.88871     0.078898    1.1102e-16      0.88871
_SET1_   5792          1   43956708   44099343    653      54  459610       2.4737    0.0014991             0       2.4737
_SET1_   79033         1   44676742   44856315    570      59  464359       1.2937     0.040081             0       1.2937
_SET1_   55182         1   44835837   45127396   1202     176  468476       1.5996     0.018042             0       1.5996
