# ALPHA = 0.05
# NUMBER_OF_TESTS = 29

# _SET1_  VARIABLE = Microglia-quiescent (set)
# _SET1_  NGENES = 1418
# _SET1_  P-VALUE = 0.0012309
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   116983        1    1217764    1278304    353      61  457628     -0.89601      0.70959             0     -0.89601
_SET1_   643965        1    1326508    1373167    237      45  461609     -0.70972      0.62826             0     -0.70972
_SET1_   5590          1    1946909    2126834    980     118  465400      -2.1854       0.9517             0      -2.1854
_SET1_   6497          1    2125134    2251652    592     106  464827      -1.8219       0.9023             0      -1.8219
_SET1_   55966         1    4680105    4853851   1133     152  473410      -1.8701      0.91335             0      -1.8701
_SET1_   23261         1    6810384    7839766   4535     347  469990      0.10935      0.25924             0      0.10935
_SET1_   8863          1    7809413    7915241    452      49  474483      0.65845      0.13289             0      0.65845
_SET1_   6518          1    9087005    9166763    414      55  471932       1.6716     0.015801             0       1.6716
_SET1_   5293          1    9676789    9799172    556      86  461632       1.4409     0.027153             0       1.4409
_SET1_   10277         1   10058041   10251297    689      48  469162     -0.43292      0.54564             0     -0.43292
_SET1_   23095         1   10235606   10451664    906      39  473632      0.27733      0.24746             0      0.27733
_SET1_   7133          1   12192044   12279279    383      67  470965    -0.072167      0.34267             0    -0.072167
_SET1_   23254         1   14184646   15454544   6947     501  468615       1.4119     0.021563             0       1.4119
_SET1_   84966         1   18399240   18714977   1717     250  467668      -1.9808      0.93461             0      -1.9808
_SET1_   832           1   19655267   19847066    991      76  470928      0.70092      0.11252             0      0.70092
_SET1_   55450         1   20798884   20847728    186      50  467091      0.26344      0.24275             0      0.26344
_SET1_   1889          1   21533740   21707034    822     104  467306       0.2805      0.21513             0       0.2805
_SET1_   57185         1   24707245   24809473    479      54  468327      0.18289      0.25144             0      0.18289
_SET1_   25932         1   25036760   25180815    375      73  462149      0.39998      0.18029             0      0.39998
_SET1_   6195          1   26821249   26911520    323      52  464996      0.82917     0.095705             0      0.82917
_SET1_   10163         1   27720734   27851678    406      58  464277      0.87426        0.102             0      0.87426
_SET1_   2035          1   29178603   29456558   1021      72  462846       1.0384     0.065712             0       1.0384
_SET1_   7805          1   31195315   31265683    355      77  464829       2.1734    0.0033547             0       2.1734
_SET1_   1307          1   32107848   32204768    364      78  461991      0.77784      0.09835             0      0.77784
_SET1_   65108         1   32789430   32836840    118      44  450848      -0.3413       0.5714             0      -0.3413
_SET1_   339487        1   33076421   33151565    338      28  466506       1.1033     0.095067             0       1.1033
_SET1_   114784        1   33969609   34666443   3190     321  467303     0.051904      0.28268             0     0.051904
_SET1_   1441          1   36921644   36983915    266      56  472708      0.93912     0.086199             0      0.93912
_SET1_   64744         1   40804378   40898998    349      73  471965      -1.2758       0.7855             0      -1.2758
_SET1_   59269         1   41962036   42536596   2359     131  468659      0.88066     0.078898             0      0.88066
_SET1_   5792          1   43956708   44099343    653      54  459610       2.4664    0.0014991             0       2.4664
_SET1_   79033         1   44676742   44856315    570      59  464359       1.2873     0.040081             0       1.2873
_SET1_   55182         1   44835837   45127396   1202     176  468476        1.592     0.018042             0        1.592
_SET1_   57643         1   45472071   45707250    703      73  469151     -0.31961      0.45112             0     -0.31961
_SET1_   10420         1   45799555   45991840    622      50  460996      -1.8011      0.90839             0      -1.8011
_SET1_   8569          1   47013079   47104966    382      66  461955      0.10958      0.27034             0      0.10958
_SET1_   84871         1   48988527   50524626   4592     135  458185       0.1399      0.25007             0       0.1399
_SET1_   114883        1   52047546   52264891    641      77  460771      0.21993      0.27719             0      0.21993
_SET1_   9372          1   52572678   52822358    798      67  458005     -0.80423      0.68616             0     -0.80423
_SET1_   23648         1   54681104   54907068   1056     160  466922     -0.49546      0.48799             0     -0.49546
_SET1_   8613          1   56950419   57080257    621      78  469566    -0.045797      0.32088             0    -0.045797
_SET1_   5563          1   57075990   57191008    552      49  474300      0.15279      0.26417             0      0.15279
_SET1_   1573          1   60348980   60427445    263      30  467583    -0.050895      0.38295             0    -0.050895
_SET1_   4774          1   61507946   61938460   1739     217  468051       0.4017      0.19949             0       0.4017
_SET1_   10207         1   62173149   62639592   2203     186  471259     -0.61185      0.54412             0     -0.61185
_SET1_   4919          1   64204690   64657181   1862     162  466707    -0.049482       0.3192             0    -0.049482
_SET1_   57685         1   64901476   65168741    961     175  469245      0.17152      0.26806             0      0.17152
_SET1_   9829          1   65685133   65891552    814      68  467080        1.133     0.049346             0        1.133
_SET1_   5142          1   66223193   66850262   2519     185  467523      -0.5386      0.50617             0      -0.5386
_SET1_   84251         1   66964066   67220768   1256      55  468663      0.35922      0.19665             0      0.35922
_SET1_   57554         1   69998230   70599171   2483     161  466822       1.2783     0.035166             0       1.2783
_SET1_   257194        1   71858625   72783533   3148     180  464360      0.14228      0.25107             0      0.14228
_SET1_   51086         1   74666071   75020116   1257     121  466434     -0.27719      0.40964             0     -0.27719
_SET1_   256435        1   76505389   77110311   2792     261  464911      -1.7083      0.88946             0      -1.7083
_SET1_   26289         1   77712662   78035654   1410     117  473372     -0.85936      0.63858             0     -0.85936
_SET1_   79739         1   84325057   84499850    641      50  467618     -0.70528      0.59439             0     -0.70528
_SET1_   5567          1   84508745   84714181    558      63  465430     -0.52839      0.51099             0     -0.52839
_SET1_   23576         1   85774168   86079046   1376     110  469166    -0.097471      0.33618             0    -0.097471
_SET1_   23507         1   89954933   90073420    443      43  470413     -0.64151      0.56768             0     -0.64151
_SET1_   84230         1   90063644   90195094    427      50  469376      -1.8868      0.91821             0      -1.8868
_SET1_   284697        1   92510862   92623397    353      52  469609     -0.71881      0.61105             0     -0.71881
_SET1_   388650        1   93288286   93462079    544      51  467169       1.3614     0.033453             0       1.3614
_SET1_   1266          1   95352507   95427735    381      70  469833        1.165     0.050487             0        1.165
_SET1_   58155         1   97152161   97290605    552      48  465124     -0.10943      0.35954             0     -0.10943
_SET1_   29899         1  109382972  109483044    475      48  468657       1.6342     0.019474             0       1.6342
_SET1_   6272          1  109842187  109975563    377      43  458670      -1.0372      0.72045             0      -1.0372
_SET1_   10768         1  110492387  110576364    276      43  468350      -1.7741      0.91678             0      -1.7741
_SET1_   963           1  111378821  111452558    336      37  475742      0.57517      0.15396             0      0.57517
_SET1_   5906          1  112127405  112266807    625      54  472316      -1.1807      0.76506             0      -1.1807
_SET1_   3752          1  112308444  112567147   1187     193  469924     -0.92173      0.66806             0     -0.92173
_SET1_   55917         1  112903800  113013786    362      45  469241      0.27257      0.22803             0      0.27257
_SET1_   55356         1  116484119  116622675    493      61  468875      0.92135     0.090137             0      0.92135
_SET1_   647135        1  143880897  144104426     34      23  330494     -0.72951      0.64246             0     -0.72951
_SET1_   56957         1  149902229  150017686    386      46  462115     -0.53546      0.55191             0     -0.53546
_SET1_   23126         1  151365200  151480753    311      38  462118       -0.745      0.63938             0       -0.745
_SET1_   3570          1  154342669  154451926    461      71  473686      0.19527      0.24282             0      0.19527
_SET1_   3782          1  154659938  154877754    829     157  469577     0.042258      0.28006             0     0.042258
_SET1_   23208         1  155794260  155864990    188      49  464793       1.3374     0.039733             0       1.3374
_SET1_   10485         1  156364048  156461441    306      82  461738      0.60146      0.13757             0      0.60146
_SET1_   60484         1  156554085  156605517    222      31  470428        -0.69      0.63759             0        -0.69
_SET1_   3428          1  158944682  159034945    466      44  470272       1.1638     0.059302             0       1.1638
_SET1_   3766          1  159997257  160075051    261      50  463761     -0.61333      0.54527             0     -0.61333
_SET1_   8832          1  160500884  160584306    456      43  469645        1.028     0.076145             0        1.028
_SET1_   22926         1  161701034  161943860   1004      55  472544       1.1593     0.056323             0       1.1593
_SET1_   5087          1  164493597  164831067   1388     215  468364      0.17322      0.25324             0      0.17322
_SET1_   92241         1  167564474  167687933    705     121  467171        1.696     0.013345             0        1.696
_SET1_   481           1  169040947  169111960    346      71  470657       1.0545     0.057324             0       1.0545
_SET1_   29922         1  169091258  169372186   1391      51  467237       1.5852     0.018919             0       1.5852
_SET1_   22920         1  169880461  170078882    966      40  468268     -0.78801      0.65404             0     -0.78801
_SET1_   26052         1  171775618  172397606   2481     148  467176      0.61859      0.12301             0      0.61859
_SET1_   7143          1  175281935  175747752   2338     227  466430     -0.39385      0.46337             0     -0.39385
_SET1_   460           1  176816441  177169024   1386     126  460218        1.048      0.05794             0        1.048
_SET1_   57795         1  177105058  177261558    513      75  457766       1.2103      0.04159             0       1.2103
_SET1_   6646          1  179227849  179337815    586      49  469155      -1.3175      0.79764             0      -1.3175
_SET1_   777           1  181417447  181785920   1552     165  469612       2.8269   0.00044759             0       2.8269
_SET1_   80896         1  182723584  182809519    319      60  470717     -0.87589      0.67896             0     -0.87589
_SET1_   23057         1  183207372  183422634    921      67  465163      -1.0191      0.69473             0      -1.0191
_SET1_   23179         1  183570208  183907666   1455      97  469289     -0.83757      0.62065             0     -0.83757
_SET1_   23127         1  183888988  184041904    803      92  460431     -0.38223      0.44417             0     -0.38223
_SET1_   81563         1  184321150  184608155   1267      85  463769      0.50937      0.15844             0      0.50937
_SET1_   116496        1  184750159  184978718   1037      97  465039    -0.051989      0.32037             0    -0.051989
_SET1_   5321          1  186763032  186968113    874      98  468501      -1.3056      0.78791             0      -1.3056
_SET1_   339479        1  190056792  190482534   1560     105  465392      0.65182      0.11898             0      0.65182
_SET1_   23418         1  197135592  197457585   1072     118  455912      0.44124      0.16474             0      0.44124
_SET1_   5788          1  198573098  198736605    737      78  467266     -0.14536      0.38072             0     -0.14536
