# ALPHA = 0.05
# NUMBER_OF_TESTS = 12

# _SET1_  VARIABLE = Endothelial (set)
# _SET1_  NGENES = 1287
# _SET1_  P-VALUE = 0.000155557
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   23095         1   10220606   10491664    861      25  36989      0.14043       0.1304    8.3267e-16      0.14043
_SET1_   7133          1   12177044   12319279    411      55  36989      -1.1426      0.59793    8.8818e-16      -1.1426
_SET1_   23254         1   14169646   15494544   5043     341  36989      -0.6603     0.074734    8.8818e-16      -0.6603
_SET1_   149563        1   16280731   16383184    526      28  36989      -0.6794      0.41493    8.8818e-16      -0.6794
_SET1_   11240         1   17343256   17495948    597      34  36989       1.3742     0.009823    8.8818e-16       1.3742
_SET1_   55450         1   20758884   20862728    240      36  36989      0.43688     0.097187    8.3267e-16      0.43688
_SET1_   249           1   21785475   21954905    681      65  36989      -1.0772      0.52296    8.8818e-16      -1.0772
_SET1_   3339          1   22098737   22313750    934      63  36989     -0.63291      0.33048    8.8818e-16     -0.63291
_SET1_   7798          1   23360516   23554301    410      21  36989     -0.81109      0.49086    8.8818e-16     -0.81109
_SET1_   3399          1   23834421   23936285    177      30  36989      -0.4949      0.34479    8.3267e-16      -0.4949
_SET1_   57185         1   24692245   24849473    401      28  36989       1.0166     0.028669    8.8818e-16       1.0166
_SET1_   25932         1   25021760   25220815    386      26  36989      -1.2737      0.65766    8.8818e-16      -1.2737
_SET1_   57134         1   25893959   26161258    536      32  36989      -1.6743      0.79093    8.8818e-16      -1.6743
_SET1_   2268          1   27888800   28011727    173      25  36989         1.29     0.038051    8.8818e-16         1.29
_SET1_   23673         1   28049694   28200963    209      12  36989     -0.17311      0.43381    8.3267e-16     -0.17311
_SET1_   114784        1   33929609   34681443   2107     170  36989     -0.48349      0.10418    8.3267e-16     -0.48349
_SET1_   84879         1   40370784   40485630    285      36  36989     -0.47223      0.36058    8.3267e-16     -0.47223
_SET1_   6513          1   43341046   43474847    418      40  36989     -0.23602      0.24776    8.3267e-16     -0.23602
_SET1_   7075          1   43716566   43838781    202      31  36989        2.809   0.00011078    8.8818e-16        2.809
_SET1_   5792          1   43941708   44139343    446      22  36989       3.8404   1.2719e-06    8.8818e-16       3.8404
_SET1_   10420         1   45759555   46006840    420      23  36989      -1.7939      0.82725    8.8818e-16      -1.7939
_SET1_   8503          1   46455812   46692167    405      29  36989      -1.1816      0.61514    8.8818e-16      -1.1816
_SET1_   54558         1   48711044   48987876    643      38  36989      -1.7315      0.78802    8.8818e-16      -1.7315
_SET1_   84871         1   48948527   50539626   2446      68  36989       1.8069   0.00010861    8.8818e-16       1.8069
_SET1_   7804          1   53658036   53843821    484      49  36989       1.9155    0.0020617    8.8818e-16       1.9155
_SET1_   8613          1   56910419   57095257    639      47  36989      -1.8764        0.811    8.8818e-16      -1.8764
_SET1_   5563          1   57060990   57231008    661      44  36989     -0.78783      0.41195    8.8818e-16     -0.78783
_SET1_   1600          1   57410453   58766211   4071     224  36989     -0.75669     0.093735    8.8818e-16     -0.75669
_SET1_   84938         1   63199777   63380941    405      16  36989     -0.78797       0.4899    8.8818e-16     -0.78797
_SET1_   9829          1   65670133   65931552    695      54  36989      -2.0535      0.84509    8.8818e-16      -2.0535
_SET1_   3953          1   65836335   66153176   1024      37  36989     -0.16873      0.16705    8.3267e-16     -0.16873
_SET1_   5142          1   66208193   66890262   1825      97  36989       2.5494     1.73e-05    8.8818e-16       2.5494
_SET1_   84251         1   66949066   67260768   1172      37  36989     -0.96998      0.40974    8.8818e-16     -0.96998
_SET1_   57554         1   69983230   70639171   1783      72  36989     -0.17559     0.085052    8.3267e-16     -0.17559
_SET1_   257194        1   71818625   72798533   2072      95  36989        1.568   0.00050787    8.8818e-16        1.568
_SET1_   51086         1   74651071   75060116    779      56  36989        0.447      0.06686    8.3267e-16        0.447
_SET1_   256435        1   76490389   77150311   2202     147  36989      -0.5107      0.10186    8.8818e-16      -0.5107
_SET1_   26289         1   77697662   78075654   1297      73  36989    -0.069465      0.11363    8.3267e-16    -0.069465
_SET1_   10964         1   79036067   79161830    283      35  36989      0.49265     0.092766    8.3267e-16      0.49265
_SET1_   10561         1   79065477   79179763    299      27  36989       1.1154     0.025624    8.8818e-16       1.1154
_SET1_   64123         1   79305449   79522495    882      38  36989       0.5994     0.049753    8.8818e-16       0.5994
_SET1_   23266         1   82216082   82508107    859      47  36989      -1.4197      0.63898    8.8818e-16      -1.4197
_SET1_   79739         1   84285057   84514850    638      27  36989       1.2336     0.015687    8.8818e-16       1.2336
_SET1_   5567          1   84493745   84754181    479      39  36989      0.83692     0.038576    8.8818e-16      0.83692
_SET1_   2634          1   89521815   89641842    311      15  36989      -2.9722      0.98586    8.8818e-16      -2.9722
_SET1_   55144         1   90236573   90451991    387      51  36989      0.54313     0.069442    8.8818e-16      0.54313
_SET1_   284697        1   92495862   92663397    311      22  36989     -0.30377      0.30736    8.3267e-16     -0.30377
_SET1_   388650        1   93248286   93477079    401      16  36989      0.94659     0.039712    8.8818e-16      0.94659
_SET1_   54874         1   93863688   94070218    338      30  36989     -0.26426      0.28894    8.3267e-16     -0.26426
_SET1_   8412          1   93977343   94362706   1161      44  36989      -1.8905      0.77029    8.8818e-16      -1.8905
_SET1_   5825          1   94833933   95034219    326      33  36989     -0.95735      0.53052    8.8818e-16     -0.95735
_SET1_   54873         1  100061431  100210097    462      47  36989      0.44633     0.085255    8.3267e-16      0.44633
_SET1_   8556          1  100760598  101035833    543      33  36989     -0.80075      0.45378    8.8818e-16     -0.80075
_SET1_   1901          1  101652305  101757076    369      56  36989       0.3408      0.10123    8.3267e-16       0.3408
_SET1_   29899         1  109367972  109523044    520      29  36989     -0.96604      0.53944    8.8818e-16     -0.96604
_SET1_   3752          1  112268444  112582147   1005     102  36989       2.9133   2.2343e-05    8.8818e-16       2.9133
_SET1_   55917         1  112888800  113053786    397      27  36989       1.8834    0.0029734    8.8818e-16       1.8834
_SET1_   7482          1  112960040  113113910    355      31  36989       2.8534   9.5274e-05    8.8818e-16       2.8534
_SET1_   6566          1  113404469  113548975    225      22  36989     -0.32495       0.3083    8.3267e-16     -0.32495
_SET1_   260425        1  113883087  114278545    821      31  36989      -1.4413      0.67028    8.8818e-16      -1.4413
_SET1_   163259        1  115077155  115262732    392      28  36989    -0.049576      0.22461    8.3267e-16    -0.049576
_SET1_   55356         1  116469119  116662675    445      30  36989     -0.04002       0.2322    8.3267e-16     -0.04002
_SET1_   965           1  117007156  117163715    204      36  36989      -2.6259         0.96    8.8818e-16      -2.6259
_SET1_   27246         1  145560990  145739005    220      13  36989      0.41042      0.11463    8.3267e-16      0.41042
_SET1_   126626        1  150992784  151141007    328      27  36989       2.0436    0.0025059    8.8818e-16       2.0436
_SET1_   7170          1  154077780  154214611    194      18  36989       1.8384    0.0039056    8.8818e-16       1.8384
_SET1_   126669        1  154392118  154524786    335      16  36989       1.3087     0.017483    8.8818e-16       1.3087
_SET1_   126668        1  154424695  154570624    318      17  36989       1.0312      0.03383    8.8818e-16       1.0312
_SET1_   23208         1  155779260  155904990    172      16  36989       1.6855    0.0075471    8.8818e-16       1.6855
_SET1_   10485         1  156324048  156476441    256      42  36989     -0.73279      0.43575    8.8818e-16     -0.73279
_SET1_   3428          1  158929682  159074945    503      25  36989      0.29008      0.14855    8.3267e-16      0.29008
_SET1_   8407          1  159837897  159945332    321      49  36989      -1.3336      0.67568    8.8818e-16      -1.3336
_SET1_   477           1  160035520  160163381    409      52  36989       1.0035     0.025961    8.8818e-16       1.0035
_SET1_   50848         1  160915001  161041133    396      21  36989      -1.3349      0.68704    8.8818e-16      -1.3349
_SET1_   5087          1  164478597  164871067   1076     120  36989     -0.31143      0.18119    8.3267e-16     -0.31143
_SET1_   481           1  169025947  169151960    489      44  36989      0.16523      0.12927    8.3267e-16      0.16523
_SET1_   84614         1  173787220  173906596    225      20  36989       2.9593   9.6189e-05    8.8818e-16       2.9593
_SET1_   460           1  176776441  177184024    984      66  36989       1.6387    0.0027437    8.8818e-16       1.6387
_SET1_   9462          1  178012864  178498649    843      32  36989      0.86382     0.035918    8.8818e-16      0.86382
_SET1_   9213          1  180551146  180909415    807      39  36989       2.3773   0.00033981    8.8818e-16       2.3773
_SET1_   2752          1  182300839  182411341    383      27  36989      0.80519      0.04719    8.8818e-16      0.80519
_SET1_   23179         1  183555208  183947666   1241      57  36989      -1.3981      0.55022    8.8818e-16      -1.3981
_SET1_   23127         1  183848988  184056904    511      50  36989      0.19686      0.12456    8.3267e-16      0.19686
_SET1_   81563         1  184306150  184648155    885      50  36989      0.96579     0.021571    8.8818e-16      0.96579
_SET1_   83872         1  185653683  186210085    956      48  36989       -0.485       0.2622    8.3267e-16       -0.485
_SET1_   5321          1  186748032  187008113    766      58  36989      -1.1013        0.526    8.8818e-16      -1.1013
_SET1_   339479        1  190016792  190497534   1075      41  36989       1.0045     0.014688    8.8818e-16       1.0045
