# ALPHA = 0.05
# NUMBER_OF_TESTS = 12

# _SET1_  VARIABLE = Pericyte (set)
# _SET1_  NGENES = 904
# _SET1_  P-VALUE = 0.000956056
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   57801         1     934342     936608     17       7  460925       1.6735     0.022661    1.3323e-15       1.6735
_SET1_   23261         1    6845384    7829766   4336     358  469781     0.093823      0.26817    1.2768e-15     0.093823
_SET1_   5293          1    9711789    9789172    335      67  460695      0.80611      0.10982    1.2212e-15      0.80611
_SET1_   23095         1   10270606   10441664    689      35  473689      0.20972      0.26977    1.2768e-15      0.20972
_SET1_   5351          1   11994724   12035599    196      37  468696     -0.24095      0.42927    1.2768e-15     -0.24095
_SET1_   1889          1   21543740   21672034    601      86  464758     -0.17206      0.39088    1.2768e-15     -0.17206
_SET1_   114784        1   33979609   34631443   2968     295  466818     -0.78231      0.61309    1.2212e-15     -0.78231
_SET1_   26508         1   40089103   40105348     71      36  472469      -1.5217      0.86046    1.3323e-15      -1.5217
_SET1_   55182         1   44870837   45117396   1031     132  467875        1.675     0.015766    1.3323e-15        1.675
_SET1_   4678          1   46049660   46084578    136      22  467611      -2.0026      0.95116    1.3323e-15      -2.0026
_SET1_   84871         1   48998527   50489626   4462     138  458219      0.27288      0.22423    1.2768e-15      0.27288
_SET1_   84938         1   63249777   63330941    291      31  467536     -0.21003        0.412    1.2768e-15     -0.21003
_SET1_   57685         1   64936476   65158741    773     140  469202      0.30043       0.2397    1.2768e-15      0.30043
_SET1_   9829          1   65720133   65881552    630      61  466789      0.87848     0.087333    1.2212e-15      0.87848
_SET1_   5142          1   66258193   66840262   2322     165  467219     -0.59652      0.54056    1.2212e-15     -0.59652
_SET1_   84251         1   66999066   67210768    990      49  468664      0.35883      0.20531    1.2768e-15      0.35883
_SET1_   57554         1   70033230   70589171   2299     143  466918       1.0837     0.056929    1.3323e-15       1.0837
_SET1_   257194        1   71868625   72748533   3079     188  464137      0.23392      0.23304    1.2768e-15      0.23392
_SET1_   256435        1   76540389   77100311   2552     228  464420      -1.6124       0.8733    1.3323e-15      -1.6124
_SET1_   26289         1   77747662   78025654   1260     109  474810      -1.0914      0.73229    1.3323e-15      -1.0914
_SET1_   26009         1   78028160   78149119    336      50  462707     -0.21285      0.41958    1.2768e-15     -0.21285
_SET1_   5567          1   84543745   84704181    435      66  464042      -0.3688      0.46017    1.2768e-15      -0.3688
_SET1_   23507         1   89989933   90063420    253      26  476320     -0.69764      0.60418    1.2212e-15     -0.69764
_SET1_   55144         1   90286573   90401991    351      80  468717      0.48172      0.17829    1.2768e-15      0.48172
