# ALPHA = 0.05
# NUMBER_OF_TESTS = 44

# _SET1_  VARIABLE = Perivascular-FB-KAZN2 (set)
# _SET1_  NGENES = 1287
# _SET1_  P-VALUE = 0.00094839
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   23261         1    6810384    7839766   4535     347  469990      0.10935      0.25924   -2.2204e-16      0.10935
_SET1_   22883         1    9779079    9919550    633      60  452429     -0.69117      0.62311   -2.2204e-16     -0.69117
_SET1_   23095         1   10235606   10451664    906      39  473632      0.27733      0.24746   -2.2204e-16      0.27733
_SET1_   23254         1   14184646   15454544   6947     501  468615       1.4119     0.021563   -2.2204e-16       1.4119
_SET1_   998           1   22344120   22429439    427      54  469653       1.0066     0.069602   -2.2204e-16       1.0066
_SET1_   10772         1   24282935   24341953     40      13  436423       3.8348   1.1815e-05   -4.4409e-16       3.8348
_SET1_   57134         1   25908959   26121258    853      87  460531     -0.28062      0.43619   -2.2204e-16     -0.28062
_SET1_   8289          1   26987522   27118601    316      45  461622      0.76424      0.12531   -2.2204e-16      0.76424
_SET1_   23673         1   28064694   28160963    286      35  456770      0.14528      0.40823   -2.2204e-16      0.14528
_SET1_   2140          1   28286855   28450173    627      66  469920     -0.77059      0.62654   -2.2204e-16     -0.77059
_SET1_   65979         1   28661093   28836881    718      31  468258       2.8428   0.00056894   -4.4409e-16       2.8428
_SET1_   8073          1   32362022   32438988    298      41  462334     -0.74925      0.66711   -2.2204e-16     -0.74925
_SET1_   10657         1   32444295   32536460    228      66  460909      0.39819      0.23652   -2.2204e-16      0.39819
_SET1_   22955         1   41482871   41742815    970      56  467663      -1.2618        0.788   -2.2204e-16      -1.2618
_SET1_   55182         1   44835837   45127396   1202     176  468476        1.592     0.018042   -2.2204e-16        1.592
_SET1_   57643         1   45472071   45707250    703      73  469151     -0.31961      0.45112   -2.2204e-16     -0.31961
_SET1_   10420         1   45799555   45991840    622      50  460996      -1.8011      0.90839   -2.2204e-16      -1.8011
_SET1_   4678          1   46014660   46094578    322      32  466019       -2.258      0.96767   -4.4409e-16       -2.258
_SET1_   8503          1   46495812   46677167    588      58  469087      -0.9403      0.67833   -2.2204e-16      -0.9403
_SET1_   54558         1   48751044   48972876    911      56  461068       1.2173     0.048617   -2.2204e-16       1.2173
_SET1_   9528          1   54487346   54554135    243      52  470879     0.082131      0.32566   -2.2204e-16     0.082131
_SET1_   1600          1   57450453   58751211   5999     330  467630      0.24896      0.21744   -2.2204e-16      0.24896
_SET1_   84938         1   63214777   63340941    497      43  468734     -0.42599      0.48469   -2.2204e-16     -0.42599
_SET1_   9829          1   65685133   65891552    814      68  467080        1.133     0.049346   -2.2204e-16        1.133
_SET1_   5142          1   66223193   66850262   2519     185  467523      -0.5386      0.50617   -2.2204e-16      -0.5386
_SET1_   84251         1   66964066   67220768   1256      55  468663      0.35922      0.19665   -2.2204e-16      0.35922
_SET1_   57554         1   69998230   70599171   2483     161  466822       1.2783     0.035166   -2.2204e-16       1.2783
_SET1_   26289         1   77712662   78035654   1410     117  473372     -0.85936      0.63858   -2.2204e-16     -0.85936
_SET1_   23266         1   82231082   82468107   1015      92  470669      0.87726     0.083806   -2.2204e-16      0.87726
_SET1_   79739         1   84325057   84499850    641      50  467618     -0.70528      0.59439   -2.2204e-16     -0.70528
_SET1_   5567          1   84508745   84714181    558      63  465430     -0.52839      0.51099   -2.2204e-16     -0.52839
_SET1_   51100         1   87135253   87223867    307      54  469075      -1.0356      0.72687   -2.2204e-16      -1.0356
_SET1_   9653          1   87345335   87585681    947      41  470618      0.60397       0.1653   -2.2204e-16      0.60397
_SET1_   23507         1   89954933   90073420    443      43  470413     -0.64151      0.56768   -2.2204e-16     -0.64151
_SET1_   84230         1   90063644   90195094    427      50  469376      -1.8868      0.91821   -2.2204e-16      -1.8868
_SET1_   55144         1   90251573   90411991    512     110  468794    -0.079251      0.32859   -2.2204e-16    -0.079251
_SET1_   284695        1   90425678   90504101    259      56  466985       1.2742     0.044791   -2.2204e-16       1.2742
_SET1_   84146         1   91370855   91522812    488      64  469779     -0.41012       0.4879   -2.2204e-16     -0.41012
_SET1_   7049          1   92135900   92406559   1217     119  473356     0.044379       0.2852   -2.2898e-16     0.044379
_SET1_   284697        1   92510862   92623397    353      52  469609     -0.71881      0.61105   -2.2204e-16     -0.71881
_SET1_   388650        1   93288286   93462079    544      51  467169       1.3614     0.033453   -2.2204e-16       1.3614
_SET1_   54874         1   93878688   94030218    476      88  459050       0.4333      0.18667   -2.2204e-16       0.4333
_SET1_   5825          1   94848933   94994219    360      74  464296      -1.6568      0.87381   -2.2204e-16      -1.6568
_SET1_   2152          1   94984732   95042413    263      59  470154      -1.6775      0.88217   -2.2204e-16      -1.6775
