# ALPHA = 0.05
# NUMBER_OF_TESTS = 29

# _SET1_  VARIABLE = T-cell-mixed (set)
# _SET1_  NGENES = 256
# _SET1_  P-VALUE = 0.000908127
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   5293          1    9711789    9789172    335      67  460695      0.80004      0.10982    5.5511e-16      0.80004
_SET1_   7133          1   12227044   12269279    186      40  470837      0.46287       0.1881     4.996e-16      0.46287
_SET1_   864           1   25226002   25291648    258      70  469794       1.3174     0.037257    4.4409e-16       1.3174
_SET1_   2035          1   29213603   29446558    800      67  461740       1.0374     0.071921    4.4409e-16       1.0374
_SET1_   7805          1   31205315   31230683    133      59  458853       2.3218    0.0023809    4.4409e-16       2.3218
_SET1_   3932          1   32716840   32751766    101      50  466458      -1.8976      0.94023    4.4409e-16      -1.8976
_SET1_   84251         1   66999066   67210768    990      49  468664      0.34835      0.20531     4.996e-16      0.34835
_SET1_   255231        1   85391266   85462796    349      40  474878      -2.0114      0.93707    4.4409e-16      -2.0114
_SET1_   2634          1   89571815   89591842     94      19  474680      -1.0678      0.74734    4.4409e-16      -1.0678
_SET1_   115362        1   89724633   89738544     43      21  455727       -2.557      0.98416    4.4409e-16       -2.557
_SET1_   10451         1  108113782  108507545   1881     139  469531      -2.0379       0.9401    4.4409e-16      -2.0379
_SET1_   963           1  111413821  111442558    110      21  474791      -1.0515      0.73283    4.4409e-16      -1.0515
_SET1_   79961         1  111728591  111747160     80      37  471435     -0.76879      0.61951    5.5511e-16     -0.76879
_SET1_   26191         1  114356433  114414375    159      39  464061     -0.60378      0.55403    5.5511e-16     -0.60378
_SET1_   965           1  117057156  117113715    144      53  460422       1.6098     0.023265    4.4409e-16       1.6098
_SET1_   914           1  117297057  117311851     62      24  463793      -1.0351      0.73869    4.4409e-16      -1.0351
_SET1_   149628        1  158901337  158946849    168      44  463258      0.55796      0.15808    5.5511e-16      0.55796
_SET1_   3428          1  158979682  159024945    252      21  474469      0.88106      0.11097    5.5511e-16      0.88106
_SET1_   114836        1  160454820  160493052    158      41  469025      0.23644      0.25875     4.996e-16      0.23644
_SET1_   257106        1  161016731  161039760     92      35  460122      0.10273      0.29541    5.1348e-16      0.10273
_SET1_   919           1  167399877  167487847    463     110  465093     -0.26741      0.41781     4.996e-16     -0.26741
_SET1_   92241         1  167599474  167677933    460     104  468027      0.21395      0.24631     4.996e-16      0.21395
_SET1_   26052         1  171810618  172387606   2254     139  467183      0.65635      0.12336    5.5511e-16      0.65635
_SET1_   9910          1  174128552  174964445   2929      58  464175     -0.52521      0.52004    5.5511e-16     -0.52521
_SET1_   116496        1  184760159  184943718    833      74  464988     0.002853      0.31919    5.0697e-16     0.002853
_SET1_   5788          1  198608098  198726605    484      72  463424    -0.047783      0.35037    5.0654e-16    -0.047783
_SET1_   89796         1  201508243  201796102   1273     168  468951     -0.13848      0.37474     4.996e-16     -0.13848
_SET1_   80342         1  209929393  209955668     99      21  469101      0.66938       0.1398    5.5511e-16      0.66938
_SET1_   7188          1  211499849  211548403    168      46  469844     -0.21974      0.42819     4.996e-16     -0.21974
_SET1_   8476          1  227177566  227506193   1868      38  473088      0.30796      0.22295     4.996e-16      0.30796
_SET1_   27436         2   42396490   42559688    733      50  462605       1.8368     0.010607    4.4409e-16       1.8368
_SET1_   678           2   43449541   43453745     20      12  465879        4.169   3.4485e-06    8.8818e-16        4.169
_SET1_   55704         2   55514978   55647057    658      42  472592     -0.69181      0.61232    5.5511e-16     -0.69181
_SET1_   5341          2   68592322   68624585    207      27  475132     -0.61036      0.56256    5.5511e-16     -0.61036
_SET1_   9938          2   68961913   69053965    481      64  474788      0.98254     0.070732    5.5511e-16      0.98254
_SET1_   7535          2   98330031   98356990    111      34  454611      0.81019      0.10171    5.5511e-16      0.81019
_SET1_   344148        2  133429361  134399118   4142     301  468561       2.1159    0.0045803    4.4409e-16       2.1159
_SET1_   7852          2  136871919  136875725     12       8  466306     0.028123      0.38063    5.0654e-16     0.028123
_SET1_   55843         2  143886899  144525921   2184     208  469500     -0.20542      0.39545     4.996e-16     -0.20542
_SET1_   114793        2  153191684  153506348   1394     122  467650      0.32124      0.20944     4.996e-16      0.32124
_SET1_   9595          2  158271131  158300604    109      35  463161      0.27882      0.27653     4.996e-16      0.27882
