# ALPHA = 0.05
# NUMBER_OF_TESTS = 32

# _SET1_  VARIABLE = T-Pericyte (set)
# _SET1_  NGENES = 1759
# _SET1_  P-VALUE = 0.00111131
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   57801         1     934342     936608     17       7  460925       1.6654     0.022661    8.8818e-16       1.6654
_SET1_   375790        1     955503     991499    241      52  459564       3.3058   9.5414e-05    8.8818e-16       3.3058
_SET1_   2782          1    1716725    1822552    354      66  459277     -0.68716      0.59651    7.7716e-16     -0.68716
_SET1_   5590          1    1981909    2116834    784      65  466216      -1.8159      0.91207    8.8818e-16      -1.8159
_SET1_   55966         1    4715105    4843851    857     118  474019      -1.5084      0.84801    8.8818e-16      -1.5084
_SET1_   23261         1    6845384    7829766   4336     358  469781     0.098274      0.26817    7.9103e-16     0.098274
_SET1_   5293          1    9711789    9789172    335      67  460695      0.80004      0.10982    7.7716e-16      0.80004
_SET1_   23095         1   10270606   10441664    689      35  473689      0.20034      0.26977    8.0491e-16      0.20034
_SET1_   5351          1   11994724   12035599    196      37  468696     -0.24873      0.42927    8.0491e-16     -0.24873
_SET1_   7133          1   12227044   12269279    186      40  470837      0.46287       0.1881    7.7716e-16      0.46287
_SET1_   55187         1   12290101   12572099    872      56  466170     -0.46543      0.56291    7.7716e-16     -0.46543
_SET1_   23254         1   14219646   15444544   6679     495  468521       1.3114     0.030734    8.8818e-16       1.3114
_SET1_   55092         1   15479028   15546974    442      44  477011      -2.0608      0.94367    8.8818e-16      -2.0608
_SET1_   23013         1   16174359   16266951    321      53  456874     0.027959      0.32601    7.9797e-16     0.027959
_SET1_   11240         1   17393256   17445948    338      34  476755     -0.76437      0.61608    7.7716e-16     -0.76437
_SET1_   832           1   19665267   19812066    775      47  472024      0.74153      0.11564    7.7716e-16      0.74153
_SET1_   100532736     1   19923471   19984949    296      46  471793       1.6976      0.01727    8.8818e-16       1.6976
_SET1_   50809         1   21069170   21113808    122      30  477287       2.8969   0.00043201    8.8818e-16       2.8969
_SET1_   1889          1   21543740   21672034    601      86  464758     -0.17713      0.39088    8.0491e-16     -0.17713
_SET1_   57185         1   24742245   24799473    307      43  467441      0.11334      0.28306    7.9103e-16      0.11334
_SET1_   57035         1   25568740   25574010     22      12  460882     -0.99166      0.77207    7.7716e-16     -0.99166
_SET1_   3925          1   26210670   26233368     57      19  456734       1.9137    0.0092554    8.8818e-16       1.9137
_SET1_   6548          1   27425300   27481621    163      50  456390      -1.8274      0.91647    8.8818e-16      -1.8274
_SET1_   10163         1   27730734   27816678    256      46  464639       1.0719     0.074749    8.8818e-16       1.0719
_SET1_   6429          1   29474250   29508637    119      43  461547       0.1904      0.27105    8.0491e-16       0.1904
_SET1_   9672          1   31342313   31381480    159      66  463603     -0.14998      0.37509    8.0491e-16     -0.14998
_SET1_   9698          1   31404353   31538838    477      57  467327     -0.18205      0.39631    8.0491e-16     -0.18205
