# ALPHA = 0.05
# NUMBER_OF_TESTS = 43

# _SET1_  VARIABLE = T-Pericyte (set)
# _SET1_  NGENES = 1522
# _SET1_  P-VALUE = 0.000442029
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   57801         1     934342     936608     17       7  460925       1.6735     0.022661    1.1102e-15       1.6735
_SET1_   375790        1     955503     991499    241      52  459564       3.3131   9.5414e-05    8.8818e-16       3.3131
_SET1_   23261         1    6845384    7829766   4336     358  469781     0.093823      0.26817    1.1102e-15     0.093823
_SET1_   5293          1    9711789    9789172    335      67  460695      0.80611      0.10982    1.1102e-15      0.80611
_SET1_   23095         1   10270606   10441664    689      35  473689      0.20972      0.26977    1.1102e-15      0.20972
_SET1_   23435         1   11072462   11085549     48      17  467359     -0.11624      0.42235    1.1102e-15     -0.11624
_SET1_   5351          1   11994724   12035599    196      37  468696     -0.24095      0.42927    1.1102e-15     -0.24095
_SET1_   55187         1   12290101   12572099    872      56  466170     -0.45614      0.56291    1.1102e-15     -0.45614
_SET1_   23254         1   14219646   15444544   6679     495  468521       1.3081     0.030734    1.1102e-15       1.3081
_SET1_   55092         1   15479028   15546974    442      44  477011      -2.0522      0.94367    8.8818e-16      -2.0522
_SET1_   832           1   19665267   19812066    775      47  472024      0.75085      0.11564    1.1102e-15      0.75085
_SET1_   50809         1   21069170   21113808    122      30  477287       2.9043   0.00043201    8.8818e-16       2.9043
_SET1_   1889          1   21543740   21672034    601      86  464758     -0.17206      0.39088    1.1102e-15     -0.17206
_SET1_   57185         1   24742245   24799473    307      43  467441      0.12197      0.28306    1.1102e-15      0.12197
_SET1_   6548          1   27425300   27481621    163      50  456390      -1.8198      0.91647    1.1102e-15      -1.8198
_SET1_   10163         1   27730734   27816678    256      46  464639       1.0789     0.074749    1.1102e-15       1.0789
_SET1_   9698          1   31404353   31538838    477      57  467327     -0.17469      0.39631    1.1102e-15     -0.17469
_SET1_   8073          1   32372022   32403988    117      24  457183     -0.29176      0.50302    1.1102e-15     -0.29176
_SET1_   114784        1   33979609   34631443   2968     295  466818     -0.78231      0.61309    1.1102e-15     -0.78231
_SET1_   26508         1   40089103   40105348     71      36  472469      -1.5217      0.86046    1.1102e-15      -1.5217
_SET1_   22955         1   41492871   41707815    786      53  467137      -1.2887      0.80386    1.1102e-15      -1.2887
_SET1_   55182         1   44870837   45117396   1031     132  467875        1.675     0.015766    1.1102e-15        1.675
_SET1_   57643         1   45482071   45672250    541      51  469539     -0.12319      0.39367    1.1102e-15     -0.12319
_SET1_   4678          1   46049660   46084578    136      22  467611      -2.0026      0.95116    8.8818e-16      -2.0026
_SET1_   8503          1   46505812   46642167    461      55  467848     -0.80529       0.6381    1.1102e-15     -0.80529
_SET1_   84871         1   48998527   50489626   4462     138  458219      0.27288      0.22423    1.1102e-15      0.27288
_SET1_   5563          1   57110990   57181008    342      34  473537      0.20016      0.25801    1.1102e-15      0.20016
_SET1_   1600          1   57460453   58716211   5805     340  467497      0.23357      0.22632    1.1102e-15      0.23357
_SET1_   114803        1   59120411   59165747    257      25  468246       1.1712     0.055343    1.1102e-15       1.1712
_SET1_   55277         1   59762625   60228402   1892     127  465769      0.50471      0.16531    1.1102e-15      0.50471
_SET1_   4774          1   61542946   61928460   1586     200  467631      0.51338      0.17443    1.1102e-15      0.51338
_SET1_   84938         1   63249777   63330941    291      31  467536     -0.21003        0.412    1.1102e-15     -0.21003
_SET1_   57685         1   64936476   65158741    773     140  469202      0.30043       0.2397    1.1102e-15      0.30043
_SET1_   3716          1   65298906   65432593    539      58  470659       1.4903     0.028002    1.1102e-15       1.4903
_SET1_   9829          1   65720133   65881552    630      61  466789      0.87848     0.087333    1.1102e-15      0.87848
_SET1_   5142          1   66258193   66840262   2322     165  467219     -0.59652      0.54056    1.1102e-15     -0.59652
_SET1_   84251         1   66999066   67210768    990      49  468664      0.35883      0.20531    1.1102e-15      0.35883
_SET1_   79971         1   68564142   68698284    717     110  474021     -0.59218      0.54449    1.1102e-15     -0.59218
_SET1_   57554         1   70033230   70589171   2299     143  466918       1.0837     0.056929    1.1102e-15       1.0837
_SET1_   257194        1   71868625   72748533   3079     188  464137      0.23392      0.23304    1.1102e-15      0.23392
_SET1_   256435        1   76540389   77100311   2552     228  464420      -1.6124       0.8733    1.1102e-15      -1.6124
_SET1_   26289         1   77747662   78025654   1260     109  474810      -1.0914      0.73229    1.1102e-15      -1.0914
_SET1_   26009         1   78028160   78149119    336      50  462707     -0.21285      0.41958    1.1102e-15     -0.21285
_SET1_   79739         1   84335057   84464850    454      36  464859     -0.42677      0.50331    1.1102e-15     -0.42677
_SET1_   5567          1   84543745   84704181    435      66  464042      -0.3688      0.46017    1.1102e-15      -0.3688
_SET1_   9653          1   87380335   87575681    751      40  469987      0.68575      0.14665    1.1102e-15      0.68575
_SET1_   23507         1   89989933   90063420    253      26  476320     -0.69764      0.60418    1.1102e-15     -0.69764
_SET1_   55144         1   90286573   90401991    351      80  468717      0.48172      0.17829    1.1102e-15      0.48172
_SET1_   284695        1   90460678   90494101     82      35  471993      0.39203      0.21961    1.1102e-15      0.39203
_SET1_   284697        1   92545862   92613397    235      44  467941      -1.2717      0.79954    1.1102e-15      -1.2717
_SET1_   388650        1   93298286   93427079    389      33  466436       1.6371     0.019936    1.1102e-15       1.6371
_SET1_   5825          1   94883933   94984219    245      61  464669      -1.9609      0.93232    1.1102e-15      -1.9609
_SET1_   58155         1   97187161   97280605    342      47  464307     -0.20775      0.40732    1.1102e-15     -0.20775
_SET1_   1806          1   97543299   98386615   3356     227  468480     -0.63722      0.56804    1.1102e-15     -0.63722
