# ALPHA = 0.05
# NUMBER_OF_TESTS = 29

# _SET1_  VARIABLE = T-cell-parenchymal-1 (set)
# _SET1_  NGENES = 1283
# _SET1_  P-VALUE = 0.00114707
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   2782          1    1716725    1822552    354      66  459277     -0.68716      0.59651    7.7716e-16     -0.68716
_SET1_   23261         1    6845384    7829766   4336     358  469781     0.098274      0.26817    7.7716e-16     0.098274
_SET1_   9563          1    9294822    9331396    177      56  456295     -0.50827      0.51009    7.7716e-16     -0.50827
_SET1_   5293          1    9711789    9789172    335      67  460695      0.80004      0.10982    7.7716e-16      0.80004
_SET1_   7799          1   14026714   14151574    551      55  467644     -0.35232      0.47962    7.7716e-16     -0.35232
_SET1_   832           1   19665267   19812066    775      47  472024      0.74153      0.11564    7.7716e-16      0.74153
_SET1_   3155          1   24128367   24165110     96      26  468414      0.70797      0.12741    7.7716e-16      0.70797
_SET1_   57185         1   24742245   24799473    307      43  467441      0.11334      0.28306    7.7716e-16      0.11334
_SET1_   10250         1   24969594   24999772     66      33  469892     -0.57169      0.58855    7.7716e-16     -0.57169
_SET1_   864           1   25226002   25291648    258      70  469794       1.3174     0.037257    6.6613e-16       1.3174
_SET1_   26119         1   25870071   25895377    133      30  466328     -0.71111      0.61112    7.7716e-16     -0.71111
_SET1_   2035          1   29213603   29446558    800      67  461740       1.0374     0.071921    6.6613e-16       1.0374
_SET1_   3932          1   32716840   32751766    101      50  466458      -1.8976      0.94023    6.6613e-16      -1.8976
_SET1_   3065          1   32757708   32799227    105      28  455635      -1.6713      0.92625    6.6613e-16      -1.6713
_SET1_   65108         1   32799430   32801840      3       2  459384      -1.0066       0.8464    6.6613e-16      -1.0066
_SET1_   8565          1   33240840   33283633    125      33  464763     -0.92719      0.69436    7.7716e-16     -0.92719
_SET1_   10487         1   40505912   40538321    171      24  468531       1.3785     0.039908    6.6613e-16       1.3785
_SET1_   6018          1   40627041   40706593    213      69  456300      -1.2734      0.80202    6.6613e-16      -1.2734
_SET1_   64744         1   40839378   40888998    173      48  472830      -1.6863      0.89478    6.6613e-16      -1.6863
