# ALPHA = 0.05
# NUMBER_OF_TESTS = 7

# _SET1_  VARIABLE = Pericyte (set)
# _SET1_  NGENES = 2813
# _SET1_  P-VALUE = 0.00109809
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   375790        1     920503    1001499    498      73  455328        3.062   0.00018931    4.4409e-16        3.062
_SET1_   57801         1     924342     971608    257      44  456042       2.0792    0.0053653    4.4409e-16       2.0792
_SET1_   81669         1    1311091    1369718    297      38  462831     -0.81707      0.67848    6.6613e-16     -0.81707
_SET1_   2782          1    1706725    1857552    549      64  461322     -0.93629      0.67363    6.6613e-16     -0.93629
_SET1_   6497          1    2125134    2251652    592     106  464827      -1.8112       0.9023    6.6613e-16      -1.8112
_SET1_   23261         1    6810384    7839766   4535     347  469990      0.11659      0.25924    6.5226e-16      0.11659
_SET1_   473           1    8402464    8912699   1433      72  464886        2.122    0.0044384    4.4409e-16        2.122
_SET1_   5293          1    9676789    9799172    556      86  461632       1.4485     0.027153    6.6613e-16       1.4485
_SET1_   22883         1    9779079    9919550    633      60  452429     -0.69035      0.62311    6.6613e-16     -0.69035
_SET1_   10277         1   10058041   10251297    689      48  469162     -0.43343      0.54564    6.6613e-16     -0.43343
_SET1_   5195          1   10500003   10700815    732      78  468964      -0.8343      0.63384    6.6613e-16      -0.8343
_SET1_   5351          1   11959724   12045599    478      63  467721      -1.1661      0.75244    6.6613e-16      -1.1661
_SET1_   7133          1   12192044   12279279    383      67  470965    -0.062064      0.34267    6.5226e-16    -0.062064
_SET1_   55187         1   12255101   12582099   1093      69  467333     -0.57506       0.5929    6.6613e-16     -0.57506
_SET1_   7799          1   13991714   14161574    814      54  469824      -0.2558       0.4404    6.6613e-16      -0.2558
_SET1_   23254         1   14184646   15454544   6947     501  468615       1.4227     0.021563    6.6613e-16       1.4227
_SET1_   55092         1   15444028   15556974    795      59  473443     -0.97034        0.688    6.6613e-16     -0.97034
_SET1_   23013         1   16139359   16276951    531      54  461463      -0.4995      0.51783    6.6613e-16      -0.4995
_SET1_   149563        1   16295731   16343184    293      41  468881     -0.31884      0.45415    6.6613e-16     -0.31884
_SET1_   54455         1   16563339   16713965    471      44  463528     0.033563      0.30862    6.5226e-16     0.033563
_SET1_   23352         1   19391000   19571812    617      51  467949     -0.21081      0.40547    6.6613e-16     -0.21081
_SET1_   832           1   19655267   19847066    991      76  470928       0.7104      0.11252    6.6613e-16       0.7104
_SET1_   50809         1   21059170   21148808    237      45  471148       2.9785   0.00030131    4.4409e-16       2.9785
_SET1_   8672          1   21122785   21538381   1271      60  468770       3.6411   1.9171e-05    4.4409e-16       3.6411
_SET1_   1889          1   21533740   21707034    822     104  467306       0.2895      0.21513    6.6613e-16       0.2895
_SET1_   249           1   21800475   21914905    642      77  472596     -0.31152      0.43076    6.6613e-16     -0.31152
_SET1_   84196         1   21994791   22144688    679      63  471487      0.10481      0.29318    6.5226e-16      0.10481
_SET1_   3339          1   22138737   22298750    845      82  469558      0.48176      0.17135    6.6613e-16      0.48176
_SET1_   998           1   22344120   22429439    427      54  469653       1.0156     0.069602    6.6613e-16       1.0156
_SET1_   7798          1   23400516   23539301    482      53  470234      -1.1014      0.73754    6.6613e-16      -1.1014
_SET1_   10236         1   23625953   23706143    268      41  460538     -0.45629      0.52987    6.6613e-16     -0.45629
_SET1_   3399          1   23874421   23921285    178      52  463958       1.2913     0.037278    6.6613e-16       1.2913
_SET1_   10772         1   24282935   24341953     40      13  436423       3.8379   1.1815e-05    4.4409e-16       3.8379
