# ALPHA = 0.05
# NUMBER_OF_TESTS = 39

# _SET1_  VARIABLE = T-cell-vascular (set)
# _SET1_  NGENES = 51
# _SET1_  P-VALUE = 0.00101019
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   3932          1   32716840   32751766    101      50  466458      -1.8907      0.94023    8.8818e-16      -1.8907
_SET1_   963           1  111413821  111442558    110      21  474791      -1.0427      0.73283    8.8818e-16      -1.0427
_SET1_   26191         1  114356433  114414375    159      39  464061     -0.59516      0.55403     9.992e-16     -0.59516
_SET1_   149628        1  158901337  158946849    168      44  463258      0.56558      0.15808     9.992e-16      0.56558
_SET1_   919           1  167399877  167487847    463     110  465093       -0.265      0.41781     9.992e-16       -0.265
_SET1_   81563         1  184356150  184598155   1052      84  462159      0.47488      0.18038     9.992e-16      0.47488
_SET1_   5788          1  198608098  198726605    484      72  463424    -0.041866      0.35037     9.992e-16    -0.041866
_SET1_   80342         1  209929393  209955668     99      21  469101      0.67804       0.1398     9.992e-16      0.67804
_SET1_   55843         2  143886899  144525921   2184     208  469500     -0.20936      0.39545     9.992e-16     -0.20936
_SET1_   9595          2  158271131  158300604    109      35  463161      0.28708      0.27653     9.992e-16      0.28708
_SET1_   3676          2  182321619  182402474    339      60  467733      -1.1042      0.73434    8.8818e-16      -1.1042
_SET1_   10225         3  111260926  111384843    466      92  459328      0.48833       0.1762     9.992e-16      0.48833
_SET1_   10417         4    1160720    1202750    152      56  472484      0.81945      0.10652     9.992e-16      0.81945
_SET1_   401124        4   36283237   36346407    273      54  472304       1.1437     0.054639    8.8818e-16       1.1437
_SET1_   399           4   40192631   40246384    264      58  470427        2.238    0.0035301    8.8818e-16        2.238
_SET1_   2533          5   39105354   39270759    751      85  470925      -1.9895      0.93912    8.8818e-16      -1.9895
_SET1_   133418        5   49692026   49737234    156      35  459817       1.0271     0.070028    8.8818e-16       1.0271
_SET1_   10788         5   75699131   76003957   1390     169  470669       3.0805    0.0001665    8.8818e-16       3.0805
_SET1_   3702          5  156607907  156682109    391      58  473765       1.5895     0.020707    8.8818e-16       1.5895
_SET1_   1794          5  169064251  169510386   2109     198  470353     -0.33491       0.4443     9.992e-16     -0.33491
_SET1_   256380        6  108023361  108145521    623      51  473493     -0.36708      0.47277     9.992e-16     -0.36708
_SET1_   387357        6  128029339  128239776    736      83  463884       -1.321      0.80589    8.8818e-16       -1.321
_SET1_   154075        6  130465447  130686570   1326      56  473588     -0.37227      0.46503     9.992e-16     -0.37227
_SET1_   94120         6  159065931  159185908    574      85  467010     -0.93824      0.67456     9.992e-16     -0.93824
_SET1_   84433         7    2945709    3083579    885     141  472013      0.67504      0.12517     9.992e-16      0.67504
_SET1_   313           7   36552549   36764154    992     114  469268       1.7879     0.011057    8.8818e-16       1.7879
_SET1_   353345        7   37570212   37781888    861      60  469461       4.0718   3.1497e-06    8.8818e-16       4.0718
_SET1_   4603          8   67474410   67525484    119      26  470786      -1.2598       0.8445    8.8818e-16      -1.2598
_SET1_   6503          8  134048973  134115604    396      45  473254       1.1588     0.052058    8.8818e-16       1.1588
_SET1_   89846         9   95709601   95798518    384      55  471214        1.226     0.046468    8.8818e-16        1.226
_SET1_   5588         10    6435558    6622254    864     108  472423       1.6838     0.015288    8.8818e-16       1.6838
_SET1_   54518        10   26727253   26856732    658     116  471626     -0.84365      0.63427     9.992e-16     -0.84365
_SET1_   80310        11  103777914  104035027   1224     124  467554     -0.16999      0.36569     9.992e-16     -0.16999
_SET1_   6653         11  121322912  121504471    609     115  467230       7.2695   1.0307e-16    8.8818e-16       7.2695
_SET1_   100528032    12   10524952   10562745    135      23  473292       1.7634      0.01528    8.8818e-16       1.7634
_SET1_   81539        12   46576838   46663208    327      85  465859     -0.99642      0.70232     9.992e-16     -0.99642
_SET1_   51411        12   51674822   51718446    183      25  469340       2.0864    0.0063888    8.8818e-16       2.0864
_SET1_   3936         13   46700058   46756459    297      70  470325       2.3779    0.0023016    8.8818e-16       2.3779
_SET1_   54331        14   52327022   52436518    574      82  474465       1.3057     0.038124    8.8818e-16       1.3057
_SET1_   64919        14   99635624   99738514    379      64  472307       1.2515     0.041143    8.8818e-16       1.2515
_SET1_   321          15   29211570   29410518    979      66  469493      -1.3448      0.83286    8.8818e-16      -1.3448
_SET1_   55784        15   94774772   95027181   1221     191  468295       1.7093     0.014081    8.8818e-16       1.7093
_SET1_   3683         16   30483983   30534506    153      55  459703       2.7844   0.00055834    8.8818e-16       2.7844
_SET1_   23533        17    8782233    8869029    359      79  464183      -1.4378      0.83566    8.8818e-16      -1.4378
_SET1_   22806        17   37913968   38020441    349      23  468800      0.14874      0.33185     9.992e-16      0.14874
_SET1_   752          17   43299192   43324685     90      34  460611       -1.783      0.91547    8.8818e-16       -1.783
_SET1_   8631         17   46210802   46507596    939      58  470113      0.33624      0.21327     9.992e-16      0.33624
_SET1_   147138       17   76125505   76139049     86      30  471771       1.6134     0.021256    8.8818e-16       1.6134
_SET1_   84174        20   35240922   35274619     79      48  450382      -1.0862      0.76461    8.8818e-16      -1.0862
_SET1_   128611       20   57735895   57834168    404      79  470539     -0.44373      0.50273     9.992e-16     -0.44373
_SET1_   9402         22   40297086   40369347    194      67  468762      -1.2004      0.76659    8.8818e-16      -1.2004
