# ALPHA = 0.05
# NUMBER_OF_TESTS = 7

# _SET1_  VARIABLE = Trans-Endo-to-mural (set)
# _SET1_  NGENES = 3479
# _SET1_  P-VALUE = 0.00423956
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   57801         1     934342     936608     17       7  460925       1.6735     0.022661    1.1102e-15       1.6735
_SET1_   81669         1    1321091    1334718     49      24  453192     -0.19741       0.4395     9.992e-16     -0.19741
_SET1_   984           1    1571100    1590473     33      12  405252      -2.0103      0.94272    8.8818e-16      -2.0103
_SET1_   728642        1    1633822    1655999     80      11  459324      0.68618      0.16724     9.992e-16      0.68618
_SET1_   2782          1    1716725    1822552    354      66  459277     -0.68056      0.59651     9.992e-16     -0.68056
_SET1_   6497          1    2160134    2241652    408     105  462692      -1.9773      0.93164    1.1102e-15      -1.9773
_SET1_   9731          1    3728645    3773797    349      30  476742     -0.53993      0.54372     9.992e-16     -0.53993
_SET1_   55735         1    6694228    6761966    257      47  468311       2.2383    0.0035237    8.8818e-16       2.2383
_SET1_   23261         1    6845384    7829766   4336     358  469781     0.093823      0.26817    1.0131e-15     0.093823
_SET1_   8863          1    7844413    7905241    294      37  472715      0.52624      0.17031     9.992e-16      0.52624
_SET1_   473           1    8412464    8877699   1290      69  465044       2.2537    0.0033631    8.8818e-16       2.2537
_SET1_   5293          1    9711789    9789172    335      67  460695      0.80611      0.10982     9.992e-16      0.80611
_SET1_   22883         1    9789079    9884550    451      35  449731      -1.1058      0.79808    1.1102e-15      -1.1058
_SET1_   10277         1   10093041   10241297    544      46  470117      -0.6864      0.64723     9.992e-16      -0.6864
_SET1_   23095         1   10270606   10441664    689      35  473689      0.20972      0.26977     9.992e-16      0.20972
_SET1_   5195          1   10535003   10690815    582      67  470111     -0.63608      0.56705     9.992e-16     -0.63608
_SET1_   23435         1   11072462   11085549     48      17  467359     -0.11624      0.42235    1.0131e-15     -0.11624
_SET1_   5394          1   11126675   11159961    139      17  469744      -1.7624      0.92806    1.1102e-15      -1.7624
_SET1_   5351          1   11994724   12035599    196      37  468696     -0.24095      0.42927     9.992e-16     -0.24095
_SET1_   7133          1   12227044   12269279    186      40  470837      0.46992       0.1881     9.992e-16      0.46992
_SET1_   55187         1   12290101   12572099    872      56  466170     -0.45614      0.56291     9.992e-16     -0.45614
_SET1_   23254         1   14219646   15444544   6679     495  468521       1.3081     0.030734    1.1102e-15       1.3081
