# ALPHA = 0.05
# NUMBER_OF_TESTS = 29

# _SET1_  VARIABLE = Astrocyte-activated (set)
# _SET1_  NGENES = 3663
# _SET1_  P-VALUE = 0.000790524
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   116983        1    1227764    1243304     96      33  465528     -0.20005      0.45839    1.1935e-15     -0.20005
_SET1_   81669         1    1321091    1334718     49      24  453192     -0.19741       0.4395    1.1935e-15     -0.19741
_SET1_   643965        1    1361508    1363167     10       5  466340      -1.2906      0.85582    1.1102e-15      -1.2906
_SET1_   2782          1    1716725    1822552    354      66  459277     -0.68056      0.59651    1.2212e-15     -0.68056
_SET1_   5590          1    1981909    2116834    784      65  466216       -1.808      0.91207    1.1102e-15       -1.808
_SET1_   6497          1    2160134    2241652    408     105  462692      -1.9773      0.93164    1.1102e-15      -1.9773
_SET1_   63976         1    2985565    3355185   2354     285  469116      -1.4307      0.83381    1.1102e-15      -1.4307
_SET1_   9731          1    3728645    3773797    349      30  476742     -0.53993      0.54372    1.2212e-15     -0.53993
_SET1_   55966         1    4715105    4843851    857     118  474019      -1.5063      0.84801    1.1102e-15      -1.5063
_SET1_   55735         1    6694228    6761966    257      47  468311       2.2383    0.0035237    1.3323e-15       2.2383
_SET1_   23261         1    6845384    7829766   4336     358  469781     0.093823      0.26817    1.1935e-15     0.093823
_SET1_   8863          1    7844413    7905241    294      37  472715      0.52624      0.17031    1.2212e-15      0.52624
_SET1_   473           1    8412464    8877699   1290      69  465044       2.2537    0.0033631    1.3323e-15       2.2537
_SET1_   2023          1    8921059    8939151     59      22  467967     -0.41864      0.51143    1.2212e-15     -0.41864
_SET1_   84275         1    9599528    9642831    162      42  463300       1.7001     0.019142    1.1102e-15       1.7001
_SET1_   22883         1    9789079    9884550    451      35  449731      -1.1058      0.79808    1.1102e-15      -1.1058
_SET1_   10277         1   10093041   10241297    544      46  470117      -0.6864      0.64723    1.2212e-15      -0.6864
_SET1_   23095         1   10270606   10441664    689      35  473689      0.20972      0.26977    1.1935e-15      0.20972
_SET1_   23435         1   11072462   11085549     48      17  467359     -0.11624      0.42235    1.1935e-15     -0.11624
_SET1_   5394          1   11126675   11159961    139      17  469744      -1.7624      0.92806    1.1102e-15      -1.7624
_SET1_   55187         1   12290101   12572099    872      56  466170     -0.45614      0.56291    1.2212e-15     -0.45614
_SET1_   9249          1   12627939   12677820    236      66  468205      -0.2207      0.39346    1.1935e-15      -0.2207
_SET1_   7799          1   14026714   14151574    551      55  467644     -0.34522      0.47962    1.2212e-15     -0.34522
_SET1_   23254         1   14219646   15444544   6679     495  468521       1.3081     0.030734    1.1102e-15       1.3081
_SET1_   84301         1   15943953   15995539    174      24  468814     -0.43247      0.51604    1.2212e-15     -0.43247
_SET1_   54455         1   16573339   16678965    325      34  460666     0.050819      0.31355    1.2004e-15     0.050819
_SET1_   11240         1   17393256   17445948    338      34  476755     -0.75497      0.61608    1.2212e-15     -0.75497
_SET1_   55160         1   17846693   18024370    883     107  465717      -1.4249      0.84026    1.1102e-15      -1.4249
_SET1_   23352         1   19401000   19536812    444      49  465863     -0.79779      0.64048    1.2212e-15     -0.79779
_SET1_   832           1   19665267   19812066    775      47  472024      0.75085      0.11564    1.2212e-15      0.75085
_SET1_   55450         1   20808884   20812728     10       6  427038     -0.60567      0.66512    1.2212e-15     -0.60567
_SET1_   50809         1   21069170   21113808    122      30  477287       2.9043   0.00043201    1.3323e-15       2.9043
_SET1_   8672          1   21132785   21503381   1132      55  469621       3.4013    5.933e-05    1.3323e-15       3.4013
_SET1_   1889          1   21543740   21672034    601      86  464758     -0.17206      0.39088    1.1935e-15     -0.17206
_SET1_   84196         1   22004791   22109688    447      61  471939     -0.00291      0.33578    1.1991e-15     -0.00291
_SET1_   998           1   22379120   22419439    153      39  470517       1.2523     0.053058    1.1102e-15       1.2523
_SET1_   7798          1   23410516   23504301    261      43  469949      -1.4743      0.85261    1.1102e-15      -1.4743
_SET1_   10236         1   23635953   23671143    107      32  456833     -0.56437      0.58532    1.2212e-15     -0.56437
_SET1_   55616         1   23755056   23810750    181      39  472175      0.80164      0.11836    1.2212e-15      0.80164
_SET1_   10772         1   24292935   24306953     12       5  474361       3.3217   0.00016514    1.3323e-15       3.3217
