# ALPHA = 0.05
# NUMBER_OF_TESTS = 29

# _SET1_  VARIABLE = T-cell-mixed (set)
# _SET1_  NGENES = 256
# _SET1_  P-VALUE = 0.000653418
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   5293          1    9711789    9789172    335      67  460695      0.80611      0.10982    1.3323e-15      0.80611
_SET1_   7133          1   12227044   12269279    186      40  470837      0.46992       0.1881    1.2768e-15      0.46992
_SET1_   864           1   25226002   25291648    258      70  469794       1.3225     0.037257    1.3323e-15       1.3225
_SET1_   2035          1   29213603   29446558    800      67  461740       1.0449     0.071921    1.3323e-15       1.0449
_SET1_   7805          1   31205315   31230683    133      59  458853        2.329    0.0023809    1.3323e-15        2.329
_SET1_   3932          1   32716840   32751766    101      50  466458      -1.8907      0.94023    1.3323e-15      -1.8907
_SET1_   84251         1   66999066   67210768    990      49  468664      0.35883      0.20531    1.2768e-15      0.35883
_SET1_   255231        1   85391266   85462796    349      40  474878      -2.0023      0.93707    1.3323e-15      -2.0023
_SET1_   2634          1   89571815   89591842     94      19  474680      -1.0596      0.74734    1.3323e-15      -1.0596
_SET1_   115362        1   89724633   89738544     43      21  455727      -2.5483      0.98416    1.3323e-15      -2.5483
_SET1_   10451         1  108113782  108507545   1881     139  469531      -2.0352       0.9401    1.3323e-15      -2.0352
_SET1_   963           1  111413821  111442558    110      21  474791      -1.0427      0.73283    1.3323e-15      -1.0427
_SET1_   79961         1  111728591  111747160     80      37  471435     -0.76162      0.61951    1.3323e-15     -0.76162
_SET1_   26191         1  114356433  114414375    159      39  464061     -0.59516      0.55403    1.3323e-15     -0.59516
_SET1_   965           1  117057156  117113715    144      53  460422       1.6163     0.023265    1.3323e-15       1.6163
_SET1_   914           1  117297057  117311851     62      24  463793      -1.0273      0.73869    1.3323e-15      -1.0273
_SET1_   149628        1  158901337  158946849    168      44  463258      0.56558      0.15808    1.3323e-15      0.56558
_SET1_   3428          1  158979682  159024945    252      21  474469       0.8889      0.11097    1.3323e-15       0.8889
_SET1_   114836        1  160454820  160493052    158      41  469025      0.24317      0.25875    1.2768e-15      0.24317
_SET1_   257106        1  161016731  161039760     92      35  460122      0.11074      0.29541    1.2906e-15      0.11074
_SET1_   919           1  167399877  167487847    463     110  465093       -0.265      0.41781    1.2768e-15       -0.265
_SET1_   92241         1  167599474  167677933    460     104  468027      0.21665      0.24631    1.2768e-15      0.21665
_SET1_   26052         1  171810618  172387606   2254     139  467183      0.66046      0.12336    1.3323e-15      0.66046
_SET1_   9910          1  174128552  174964445   2929      58  464175      -0.5115      0.52004    1.3323e-15      -0.5115
_SET1_   116496        1  184760159  184943718    833      74  464988     0.010155      0.31919    1.2854e-15     0.010155
_SET1_   5788          1  198608098  198726605    484      72  463424    -0.041866      0.35037    1.2837e-15    -0.041866
_SET1_   89796         1  201508243  201796102   1273     168  468951      -0.1405      0.37474    1.2768e-15      -0.1405
_SET1_   80342         1  209929393  209955668     99      21  469101      0.67804       0.1398    1.3323e-15      0.67804
_SET1_   7188          1  211499849  211548403    168      46  469844     -0.21366      0.42819    1.2768e-15     -0.21366
_SET1_   8476          1  227177566  227506193   1868      38  473088       0.3208      0.22295    1.2768e-15       0.3208
_SET1_   27436         2   42396490   42559688    733      50  462605       1.8468     0.010607    1.3323e-15       1.8468
_SET1_   678           2   43449541   43453745     20      12  465879       4.1758   3.4485e-06    8.8818e-16       4.1758
_SET1_   55704         2   55514978   55647057    658      42  472592     -0.68343      0.61232    1.3323e-15     -0.68343
_SET1_   5341          2   68592322   68624585    207      27  475132     -0.60102      0.56256    1.3323e-15     -0.60102
_SET1_   9938          2   68961913   69053965    481      64  474788      0.98942     0.070732    1.3323e-15      0.98942
_SET1_   7535          2   98330031   98356990    111      34  454611       0.8196      0.10171    1.3323e-15       0.8196
_SET1_   344148        2  133429361  134399118   4142     301  468561        2.111    0.0045803    1.3323e-15        2.111
_SET1_   7852          2  136871919  136875725     12       8  466306     0.034173      0.38063    1.2837e-15     0.034173
_SET1_   55843         2  143886899  144525921   2184     208  469500     -0.20936      0.39545    1.2768e-15     -0.20936
_SET1_   114793        2  153191684  153506348   1394     122  467650        0.325      0.20944    1.2768e-15        0.325
_SET1_   9595          2  158271131  158300604    109      35  463161      0.28708      0.27653    1.2768e-15      0.28708
_SET1_   3676          2  182321619  182402474    339      60  467733      -1.1042      0.73434    1.3323e-15      -1.1042
_SET1_   6775          2  191894302  192037404    491      91  468967      0.71331      0.11775    1.3323e-15      0.71331
_SET1_   64859         2  192542798  192553248     20      14  450430     -0.90327      0.75866    1.3323e-15     -0.90327
_SET1_   9262          2  196998307  197036336    173      26  469516     -0.87296      0.67415    1.3323e-15     -0.87296
_SET1_   91526         2  197831741  198175521   1400     103  469771     -0.25152      0.41691    1.2768e-15     -0.25152
_SET1_   841           2  202098166  202152434    218      51  468557       1.2905     0.041424    1.3323e-15       1.2905
_SET1_   11262         2  231090445  231177930    362      57  470715       1.1816      0.05105    1.3323e-15       1.1816
_SET1_   93349         2  231191894  231268445    371      41  478658     0.083803      0.29265    1.2906e-15     0.083803
_SET1_   6672          2  231280871  231410317    538      64  465351     -0.72701      0.59541    1.3323e-15     -0.72701
_SET1_   10123         2  235401685  235405721     15       9  437615      0.76377      0.13854    1.3323e-15      0.76377
_SET1_   23180         3   16357352   16555222    887     123  470969       1.7437     0.012863    1.3323e-15       1.7437
_SET1_   7325          3   23244498   23632296   1819      51  467181      0.73784      0.11607    1.3323e-15      0.73784
_SET1_   7048          3   30647994   30735634    415      84  468917      0.12962      0.26845    1.2768e-15      0.12962
_SET1_   112616        3   32433163   32496333    314      55  470292       0.1735      0.26068    1.2768e-15       0.1735
_SET1_   11186         3   50367217   50378367     31      14  446197      0.92359      0.10557    1.3323e-15      0.92359
_SET1_   1795          3   50712672   51421629   2164      51  460932       2.7664   0.00081095    1.3323e-15       2.7664
_SET1_   253559        3   85008133   86123579   4899     128  466396      -1.7197      0.88697    1.3323e-15      -1.7197
_SET1_   868           3  105374306  105589354    844      53  468224     -0.14986      0.39516    1.2768e-15     -0.14986
_SET1_   10225         3  111260926  111384843    466      92  459328      0.48833       0.1762    1.2768e-15      0.48833
_SET1_   4045          3  115521210  116164385   2508     175  468190      0.14676      0.26851    1.2768e-15      0.14676
_SET1_   3059          3  121350246  121379791    114      27  465434      -2.2101      0.96173    1.3323e-15      -2.2101
