# ALPHA = 0.05
# NUMBER_OF_TESTS = 6

# _SET1_  VARIABLE = Astro (set)
# _SET1_  NGENES = 4058
# _SET1_  P-VALUE = 0.00265356
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   116983        1    1227764    1243304     96      33  465528     -0.20798      0.45839    5.5511e-16     -0.20798
_SET1_   81669         1    1321091    1334718     49      24  453192      -0.2058       0.4395    5.5511e-16      -0.2058
_SET1_   643965        1    1361508    1363167     10       5  466340      -1.2961      0.85582    6.6613e-16      -1.2961
_SET1_   2782          1    1716725    1822552    354      66  459277     -0.68716      0.59651    5.5511e-16     -0.68716
_SET1_   5590          1    1981909    2116834    784      65  466216      -1.8159      0.91207    6.6613e-16      -1.8159
_SET1_   63976         1    2985565    3355185   2354     285  469116      -1.4231      0.83381    6.6613e-16      -1.4231
_SET1_   9731          1    3728645    3773797    349      30  476742     -0.54911      0.54372    5.5511e-16     -0.54911
_SET1_   55966         1    4715105    4843851    857     118  474019      -1.5084      0.84801    6.6613e-16      -1.5084
_SET1_   26038         1    6161847    6240194    451      77  465419       1.9579    0.0077206    6.6613e-16       1.9579
_SET1_   55735         1    6694228    6761966    257      47  468311       2.2304    0.0035237    4.4409e-16       2.2304
_SET1_   23261         1    6845384    7829766   4336     358  469781     0.098274      0.26817    5.5511e-16     0.098274
_SET1_   8863          1    7844413    7905241    294      37  472715      0.51805      0.17031    5.5511e-16      0.51805
_SET1_   473           1    8412464    8877699   1290      69  465044       2.2447    0.0033631    4.4409e-16       2.2447
_SET1_   2023          1    8921059    8939151     59      22  467967     -0.42628      0.51143    5.5511e-16     -0.42628
_SET1_   84275         1    9599528    9642831    162      42  463300       1.6931     0.019142    6.6613e-16       1.6931
_SET1_   22883         1    9789079    9884550    451      35  449731      -1.1176      0.79808    6.6613e-16      -1.1176
_SET1_   56998         1    9908334    9970316    233      59  456352      0.65874      0.15014    5.5511e-16      0.65874
_SET1_   10277         1   10093041   10241297    544      46  470117     -0.69416      0.64723    5.5511e-16     -0.69416
_SET1_   23095         1   10270606   10441664    689      35  473689      0.20034      0.26977    5.5511e-16      0.20034
_SET1_   5195          1   10535003   10690815    582      67  470111     -0.64309      0.56705    5.5511e-16     -0.64309
_SET1_   23435         1   11072462   11085549     48      17  467359     -0.12325      0.42235    5.5511e-16     -0.12325
_SET1_   5394          1   11126675   11159961    139      17  469744        -1.77      0.92806    6.6613e-16        -1.77
_SET1_   55187         1   12290101   12572099    872      56  466170     -0.46543      0.56291    5.5511e-16     -0.46543
_SET1_   9249          1   12627939   12677820    236      66  468205     -0.22701      0.39346    5.5511e-16     -0.22701
_SET1_   7799          1   14026714   14151574    551      55  467644     -0.35232      0.47962    5.5511e-16     -0.35232
_SET1_   23254         1   14219646   15444544   6679     495  468521       1.3114     0.030734    6.6613e-16       1.3114
_SET1_   84301         1   15943953   15995539    174      24  468814     -0.44122      0.51604    5.5511e-16     -0.44122
_SET1_   23207         1   16010632   16061264    229      36  472760     -0.74022      0.62941    5.5511e-16     -0.74022
_SET1_   23013         1   16174359   16266951    321      53  456874     0.027959      0.32601    5.5511e-16     0.027959
_SET1_   54455         1   16573339   16678965    325      34  460666     0.040703      0.31355    5.5511e-16     0.040703
_SET1_   11240         1   17393256   17445948    338      34  476755     -0.76437      0.61608    5.5511e-16     -0.76437
_SET1_   55160         1   17846693   18024370    883     107  465717      -1.4282      0.84026    6.6613e-16      -1.4282
_SET1_   84966         1   18434240   18704977   1501     223  467147      -1.9664      0.93474    6.6613e-16      -1.9664
_SET1_   23352         1   19401000   19536812    444      49  465863     -0.80612      0.64048    5.5511e-16     -0.80612
_SET1_   832           1   19665267   19812066    775      47  472024      0.74153      0.11564    5.5511e-16      0.74153
