# ALPHA = 0.05
# NUMBER_OF_TESTS = 29

# _SET1_  VARIABLE = T-cell-parenchymal-1 (set)
# _SET1_  NGENES = 911
# _SET1_  P-VALUE = 0.00158537
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   23261         1    6845384    7829766   4336     358  469781     0.098274      0.26817    5.2736e-16     0.098274
_SET1_   5293          1    9711789    9789172    335      67  460695      0.80004      0.10982    5.5511e-16      0.80004
_SET1_   3155          1   24128367   24165110     96      26  468414      0.70797      0.12741    5.5511e-16      0.70797
_SET1_   57185         1   24742245   24799473    307      43  467441      0.11334      0.28306    5.2736e-16      0.11334
_SET1_   10250         1   24969594   24999772     66      33  469892     -0.57169      0.58855    5.5511e-16     -0.57169
_SET1_   864           1   25226002   25291648    258      70  469794       1.3174     0.037257    4.4409e-16       1.3174
_SET1_   2035          1   29213603   29446558    800      67  461740       1.0374     0.071921    4.4409e-16       1.0374
_SET1_   3932          1   32716840   32751766    101      50  466458      -1.8976      0.94023    4.4409e-16      -1.8976
_SET1_   64744         1   40839378   40888998    173      48  472830      -1.6863      0.89478    4.4409e-16      -1.6863
_SET1_   55182         1   44870837   45117396   1031     132  467875       1.6734     0.015766    4.4409e-16       1.6734
_SET1_   84871         1   48998527   50489626   4462     138  458219      0.26589      0.22423    5.5511e-16      0.26589
_SET1_   114883        1   52082546   52254891    499      68  459943     -0.47011      0.55006    5.5511e-16     -0.47011
_SET1_   26027         1   55007930   55100417    554      65  469665       1.2646     0.044647    4.4409e-16       1.2646
_SET1_   374977        1   55107427   55175939    376      78  472386      0.42137      0.18428    5.5511e-16      0.42137
_SET1_   1600          1   57460453   58716211   5805     340  467497      0.23754      0.22632    5.2736e-16      0.23754
_SET1_   85440         1   62920397   63154039    655      46  463161       1.8718     0.010581    4.4409e-16       1.8718
_SET1_   57685         1   64936476   65158741    773     140  469202      0.30157       0.2397    5.5511e-16      0.30157
_SET1_   9829          1   65720133   65881552    630      61  466789      0.86997     0.087333    5.5511e-16      0.86997
_SET1_   5142          1   66258193   66840262   2322     165  467219     -0.59797      0.54056    5.5511e-16     -0.59797
_SET1_   57708         1   67390578   67454302    206      35  471614       1.5752     0.023359    4.4409e-16       1.5752
_SET1_   79971         1   68564142   68698284    717     110  474021     -0.59477      0.54449    5.5511e-16     -0.59477
_SET1_   8880          1   78409740   78444839    112      33  452263       0.1485      0.30404    5.2736e-16       0.1485
_SET1_   79739         1   84335057   84464850    454      36  464859     -0.43641      0.50331    5.5511e-16     -0.43641
_SET1_   23576         1   85784168   86044046   1178     111  469038     0.071223      0.28932    5.2736e-16     0.071223
