# ALPHA = 0.05
# NUMBER_OF_TESTS = 45

# _SET1_  VARIABLE = Microglia-activated (set)
# _SET1_  NGENES = 978
# _SET1_  P-VALUE = 0.000996323
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   6497          1    2125134    2251652    592     106  464827      -1.8112       0.9023    2.2204e-16      -1.8112
_SET1_   23261         1    6810384    7839766   4535     347  469990      0.11659      0.25924    1.9429e-16      0.11659
_SET1_   6518          1    9087005    9166763    414      55  471932       1.6815     0.015801    2.2204e-16       1.6815
_SET1_   5293          1    9676789    9799172    556      86  461632       1.4485     0.027153    2.2204e-16       1.4485
_SET1_   23095         1   10235606   10451664    906      39  473632      0.28016      0.24746    1.6653e-16      0.28016
_SET1_   7133          1   12192044   12279279    383      67  470965    -0.062064      0.34267    1.8735e-16    -0.062064
_SET1_   9249          1   12617939   12712820    532      93  469229     0.026825      0.29954    1.8735e-16     0.026825
_SET1_   23254         1   14184646   15454544   6947     501  468615       1.4227     0.021563    2.2204e-16       1.4227
_SET1_   55092         1   15444028   15556974    795      59  473443     -0.97034        0.688    2.2204e-16     -0.97034
_SET1_   55920         1   17723251   17801250    394      51  463683      -1.0532      0.71423    2.2204e-16      -1.0532
_SET1_   84966         1   18399240   18714977   1717     250  467668       -1.977      0.93461    2.2204e-16       -1.977
_SET1_   832           1   19655267   19847066    991      76  470928       0.7104      0.11252    2.2204e-16       0.7104
_SET1_   440574        1   19888471   19966315    368      35  470132       1.7482     0.017059    2.2204e-16       1.7482
_SET1_   712           1   22928118   22976175    251      49  463295      -1.0669      0.71913    2.2204e-16      -1.0669
_SET1_   714           1   22934969   22984603    247      47  464206      -1.0958       0.7274    2.2204e-16      -1.0958
_SET1_   713           1   22944682   22998130    232      44  468518     -0.81678      0.63491    2.2204e-16     -0.81678
_SET1_   6195          1   26821249   26911520    323      52  464996       0.8383     0.095705    2.2204e-16       0.8383
_SET1_   10163         1   27720734   27851678    406      58  464277      0.87854        0.102    2.2204e-16      0.87854
_SET1_   9473          1   28164055   28223196    224      60  460426       1.5547      0.02086    2.2204e-16       1.5547
_SET1_   5724          1   28463677   28555447    292      69  462230      0.65733       0.1262    2.2204e-16      0.65733
_SET1_   2035          1   29178603   29456558   1021      72  462846       1.0434     0.065712    2.2204e-16       1.0434
_SET1_   7805          1   31195315   31265683    355      77  464829       2.1864    0.0033547             0       2.1864
_SET1_   1912          1   33779224   33876194    360      44  466556      -0.1525      0.37768    1.9429e-16      -0.1525
_SET1_   114784        1   33969609   34666443   3190     321  467303     0.058655      0.28268    1.8735e-16     0.058655
_SET1_   1441          1   36921644   36983915    266      56  472708      0.94759     0.086199    2.2204e-16      0.94759
_SET1_   10487         1   40470912   40548321    378      27  465309        1.426     0.037726    2.2204e-16        1.426
_SET1_   64744         1   40804378   40898998    349      73  471965      -1.2646       0.7855    2.2204e-16      -1.2646
_SET1_   59269         1   41962036   42536596   2359     131  468659      0.88871     0.078898    2.2204e-16      0.88871
_SET1_   114625        1   43247776   43320660    250      63  467920      0.53631      0.15587    2.2204e-16      0.53631
_SET1_   55182         1   44835837   45127396   1202     176  468476       1.5996     0.018042    2.2204e-16       1.5996
_SET1_   10327         1   45981455   46045723    287      36  467627      -1.5874      0.87411    2.2204e-16      -1.5874
_SET1_   8569          1   47013079   47104966    382      66  461955      0.11929      0.27034    1.9429e-16      0.11929
_SET1_   6886          1   47671962   47732938    254      44  468254      0.20481      0.25284    1.9429e-16      0.20481
_SET1_   9829          1   65685133   65891552    814      68  467080       1.1426     0.049346    2.2204e-16       1.1426
_SET1_   5142          1   66223193   66850262   2519     185  467523     -0.53174      0.50617    2.2204e-16     -0.53174
_SET1_   84251         1   66964066   67220768   1256      55  468663       0.3662      0.19665    1.6653e-16       0.3662
_SET1_   57554         1   69998230   70599171   2483     161  466822       1.2857     0.035166    2.2204e-16       1.2857
_SET1_   257194        1   71858625   72783533   3148     180  464360      0.14846      0.25107    1.9429e-16      0.14846
_SET1_   256435        1   76505389   77110311   2792     261  464911      -1.7047      0.88946    2.2204e-16      -1.7047
_SET1_   26289         1   77712662   78035654   1410     117  473372     -0.85079      0.63858    2.2204e-16     -0.85079
