# ALPHA = 0.05
# NUMBER_OF_TESTS = 7

# _SET1_  VARIABLE = T-cell (set)
# _SET1_  NGENES = 1926
# _SET1_  P-VALUE = 0.00714146
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   81669         1    1321091    1334718     49      24  453192     -0.19741       0.4395    9.7145e-16     -0.19741
_SET1_   728642        1    1633822    1655999     80      11  459324      0.68618      0.16724     9.992e-16      0.68618
_SET1_   6497          1    2160134    2241652    408     105  462692      -1.9773      0.93164    8.8818e-16      -1.9773
_SET1_   8514          1    6052358    6161253    541      89  465632      0.30443      0.22385     9.992e-16      0.30443
_SET1_   23261         1    6845384    7829766   4336     358  469781     0.093823      0.26817    9.8532e-16     0.093823
_SET1_   8863          1    7844413    7905241    294      37  472715      0.52624      0.17031     9.992e-16      0.52624
_SET1_   5293          1    9711789    9789172    335      67  460695      0.80611      0.10982     9.992e-16      0.80611
_SET1_   23095         1   10270606   10441664    689      35  473689      0.20972      0.26977    9.7145e-16      0.20972
_SET1_   5195          1   10535003   10690815    582      67  470111     -0.63608      0.56705     9.992e-16     -0.63608
_SET1_   7133          1   12227044   12269279    186      40  470837      0.46992       0.1881     9.992e-16      0.46992
_SET1_   7799          1   14026714   14151574    551      55  467644     -0.34522      0.47962     9.992e-16     -0.34522
_SET1_   149563        1   16330731   16333184     21       9  472024       1.0125     0.095877    8.8818e-16       1.0125
_SET1_   54455         1   16573339   16678965    325      34  460666     0.050819      0.31355    9.8532e-16     0.050819
_SET1_   832           1   19665267   19812066    775      47  472024      0.75085      0.11564     9.992e-16      0.75085
_SET1_   8672          1   21132785   21503381   1132      55  469621       3.4013    5.933e-05    8.8818e-16       3.4013
_SET1_   1889          1   21543740   21672034    601      86  464758     -0.17206      0.39088    9.7145e-16     -0.17206
_SET1_   249           1   21835475   21904905    403      51  474751     -0.46627      0.50606     9.992e-16     -0.46627
_SET1_   84196         1   22004791   22109688    447      61  471939     -0.00291      0.33578    9.8185e-16     -0.00291
_SET1_   7798          1   23410516   23504301    261      43  469949      -1.4743      0.85261    8.8818e-16      -1.4743
_SET1_   10236         1   23635953   23671143    107      32  456833     -0.56437      0.58532     9.992e-16     -0.56437
_SET1_   3399          1   23884421   23886285     14       8  474789       1.7329     0.018631    8.8818e-16       1.7329
_SET1_   25932         1   25071760   25170815    224      69  456523      0.35442       0.2138     9.992e-16      0.35442
_SET1_   864           1   25226002   25291648    258      70  469794       1.3225     0.037257    8.8818e-16       1.3225
_SET1_   8289          1   27022522   27108601    206      39  458694      0.70697      0.14181     9.992e-16      0.70697
_SET1_   23673         1   28099694   28150963    159      30  454096      0.14922      0.36301    9.7145e-16      0.14922
_SET1_   51441         1   29063133   29096287     99      29  471475     0.076309        0.308    9.8532e-16     0.076309
_SET1_   2035          1   29213603   29446558    800      67  461740       1.0449     0.071921    8.8818e-16       1.0449
_SET1_   6429          1   29474250   29508637    119      43  461547      0.19748      0.27105    9.7145e-16      0.19748
_SET1_   9698          1   31404353   31538838    477      57  467327     -0.17469      0.39631    9.7145e-16     -0.17469
_SET1_   8073          1   32372022   32403988    117      24  457183     -0.29176      0.50302     9.992e-16     -0.29176
_SET1_   3932          1   32716840   32751766    101      50  466458      -1.8907      0.94023    8.8818e-16      -1.8907
_SET1_   3065          1   32757708   32799227    105      28  455635      -1.6488      0.92625    8.8818e-16      -1.6488
_SET1_   339487        1   33086421   33116565    143      25  467776      0.76952      0.14911     9.992e-16      0.76952
_SET1_   64766         1   33282368   33324480    129      42  472383     -0.83637      0.66968     9.992e-16     -0.83637
_SET1_   1912          1   33789224   33841194    215      45  464617     -0.35704      0.45768     9.992e-16     -0.35704
_SET1_   9202          1   35734444   35887545    451      58  462038      0.36775      0.25935     9.992e-16      0.36775
_SET1_   3633          1   38326369   38412729    298      46  467961      0.65111      0.13624     9.992e-16      0.65111
