# ALPHA = 0.05
# NUMBER_OF_TESTS = 43

# _SET1_  VARIABLE = T-Pericyte (set)
# _SET1_  NGENES = 1522
# _SET1_  P-VALUE = 0.000721072
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   57801         1     934342     936608     17       7  460925       1.6654     0.022661    6.6613e-16       1.6654
_SET1_   375790        1     955503     991499    241      52  459564       3.3058   9.5414e-05    8.8818e-16       3.3058
_SET1_   23261         1    6845384    7829766   4336     358  469781     0.098274      0.26817    7.6328e-16     0.098274
_SET1_   5293          1    9711789    9789172    335      67  460695      0.80004      0.10982    7.7716e-16      0.80004
_SET1_   23095         1   10270606   10441664    689      35  473689      0.20034      0.26977    7.7716e-16      0.20034
_SET1_   23435         1   11072462   11085549     48      17  467359     -0.12325      0.42235    7.6328e-16     -0.12325
_SET1_   5351          1   11994724   12035599    196      37  468696     -0.24873      0.42927    7.7716e-16     -0.24873
_SET1_   55187         1   12290101   12572099    872      56  466170     -0.46543      0.56291    7.7716e-16     -0.46543
_SET1_   23254         1   14219646   15444544   6679     495  468521       1.3114     0.030734    6.6613e-16       1.3114
_SET1_   55092         1   15479028   15546974    442      44  477011      -2.0608      0.94367    8.8818e-16      -2.0608
_SET1_   832           1   19665267   19812066    775      47  472024      0.74153      0.11564    7.7716e-16      0.74153
_SET1_   50809         1   21069170   21113808    122      30  477287       2.8969   0.00043201    8.8818e-16       2.8969
_SET1_   1889          1   21543740   21672034    601      86  464758     -0.17713      0.39088    7.7716e-16     -0.17713
_SET1_   57185         1   24742245   24799473    307      43  467441      0.11334      0.28306    7.6328e-16      0.11334
_SET1_   6548          1   27425300   27481621    163      50  456390      -1.8274      0.91647    6.6613e-16      -1.8274
_SET1_   10163         1   27730734   27816678    256      46  464639       1.0719     0.074749    6.6613e-16       1.0719
_SET1_   9698          1   31404353   31538838    477      57  467327     -0.18205      0.39631    7.7716e-16     -0.18205
_SET1_   8073          1   32372022   32403988    117      24  457183     -0.30084      0.50302    7.7716e-16     -0.30084
_SET1_   114784        1   33979609   34631443   2968     295  466818     -0.77689      0.61309    7.7716e-16     -0.77689
_SET1_   26508         1   40089103   40105348     71      36  472469      -1.5283      0.86046    6.6613e-16      -1.5283
_SET1_   22955         1   41492871   41707815    786      53  467137      -1.2974      0.80386    6.6613e-16      -1.2974
_SET1_   55182         1   44870837   45117396   1031     132  467875       1.6734     0.015766    6.6613e-16       1.6734
_SET1_   57643         1   45482071   45672250    541      51  469539     -0.13043      0.39367    7.7716e-16     -0.13043
_SET1_   4678          1   46049660   46084578    136      22  467611      -2.0105      0.95116    8.8818e-16      -2.0105
_SET1_   8503          1   46505812   46642167    461      55  467848     -0.81311       0.6381    7.7716e-16     -0.81311
_SET1_   84871         1   48998527   50489626   4462     138  458219      0.26589      0.22423    7.7716e-16      0.26589
_SET1_   5563          1   57110990   57181008    342      34  473537      0.19074      0.25801    7.7716e-16      0.19074
_SET1_   1600          1   57460453   58716211   5805     340  467497      0.23754      0.22632    7.7716e-16      0.23754
_SET1_   114803        1   59120411   59165747    257      25  468246       1.1611     0.055343    6.6613e-16       1.1611
_SET1_   55277         1   59762625   60228402   1892     127  465769      0.50057      0.16531    7.7716e-16      0.50057
_SET1_   4774          1   61542946   61928460   1586     200  467631      0.51857      0.17443    7.7716e-16      0.51857
_SET1_   84938         1   63249777   63330941    291      31  467536     -0.21971        0.412    7.7716e-16     -0.21971
_SET1_   57685         1   64936476   65158741    773     140  469202      0.30157       0.2397    7.7716e-16      0.30157
_SET1_   3716          1   65298906   65432593    539      58  470659       1.4835     0.028002    6.6613e-16       1.4835
_SET1_   9829          1   65720133   65881552    630      61  466789      0.86997     0.087333    7.7716e-16      0.86997
_SET1_   5142          1   66258193   66840262   2322     165  467219     -0.59797      0.54056    7.7716e-16     -0.59797
_SET1_   84251         1   66999066   67210768    990      49  468664      0.34835      0.20531    7.7716e-16      0.34835
_SET1_   79971         1   68564142   68698284    717     110  474021     -0.59477      0.54449    7.7716e-16     -0.59477
_SET1_   57554         1   70033230   70589171   2299     143  466918       1.0799     0.056929    6.6613e-16       1.0799
_SET1_   257194        1   71868625   72748533   3079     188  464137      0.23316      0.23304    7.7716e-16      0.23316
_SET1_   256435        1   76540389   77100311   2552     228  464420      -1.6075       0.8733    6.6613e-16      -1.6075
_SET1_   26289         1   77747662   78025654   1260     109  474810      -1.0953      0.73229    6.6613e-16      -1.0953
_SET1_   26009         1   78028160   78149119    336      50  462707     -0.22045      0.41958    7.7716e-16     -0.22045
