# ALPHA = 0.05
# NUMBER_OF_TESTS = 11

# _SET1_  VARIABLE = Pericyte (set)
# _SET1_  NGENES = 899
# _SET1_  P-VALUE = 0.00411491
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   375790        1     920503    1001499    498      73  455328        3.062   0.00018931             0        3.062
_SET1_   57801         1     924342     971608    257      44  456042       2.0792    0.0053653             0       2.0792
_SET1_   5293          1    9676789    9799172    556      86  461632       1.4485     0.027153    2.2204e-16       1.4485
_SET1_   23095         1   10235606   10451664    906      39  473632      0.28016      0.24746    1.6653e-16      0.28016
_SET1_   5351          1   11959724   12045599    478      63  467721      -1.1661      0.75244    2.2204e-16      -1.1661
_SET1_   7133          1   12192044   12279279    383      67  470965    -0.062064      0.34267    1.6653e-16    -0.062064
_SET1_   55187         1   12255101   12582099   1093      69  467333     -0.57506       0.5929    2.2204e-16     -0.57506
_SET1_   23254         1   14184646   15454544   6947     501  468615       1.4227     0.021563    2.2204e-16       1.4227
_SET1_   55092         1   15444028   15556974    795      59  473443     -0.97034        0.688    2.2204e-16     -0.97034
_SET1_   100532736     1   19888471   19994949    505      52  471754       1.8165     0.012547    2.2204e-16       1.8165
_SET1_   1889          1   21533740   21707034    822     104  467306       0.2895      0.21513    1.6653e-16       0.2895
_SET1_   6548          1   27415300   27516621    335      57  463006      -1.1003      0.72563    2.2204e-16      -1.1003
_SET1_   10163         1   27720734   27851678    406      58  464277      0.87854        0.102    2.2204e-16      0.87854
_SET1_   114784        1   33969609   34666443   3190     321  467303     0.058655      0.28268    1.6653e-16     0.058655
_SET1_   26508         1   40079103   40140348    253      59  472415      -1.0426      0.72222    2.2204e-16      -1.0426
_SET1_   55182         1   44835837   45127396   1202     176  468476       1.5996     0.018042    2.2204e-16       1.5996
_SET1_   84871         1   48988527   50524626   4592     135  458185      0.14427      0.25007    1.6653e-16      0.14427
_SET1_   84938         1   63214777   63340941    497      43  468734     -0.41839      0.48469    1.6653e-16     -0.41839
_SET1_   57685         1   64901476   65168741    961     175  469245      0.17675      0.26806    1.6653e-16      0.17675
_SET1_   3716          1   65288906   65467593    697      73  470327       1.2525     0.044647    2.2204e-16       1.2525
_SET1_   9829          1   65685133   65891552    814      68  467080       1.1426     0.049346    2.2204e-16       1.1426
_SET1_   5142          1   66223193   66850262   2519     185  467523     -0.53174      0.50617    2.2204e-16     -0.53174
_SET1_   84251         1   66964066   67220768   1256      55  468663       0.3662      0.19665    1.6653e-16       0.3662
_SET1_   57554         1   69998230   70599171   2483     161  466822       1.2857     0.035166    2.2204e-16       1.2857
_SET1_   257194        1   71858625   72783533   3148     180  464360      0.14846      0.25107    1.6653e-16      0.14846
_SET1_   256435        1   76505389   77110311   2792     261  464911      -1.7047      0.88946    2.2204e-16      -1.7047
_SET1_   26289         1   77712662   78035654   1410     117  473372     -0.85079      0.63858    2.2204e-16     -0.85079
_SET1_   79739         1   84325057   84499850    641      50  467618     -0.69854      0.59439    2.2204e-16     -0.69854
_SET1_   5567          1   84508745   84714181    558      63  465430     -0.51928      0.51099    2.2204e-16     -0.51928
_SET1_   255631        1   86184916   86657121   2215     115  471646      -1.1111      0.71951    2.2204e-16      -1.1111
_SET1_   23507         1   89954933   90073420    443      43  470413     -0.63265      0.56768    2.2204e-16     -0.63265
_SET1_   55144         1   90251573   90411991    512     110  468794    -0.067487      0.32859    1.6653e-16    -0.067487
_SET1_   388650        1   93288286   93462079    544      51  467169       1.3689     0.033453    2.2204e-16       1.3689
_SET1_   1266          1   95352507   95427735    381      70  469833       1.1748     0.050487    2.2204e-16       1.1748
_SET1_   29957         1  108667344  108777980    425      51  463054     -0.68593      0.57586    2.2204e-16     -0.68593
_SET1_   388662        1  110658132  110754824    352      65  466734       1.0164     0.061781    2.2204e-16       1.0164
_SET1_   3752          1  112308444  112567147   1187     193  469924     -0.91492      0.66806    2.2204e-16     -0.91492
_SET1_   55356         1  116484119  116622675    493      61  468875      0.92678     0.090137    2.2204e-16      0.92678
_SET1_   6913          1  119415666  119567179    558      52  470279      -1.5161      0.85254    2.2204e-16      -1.5161
_SET1_   10628         1  145403438  145452635     98      34  394903      -1.0436      0.67727    2.2204e-16      -1.0436
_SET1_   8515          1  145489709  145553868    153      38  411800       -0.738      0.57874    2.2204e-16       -0.738
_SET1_   27246         1  145575990  145699005    225      34  371109     -0.77307      0.54201    2.2204e-16     -0.77307
_SET1_   375033        1  156828496  156896226    284      52  473231      -1.9756      0.94226    2.2204e-16      -1.9756
_SET1_   55243         1  157928063  158075846    642     132  470249      0.44536      0.17263    1.6653e-16      0.44536
_SET1_   477           1  160050520  160123381    302      47  472789     -0.55779      0.54671    2.2204e-16     -0.55779
_SET1_   9722          1  162004581  162349813   1738     123  469668      0.28628      0.21189    1.6653e-16      0.28628
_SET1_   4921          1  162567228  162766409    801      82  469334     -0.40994       0.4895    1.6653e-16     -0.40994
_SET1_   8490          1  163102089  163326581   1120      86  473967       2.1656    0.0037659             0       2.1656
_SET1_   92241         1  167564474  167687933    705     121  467171       1.7062     0.013345    2.2204e-16       1.7062
_SET1_   481           1  169040947  169111960    346      71  470657       1.0679     0.057324    2.2204e-16       1.0679
_SET1_   5396          1  170598313  170718541    477      92  460319      -2.1702      0.94986             0      -2.1702
_SET1_   26052         1  171775618  172397606   2481     148  467176      0.62679      0.12301    2.2204e-16      0.62679
_SET1_   460           1  176816441  177169024   1386     126  460218        1.055      0.05794    2.2204e-16        1.055
_SET1_   9462          1  178027864  178458649   1347      68  462940      -1.5406      0.86906    2.2204e-16      -1.5406
_SET1_   3915          1  182957572  183124727    891      32  470510      0.23638      0.24953    1.6653e-16      0.23638
_SET1_   23127         1  183888988  184041904    803      92  460431     -0.37376      0.44417    1.6653e-16     -0.37376
_SET1_   81563         1  184321150  184608155   1267      85  463769       0.5153      0.15844    2.2204e-16       0.5153
_SET1_   116496        1  184750159  184978718   1037      97  465039    -0.043527      0.32037    1.6653e-16    -0.043527
_SET1_   343450        1  196184913  196612690   1582      78  434722     -0.41463      0.46044    1.6653e-16     -0.41463
_SET1_   3075          1  196586008  196726634    636      53  463164      0.65726      0.13293    2.2204e-16      0.65726
_SET1_   23418         1  197135592  197457585   1072     118  455912      0.44865      0.16474    1.6653e-16      0.44865
_SET1_   5549          1  203409883  203470480    287      40  474311     -0.67043      0.61046    2.2204e-16     -0.67043
_SET1_   22874         1  204177979  204364057    945      88  469643      0.56339      0.14127    2.2204e-16      0.56339
_SET1_   5287          1  204381756  204498943    557      72  465384      -2.0361      0.94178             0      -2.0361
_SET1_   6900          1  204977340  205057173    411      76  467960       2.4458    0.0016396             0       2.4458
_SET1_   5129          1  205438684  205511921    434      94  470045      0.19409      0.24051    1.6653e-16      0.19409
_SET1_   255928        1  210076519  210347636    992      56  466782       2.0397    0.0061093             0       2.0397
_SET1_   3756          1  210841657  211342457   2324     159  469487     -0.26626      0.40318    1.6653e-16     -0.26626
_SET1_   55532         1  220077606  220136993    242      44  469780    -0.083201      0.34738    1.6653e-16    -0.083201
_SET1_   55740         1  225664534  225875845    747      75  468251     -0.72008      0.61029    2.2204e-16     -0.72008
_SET1_   5664          1  227022885  227093804    343      45  462814      0.68703      0.12994    2.2204e-16      0.68703
_SET1_   84033         1  228360740  228576577    930      73  464462      0.17624      0.24437    1.6653e-16      0.17624
_SET1_   79605         1  230447392  230596674    773     108  469508     -0.58762      0.53484    2.2204e-16     -0.58762
_SET1_   27185         1  231727561  232187018   2094     222  469118       2.0125    0.0063427             0       2.0125
_SET1_   57568         1  232523711  232800907   1418     159  468867    -0.089932      0.33776    1.6653e-16    -0.089932
_SET1_   80003         1  233109855  233466459   1750     166  471217      0.27391      0.22553    1.6653e-16      0.27391
_SET1_   2786          1  235700985  235849054    645      97  468685      0.12517      0.25451    1.6653e-16      0.12517
_SET1_   4811          1  236129130  236263481    640      82  469266     -0.23937      0.39368    1.6653e-16     -0.23937
