# ALPHA = 0.05
# NUMBER_OF_TESTS = 7

# _SET1_  VARIABLE = T-cell (set)
# _SET1_  NGENES = 1333
# _SET1_  P-VALUE = 0.00256536
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   8514          1    6002358    6211253    643      64  36989      -1.3869      0.64556    1.1102e-15      -1.3869
_SET1_   5293          1    9661789    9839172    289      36  36989     -0.47745      0.35258    1.2212e-15     -0.47745
_SET1_   23095         1   10220606   10491664    861      25  36989      0.14043       0.1304    1.1935e-15      0.14043
_SET1_   5195          1   10485003   10740815    657      46  36989      -1.7418      0.77368    1.1102e-15      -1.7418
_SET1_   7133          1   12177044   12319279    411      55  36989      -1.1426      0.59793    1.1102e-15      -1.1426
_SET1_   149563        1   16280731   16383184    526      28  36989      -0.6794      0.41493    1.2212e-15      -0.6794
_SET1_   54455         1   16523339   16728965    455      18  36989       1.5413    0.0089116    1.1102e-15       1.5413
_SET1_   8672          1   21082785   21553381    916      23  36989        1.718    0.0030843    1.1102e-15        1.718
_SET1_   1889          1   21493740   21722034    673      52  36989    -0.079131      0.17937    1.1935e-15    -0.079131
_SET1_   249           1   21785475   21954905    681      65  36989      -1.0772      0.52296    1.1102e-15      -1.0772
_SET1_   84196         1   21954791   22159688    719      60  36989        1.136     0.016923    1.1102e-15        1.136
_SET1_   3399          1   23834421   23936285    177      30  36989      -0.4949      0.34479    1.2212e-15      -0.4949
_SET1_   25932         1   25021760   25220815    386      26  36989      -1.2737      0.65766    1.1102e-15      -1.2737
_SET1_   864           1   25176002   25341648    525      53  36989    -0.094385      0.18704    1.1935e-15    -0.094385
_SET1_   23673         1   28049694   28200963    209      12  36989     -0.17311      0.43381    1.1935e-15     -0.17311
_SET1_   2035          1   29163603   29496558    724      39  36989       2.9999   3.5317e-05    1.3323e-15       2.9999
_SET1_   8073          1   32322022   32453988    227      32  36989     -0.65654      0.45871    1.2212e-15     -0.65654
_SET1_   3932          1   32666840   32801766    152      23  36989       0.6451      0.11122    1.2212e-15       0.6451
_SET1_   3065          1   32707708   32849227    113      35  36989      0.41661      0.14984    1.2212e-15      0.41661
_SET1_   339487        1   33036421   33166565    280      13  36989    -0.074724      0.34337    1.1935e-15    -0.074724
_SET1_   64766         1   33232368   33374480    209      21  36989       1.1528      0.02577    1.1102e-15       1.1528
_SET1_   9202          1   35684444   35937545    284      13  36989       1.9925    0.0096973    1.1102e-15       1.9925
_SET1_   84879         1   40370784   40485630    285      36  36989     -0.47223      0.36058    1.2212e-15     -0.47223
_SET1_   64744         1   40789378   40938998    452      52  36989     -0.29009      0.26904    1.2212e-15     -0.29009
_SET1_   59269         1   41922036   42551596   1649      82  36989     -0.55999      0.17406    1.2212e-15     -0.55999
_SET1_   6513          1   43341046   43474847    418      40  36989     -0.23602      0.24776    1.1935e-15     -0.23602
_SET1_   7075          1   43716566   43838781    202      31  36989        2.809   0.00011078    1.3323e-15        2.809
_SET1_   55182         1   44820837   45167396    924      98  36989       -0.338      0.21174    1.2212e-15       -0.338
_SET1_   57643         1   45432071   45722250    592      25  36989     -0.92558      0.52849    1.2212e-15     -0.92558
_SET1_   8503          1   46455812   46692167    405      29  36989      -1.1816      0.61514    1.1102e-15      -1.1816
_SET1_   54558         1   48711044   48987876    643      38  36989      -1.7315      0.78802    1.1102e-15      -1.7315
_SET1_   2060          1   51769935   52035026    763      27  36989     0.027836      0.21765     1.197e-15     0.027836
