# ALPHA = 0.05
# NUMBER_OF_TESTS = 44

# _SET1_  VARIABLE = Pericyte-2 (set)
# _SET1_  NGENES = 1363
# _SET1_  P-VALUE = 0.000135692
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   375790        1     920503    1001499    498      73  455328        3.062   0.00018931             0        3.062
_SET1_   57801         1     924342     971608    257      44  456042       2.0792    0.0053653             0       2.0792
_SET1_   23261         1    6810384    7839766   4535     347  469990      0.11659      0.25924   -6.9389e-17      0.11659
_SET1_   473           1    8402464    8912699   1433      72  464886        2.122    0.0044384             0        2.122
_SET1_   5293          1    9676789    9799172    556      86  461632       1.4485     0.027153             0       1.4485
_SET1_   23095         1   10235606   10451664    906      39  473632      0.28016      0.24746   -5.5511e-17      0.28016
_SET1_   5351          1   11959724   12045599    478      63  467721      -1.1661      0.75244             0      -1.1661
_SET1_   7133          1   12192044   12279279    383      67  470965    -0.062064      0.34267   -6.9389e-17    -0.062064
_SET1_   55187         1   12255101   12582099   1093      69  467333     -0.57506       0.5929   -1.1102e-16     -0.57506
_SET1_   23254         1   14184646   15454544   6947     501  468615       1.4227     0.021563             0       1.4227
_SET1_   55092         1   15444028   15556974    795      59  473443     -0.97034        0.688   -1.1102e-16     -0.97034
_SET1_   832           1   19655267   19847066    991      76  470928       0.7104      0.11252   -1.1102e-16       0.7104
_SET1_   50809         1   21059170   21148808    237      45  471148       2.9785   0.00030131             0       2.9785
_SET1_   1889          1   21533740   21707034    822     104  467306       0.2895      0.21513   -5.5511e-17       0.2895
_SET1_   57035         1   25558740   25609010    127      33  448900     -0.40828      0.54761   -5.5511e-17     -0.40828
_SET1_   57134         1   25908959   26121258    853      87  460531     -0.27652      0.43619   -5.5511e-17     -0.27652
_SET1_   6548          1   27415300   27516621    335      57  463006      -1.1003      0.72563             0      -1.1003
_SET1_   9698          1   31394353   31573838    706      59  466407      -0.3181      0.44012   -5.5511e-17      -0.3181
_SET1_   64129         1   32007086   32063290    232      56  472662      0.36952      0.20189   -5.5511e-17      0.36952
_SET1_   114784        1   33969609   34666443   3190     321  467303     0.058655      0.28268   -6.9389e-17     0.058655
_SET1_   9202          1   35699444   35897545    616      58  461833      0.55778      0.21589   -1.1102e-16      0.55778
_SET1_   23499         1   39514839   39962810   1542      84  469792     -0.88303      0.66748   -1.1102e-16     -0.88303
_SET1_   26508         1   40079103   40140348    253      59  472415      -1.0426      0.72222             0      -1.0426
_SET1_   22955         1   41482871   41742815    970      56  467663      -1.2565        0.788             0      -1.2565
_SET1_   55182         1   44835837   45127396   1202     176  468476       1.5996     0.018042             0       1.5996
_SET1_   57643         1   45472071   45707250    703      73  469151     -0.31376      0.45112   -5.5511e-17     -0.31376
_SET1_   8503          1   46495812   46677167    588      58  469087     -0.93214      0.67833   -1.1102e-16     -0.93214
_SET1_   260293        1   47392036   47526423    610      50  464442      -1.6557      0.88999             0      -1.6557
_SET1_   84871         1   48988527   50524626   4592     135  458185      0.14427      0.25007   -8.3267e-17      0.14427
_SET1_   5563          1   57075990   57191008    552      49  474300      0.16241      0.26417   -8.3267e-17      0.16241
_SET1_   1600          1   57450453   58751211   5999     330  467630      0.25431      0.21744   -5.5511e-17      0.25431
_SET1_   4774          1   61507946   61938460   1739     217  468051      0.40426      0.19949   -5.5511e-17      0.40426
_SET1_   84938         1   63214777   63340941    497      43  468734     -0.41839      0.48469   -5.5511e-17     -0.41839
_SET1_   57685         1   64901476   65168741    961     175  469245      0.17675      0.26806   -8.3267e-17      0.17675
_SET1_   55225         1   65175778   65308915    439      64  470223      0.52862      0.16941   -1.1102e-16      0.52862
_SET1_   3716          1   65288906   65467593    697      73  470327       1.2525     0.044647             0       1.2525
_SET1_   9829          1   65685133   65891552    814      68  467080       1.1426     0.049346             0       1.1426
_SET1_   5142          1   66223193   66850262   2519     185  467523     -0.53174      0.50617   -1.1102e-16     -0.53174
_SET1_   84251         1   66964066   67220768   1256      55  468663       0.3662      0.19665   -5.5511e-17       0.3662
_SET1_   57708         1   67355578   67464302    376      41  464065       1.5763      0.02247             0       1.5763
_SET1_   55970         1   68157149   68334436    716      75  471389      0.68118      0.12149   -1.1102e-16      0.68118
_SET1_   79971         1   68554142   68733284    973     133  472883     -0.91825       0.6643   -1.1102e-16     -0.91825
_SET1_   57554         1   69998230   70599171   2483     161  466822       1.2857     0.035166             0       1.2857
_SET1_   9406          1   71518974   71581972    218      56  455065      0.31152      0.21146   -5.5511e-17      0.31152
_SET1_   257194        1   71858625   72783533   3148     180  464360      0.14846      0.25107   -8.3267e-17      0.14846
_SET1_   256435        1   76505389   77110311   2792     261  464911      -1.7047      0.88946             0      -1.7047
_SET1_   26289         1   77712662   78035654   1410     117  473372     -0.85079      0.63858   -1.1102e-16     -0.85079
_SET1_   23266         1   82231082   82468107   1015      92  470669        0.886     0.083806   -1.1102e-16        0.886
_SET1_   5567          1   84508745   84714181    558      63  465430     -0.51928      0.51099   -1.1102e-16     -0.51928
_SET1_   255631        1   86184916   86657121   2215     115  471646      -1.1111      0.71951             0      -1.1111
_SET1_   23507         1   89954933   90073420    443      43  470413     -0.63265      0.56768   -1.1102e-16     -0.63265
_SET1_   84230         1   90063644   90195094    427      50  469376      -1.8765      0.91821             0      -1.8765
_SET1_   55144         1   90251573   90411991    512     110  468794    -0.067487      0.32859   -6.9389e-17    -0.067487
_SET1_   284697        1   92510862   92623397    353      52  469609     -0.71146      0.61105   -1.1102e-16     -0.71146
_SET1_   1266          1   95352507   95427735    381      70  469833       1.1748     0.050487             0       1.1748
_SET1_   29957         1  108667344  108777980    425      51  463054     -0.68593      0.57586   -1.1102e-16     -0.68593
_SET1_   29899         1  109382972  109483044    475      48  468657       1.6398     0.019474             0       1.6398
_SET1_   6272          1  109842187  109975563    377      43  458670      -1.0316      0.72045             0      -1.0316
_SET1_   388662        1  110658132  110754824    352      65  466734       1.0164     0.061781             0       1.0164
_SET1_   55924         1  112254686  112333419    342      55  471410      -1.0191      0.71658             0      -1.0191
_SET1_   55356         1  116484119  116622675    493      61  468875      0.92678     0.090137   -1.1102e-16      0.92678
_SET1_   476           1  116879802  116958069    256      35  467910       1.9115     0.015817             0       1.9115
_SET1_   6913          1  119415666  119567179    558      52  470279      -1.5161      0.85254             0      -1.5161
_SET1_   4853          1  120444176  120674880    329      55  449934      0.19591      0.26855   -8.3267e-17      0.19591
_SET1_   10628         1  145403438  145452635     98      34  394903      -1.0436      0.67727             0      -1.0436
_SET1_   8515          1  145489709  145553868    153      38  411800       -0.738      0.57874   -1.1102e-16       -0.738
_SET1_   126626        1  151007784  151101007    338      59  464700       0.9386     0.087755   -1.1102e-16       0.9386
_SET1_   23208         1  155794260  155864990    188      49  464793       1.3449     0.039733             0       1.3449
_SET1_   9181          1  155906431  155988396    225      60  458286     -0.90229      0.66671   -1.1102e-16     -0.90229
_SET1_   4209          1  156423513  156505634    288      52  470579       1.0567     0.067188             0       1.0567
_SET1_   375033        1  156828496  156896226    284      52  473231      -1.9756      0.94226             0      -1.9756
_SET1_   55243         1  157928063  158075846    642     132  470249      0.44536      0.17263   -5.5511e-17      0.44536
_SET1_   477           1  160050520  160123381    302      47  472789     -0.55779      0.54671   -1.1102e-16     -0.55779
_SET1_   9722          1  162004581  162349813   1738     123  469668      0.28628      0.21189   -5.5511e-17      0.28628
_SET1_   4921          1  162567228  162766409    801      82  469334     -0.40994       0.4895   -5.5511e-17     -0.40994
_SET1_   8490          1  163102089  163326581   1120      86  473967       2.1656    0.0037659             0       2.1656
_SET1_   92241         1  167564474  167687933    705     121  467171       1.7062     0.013345             0       1.7062
_SET1_   481           1  169040947  169111960    346      71  470657       1.0679     0.057324             0       1.0679
_SET1_   5396          1  170598313  170718541    477      92  460319      -2.1702      0.94986             0      -2.1702
_SET1_   26052         1  171775618  172397606   2481     148  467176      0.62679      0.12301   -1.1102e-16      0.62679
_SET1_   460           1  176816441  177169024   1386     126  460218        1.055      0.05794             0        1.055
