# ALPHA = 0.05
# NUMBER_OF_TESTS = 12

# _SET1_  VARIABLE = Pericyte (set)
# _SET1_  NGENES = 904
# _SET1_  P-VALUE = 0.00205075
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   57801         1     924342     971608    257      44  456042       2.0792    0.0053653             0       2.0792
_SET1_   23261         1    6810384    7839766   4535     347  469990      0.11659      0.25924    1.1102e-16      0.11659
_SET1_   5293          1    9676789    9799172    556      86  461632       1.4485     0.027153    2.2204e-16       1.4485
_SET1_   23095         1   10235606   10451664    906      39  473632      0.28016      0.24746    1.1102e-16      0.28016
_SET1_   5351          1   11959724   12045599    478      63  467721      -1.1661      0.75244    2.2204e-16      -1.1661
_SET1_   1889          1   21533740   21707034    822     104  467306       0.2895      0.21513    1.1102e-16       0.2895
_SET1_   114784        1   33969609   34666443   3190     321  467303     0.058655      0.28268    1.1796e-16     0.058655
_SET1_   26508         1   40079103   40140348    253      59  472415      -1.0426      0.72222    2.2204e-16      -1.0426
_SET1_   55182         1   44835837   45127396   1202     176  468476       1.5996     0.018042    2.2204e-16       1.5996
_SET1_   4678          1   46014660   46094578    322      32  466019      -2.2535      0.96767             0      -2.2535
_SET1_   84871         1   48988527   50524626   4592     135  458185      0.14427      0.25007    1.1102e-16      0.14427
_SET1_   84938         1   63214777   63340941    497      43  468734     -0.41839      0.48469    1.1102e-16     -0.41839
_SET1_   57685         1   64901476   65168741    961     175  469245      0.17675      0.26806    1.1102e-16      0.17675
_SET1_   9829          1   65685133   65891552    814      68  467080       1.1426     0.049346    2.2204e-16       1.1426
_SET1_   5142          1   66223193   66850262   2519     185  467523     -0.53174      0.50617    1.1102e-16     -0.53174
_SET1_   84251         1   66964066   67220768   1256      55  468663       0.3662      0.19665    1.1102e-16       0.3662
_SET1_   57554         1   69998230   70599171   2483     161  466822       1.2857     0.035166    2.2204e-16       1.2857
_SET1_   257194        1   71858625   72783533   3148     180  464360      0.14846      0.25107    1.1102e-16      0.14846
_SET1_   256435        1   76505389   77110311   2792     261  464911      -1.7047      0.88946    2.2204e-16      -1.7047
_SET1_   26289         1   77712662   78035654   1410     117  473372     -0.85079      0.63858    1.1102e-16     -0.85079
_SET1_   26009         1   78018160   78184119    473      59  465613     -0.49297      0.51752    1.1102e-16     -0.49297
_SET1_   5567          1   84508745   84714181    558      63  465430     -0.51928      0.51099    1.1102e-16     -0.51928
_SET1_   23507         1   89954933   90073420    443      43  470413     -0.63265      0.56768    1.1102e-16     -0.63265
_SET1_   55144         1   90251573   90411991    512     110  468794    -0.067487      0.32859    1.1102e-16    -0.067487
_SET1_   284697        1   92510862   92623397    353      52  469609     -0.71146      0.61105    1.1102e-16     -0.71146
_SET1_   388650        1   93288286   93462079    544      51  467169       1.3689     0.033453    2.2204e-16       1.3689
_SET1_   58155         1   97152161   97290605    552      48  465124     -0.10263      0.35954    1.1102e-16     -0.10263
_SET1_   29899         1  109382972  109483044    475      48  468657       1.6398     0.019474    2.2204e-16       1.6398
_SET1_   6272          1  109842187  109975563    377      43  458670      -1.0316      0.72045    2.2204e-16      -1.0316
_SET1_   3752          1  112308444  112567147   1187     193  469924     -0.91492      0.66806    1.1102e-16     -0.91492
_SET1_   55356         1  116484119  116622675    493      61  468875      0.92678     0.090137    1.1102e-16      0.92678
_SET1_   476           1  116879802  116958069    256      35  467910       1.9115     0.015817    2.2204e-16       1.9115
_SET1_   10905         1  117875085  118078320    772      47  467874     -0.57824      0.55388    1.1102e-16     -0.57824
_SET1_   6913          1  119415666  119567179    558      52  470279      -1.5161      0.85254    2.2204e-16      -1.5161
_SET1_   8515          1  145489709  145553868    153      38  411800       -0.738      0.57874    1.1102e-16       -0.738
_SET1_   56957         1  149902229  150017686    386      46  462115     -0.53176      0.55191    1.1102e-16     -0.53176
_SET1_   23208         1  155794260  155864990    188      49  464793       1.3449     0.039733    2.2204e-16       1.3449
_SET1_   9181          1  155906431  155988396    225      60  458286     -0.90229      0.66671    1.1102e-16     -0.90229
_SET1_   10485         1  156364048  156461441    306      82  461738      0.61145      0.13757    1.1102e-16      0.61145
_SET1_   55243         1  157928063  158075846    642     132  470249      0.44536      0.17263    1.1102e-16      0.44536
_SET1_   477           1  160050520  160123381    302      47  472789     -0.55779      0.54671    1.1102e-16     -0.55779
_SET1_   9722          1  162004581  162349813   1738     123  469668      0.28628      0.21189    1.1102e-16      0.28628
_SET1_   8490          1  163102089  163326581   1120      86  473967       2.1656    0.0037659             0       2.1656
_SET1_   92241         1  167564474  167687933    705     121  467171       1.7062     0.013345    2.2204e-16       1.7062
_SET1_   481           1  169040947  169111960    346      71  470657       1.0679     0.057324    2.2204e-16       1.0679
