# ALPHA = 0.05
# NUMBER_OF_TESTS = 6

# _SET1_  VARIABLE = Microglia (set)
# _SET1_  NGENES = 888
# _SET1_  P-VALUE = 0.000198976
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   6497          1    2125134    2251652    592     106  464827      -1.8219       0.9023             0      -1.8219
_SET1_   23261         1    6810384    7839766   4535     347  469990      0.10935      0.25924    2.7756e-17      0.10935
_SET1_   6518          1    9087005    9166763    414      55  471932       1.6716     0.015801             0       1.6716
_SET1_   5293          1    9676789    9799172    556      86  461632       1.4409     0.027153             0       1.4409
_SET1_   23095         1   10235606   10451664    906      39  473632      0.27733      0.24746    5.5511e-17      0.27733
_SET1_   7133          1   12192044   12279279    383      67  470965    -0.072167      0.34267    2.7756e-17    -0.072167
_SET1_   23254         1   14184646   15454544   6947     501  468615       1.4119     0.021563             0       1.4119
_SET1_   84966         1   18399240   18714977   1717     250  467668      -1.9808      0.93461             0      -1.9808
_SET1_   55450         1   20798884   20847728    186      50  467091      0.26344      0.24275    5.5511e-17      0.26344
_SET1_   713           1   22944682   22998130    232      44  468518     -0.82815      0.63491             0     -0.82815
_SET1_   6195          1   26821249   26911520    323      52  464996      0.82917     0.095705             0      0.82917
_SET1_   2035          1   29178603   29456558   1021      72  462846       1.0384     0.065712             0       1.0384
_SET1_   7805          1   31195315   31265683    355      77  464829       2.1734    0.0033547             0       2.1734
_SET1_   114784        1   33969609   34666443   3190     321  467303     0.051904      0.28268    3.4694e-17     0.051904
_SET1_   1441          1   36921644   36983915    266      56  472708      0.93912     0.086199             0      0.93912
_SET1_   64744         1   40804378   40898998    349      73  471965      -1.2758       0.7855             0      -1.2758
_SET1_   5792          1   43956708   44099343    653      54  459610       2.4664    0.0014991             0       2.4664
_SET1_   55182         1   44835837   45127396   1202     176  468476        1.592     0.018042             0        1.592
_SET1_   57643         1   45472071   45707250    703      73  469151     -0.31961      0.45112    5.5511e-17     -0.31961
_SET1_   8569          1   47013079   47104966    382      66  461955      0.10958      0.27034    2.7756e-17      0.10958
_SET1_   84871         1   48988527   50524626   4592     135  458185       0.1399      0.25007    2.7756e-17       0.1399
_SET1_   8613          1   56950419   57080257    621      78  469566    -0.045797      0.32088    3.4694e-17    -0.045797
_SET1_   9829          1   65685133   65891552    814      68  467080        1.133     0.049346             0        1.133
_SET1_   84251         1   66964066   67220768   1256      55  468663      0.35922      0.19665    5.5511e-17      0.35922
_SET1_   57554         1   69998230   70599171   2483     161  466822       1.2783     0.035166             0       1.2783
_SET1_   257194        1   71858625   72783533   3148     180  464360      0.14228      0.25107    2.7756e-17      0.14228
_SET1_   26289         1   77712662   78035654   1410     117  473372     -0.85936      0.63858             0     -0.85936
_SET1_   79739         1   84325057   84499850    641      50  467618     -0.70528      0.59439             0     -0.70528
_SET1_   5567          1   84508745   84714181    558      63  465430     -0.52839      0.51099             0     -0.52839
_SET1_   84230         1   90063644   90195094    427      50  469376      -1.8868      0.91821             0      -1.8868
_SET1_   284697        1   92510862   92623397    353      52  469609     -0.71881      0.61105             0     -0.71881
_SET1_   388650        1   93288286   93462079    544      51  467169       1.3614     0.033453             0       1.3614
_SET1_   29899         1  109382972  109483044    475      48  468657       1.6342     0.019474             0       1.6342
_SET1_   963           1  111378821  111452558    336      37  475742      0.57517      0.15396             0      0.57517
_SET1_   3752          1  112308444  112567147   1187     193  469924     -0.92173      0.66806             0     -0.92173
_SET1_   55917         1  112903800  113013786    362      45  469241      0.27257      0.22803    5.5511e-17      0.27257
_SET1_   55356         1  116484119  116622675    493      61  468875      0.92135     0.090137             0      0.92135
_SET1_   965           1  117047156  117148715    295      84  462497       1.6766     0.015867             0       1.6766
_SET1_   647135        1  143880897  144104426     34      23  330494     -0.72951      0.64246             0     -0.72951
_SET1_   56957         1  149902229  150017686    386      46  462115     -0.53546      0.55191             0     -0.53546
_SET1_   1520          1  150692672  150773433    211      36  468102      0.22777      0.25026    2.7756e-17      0.22777
_SET1_   3570          1  154342669  154451926    461      71  473686      0.19527      0.24282    2.7756e-17      0.19527
_SET1_   23208         1  155794260  155864990    188      49  464793       1.3374     0.039733             0       1.3374
_SET1_   3428          1  158944682  159034945    466      44  470272       1.1638     0.059302             0       1.1638
_SET1_   8832          1  160500884  160584306    456      43  469645        1.028     0.076145             0        1.028
_SET1_   2212          1  161440205  161499360    236      66  462136       1.6584     0.015013             0       1.6584
_SET1_   2214          1  161501549  161555413     99      37  458099     0.058437        0.299    3.4694e-17     0.058437
_SET1_   5087          1  164493597  164831067   1388     215  468364      0.17322      0.25324    2.7756e-17      0.17322
_SET1_   92241         1  167564474  167687933    705     121  467171        1.696     0.013345             0        1.696
_SET1_   9019          1  167656187  167771156    538      62  462683      0.72757      0.11126             0      0.72757
_SET1_   481           1  169040947  169111960    346      71  470657       1.0545     0.057324             0       1.0545
_SET1_   26052         1  171775618  172397606   2481     148  467176      0.61859      0.12301             0      0.61859
_SET1_   7143          1  175281935  175747752   2338     227  466430     -0.39385      0.46337    5.5511e-17     -0.39385
_SET1_   460           1  176816441  177169024   1386     126  460218        1.048      0.05794             0        1.048
_SET1_   57795         1  177105058  177261558    513      75  457766       1.2103      0.04159             0       1.2103
_SET1_   6646          1  179227849  179337815    586      49  469155      -1.3175      0.79764             0      -1.3175
_SET1_   80896         1  182723584  182809519    319      60  470717     -0.87589      0.67896             0     -0.87589
_SET1_   23127         1  183888988  184041904    803      92  460431     -0.38223      0.44417    5.5511e-17     -0.38223
_SET1_   81563         1  184321150  184608155   1267      85  463769      0.50937      0.15844             0      0.50937
_SET1_   116496        1  184750159  184978718   1037      97  465039    -0.051989      0.32037    3.4694e-17    -0.051989
_SET1_   5321          1  186763032  186968113    874      98  468501      -1.3056      0.78791             0      -1.3056
_SET1_   339479        1  190056792  190482534   1560     105  465392      0.65182      0.11898             0      0.65182
_SET1_   5996          1  192509857  192559159    253      47  472713       1.0138       0.0766             0       1.0138
_SET1_   23418         1  197135592  197457585   1072     118  455912      0.44124      0.16474    5.5511e-17      0.44124
_SET1_   5788          1  198573098  198736605    737      78  467266     -0.14536      0.38072    2.7756e-17     -0.14536
_SET1_   89796         1  201473243  201806102   1533     166  470088     -0.25151      0.39902    5.5511e-17     -0.25151
_SET1_   4660          1  202282830  202567697    855      65  462795     -0.62447       0.5461             0     -0.62447
_SET1_   22874         1  204177979  204364057    945      88  469643      0.55346      0.14127             0      0.55346
_SET1_   23114         1  204762782  205001950   1263     114  465522       1.1848     0.046585             0       1.1848
_SET1_   6900          1  204977340  205057173    411      76  467960       2.4347    0.0016396             0       2.4347
_SET1_   5129          1  205438684  205511921    434      94  470045       0.1815      0.24051    2.7756e-17       0.1815
_SET1_   255928        1  210076519  210347636    992      56  466782        2.034    0.0061093             0        2.034
_SET1_   3756          1  210841657  211342457   2324     159  469487     -0.27357      0.40318    5.5511e-17     -0.27357
