# ALPHA = 0.05
# NUMBER_OF_TESTS = 12

# _SET1_  VARIABLE = Microglia (set)
# _SET1_  NGENES = 1288
# _SET1_  P-VALUE = 0.00095443
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   6497          1    2125134    2251652    592     106  464827      -1.8112       0.9023    6.6613e-16      -1.8112
_SET1_   23261         1    6810384    7839766   4535     347  469990      0.11659      0.25924    6.5226e-16      0.11659
_SET1_   6518          1    9087005    9166763    414      55  471932       1.6815     0.015801    6.6613e-16       1.6815
_SET1_   5293          1    9676789    9799172    556      86  461632       1.4485     0.027153    6.6613e-16       1.4485
_SET1_   23095         1   10235606   10451664    906      39  473632      0.28016      0.24746    6.6613e-16      0.28016
_SET1_   7133          1   12192044   12279279    383      67  470965    -0.062064      0.34267    6.5226e-16    -0.062064
_SET1_   9249          1   12617939   12712820    532      93  469229     0.026825      0.29954    6.5573e-16     0.026825
_SET1_   23254         1   14184646   15454544   6947     501  468615       1.4227     0.021563    6.6613e-16       1.4227
_SET1_   55092         1   15444028   15556974    795      59  473443     -0.97034        0.688    6.6613e-16     -0.97034
_SET1_   11240         1   17383256   17480948    580      58  475303     -0.54959      0.52805    6.6613e-16     -0.54959
_SET1_   55920         1   17723251   17801250    394      51  463683      -1.0532      0.71423    6.6613e-16      -1.0532
_SET1_   84966         1   18399240   18714977   1717     250  467668       -1.977      0.93461    6.6613e-16       -1.977
_SET1_   832           1   19655267   19847066    991      76  470928       0.7104      0.11252    6.6613e-16       0.7104
_SET1_   440574        1   19888471   19966315    368      35  470132       1.7482     0.017059    6.6613e-16       1.7482
_SET1_   8672          1   21122785   21538381   1271      60  468770       3.6411   1.9171e-05    4.4409e-16       3.6411
_SET1_   1889          1   21533740   21707034    822     104  467306       0.2895      0.21513    6.6613e-16       0.2895
_SET1_   713           1   22944682   22998130    232      44  468518     -0.81678      0.63491    6.6613e-16     -0.81678
_SET1_   25932         1   25036760   25180815    375      73  462149      0.41063      0.18029    6.6613e-16      0.41063
_SET1_   6195          1   26821249   26911520    323      52  464996       0.8383     0.095705    6.6613e-16       0.8383
_SET1_   8289          1   26987522   27118601    316      45  461622      0.76762      0.12531    6.6613e-16      0.76762
_SET1_   10163         1   27720734   27851678    406      58  464277      0.87854        0.102    6.6613e-16      0.87854
_SET1_   5724          1   28463677   28555447    292      69  462230      0.65733       0.1262    6.6613e-16      0.65733
_SET1_   2035          1   29178603   29456558   1021      72  462846       1.0434     0.065712    6.6613e-16       1.0434
_SET1_   7805          1   31195315   31265683    355      77  464829       2.1864    0.0033547    4.4409e-16       2.1864
_SET1_   1912          1   33779224   33876194    360      44  466556      -0.1525      0.37768    6.6613e-16      -0.1525
_SET1_   114784        1   33969609   34666443   3190     321  467303     0.058655      0.28268    6.5226e-16     0.058655
_SET1_   1441          1   36921644   36983915    266      56  472708      0.94759     0.086199    6.6613e-16      0.94759
_SET1_   23499         1   39514839   39962810   1542      84  469792     -0.88303      0.66748    6.6613e-16     -0.88303
_SET1_   10487         1   40470912   40548321    378      27  465309        1.426     0.037726    6.6613e-16        1.426
_SET1_   64744         1   40804378   40898998    349      73  471965      -1.2646       0.7855    6.6613e-16      -1.2646
_SET1_   59269         1   41962036   42536596   2359     131  468659      0.88871     0.078898    6.6613e-16      0.88871
_SET1_   55182         1   44835837   45127396   1202     176  468476       1.5996     0.018042    6.6613e-16       1.5996
_SET1_   57643         1   45472071   45707250    703      73  469151     -0.31376      0.45112    6.6613e-16     -0.31376
_SET1_   8503          1   46495812   46677167    588      58  469087     -0.93214      0.67833    6.6613e-16     -0.93214
_SET1_   8569          1   47013079   47104966    382      66  461955      0.11929      0.27034    6.5226e-16      0.11929
_SET1_   9372          1   52572678   52822358    798      67  458005     -0.80432      0.68616    6.6613e-16     -0.80432
_SET1_   23648         1   54681104   54907068   1056     160  466922     -0.48632      0.48799    6.6613e-16     -0.48632
_SET1_   10207         1   62173149   62639592   2203     186  471259     -0.60533      0.54412    6.6613e-16     -0.60533
_SET1_   4919          1   64204690   64657181   1862     162  466707    -0.042286       0.3192    6.5226e-16    -0.042286
_SET1_   57685         1   64901476   65168741    961     175  469245      0.17675      0.26806    6.6613e-16      0.17675
_SET1_   9829          1   65685133   65891552    814      68  467080       1.1426     0.049346    6.6613e-16       1.1426
_SET1_   84251         1   66964066   67220768   1256      55  468663       0.3662      0.19665    6.6613e-16       0.3662
_SET1_   57554         1   69998230   70599171   2483     161  466822       1.2857     0.035166    6.6613e-16       1.2857
_SET1_   257194        1   71858625   72783533   3148     180  464360      0.14846      0.25107    6.6613e-16      0.14846
_SET1_   256435        1   76505389   77110311   2792     261  464911      -1.7047      0.88946    6.6613e-16      -1.7047
_SET1_   26289         1   77712662   78035654   1410     117  473372     -0.85079      0.63858    6.6613e-16     -0.85079
