# ALPHA = 0.05
# NUMBER_OF_TESTS = 46

# _SET1_  VARIABLE = Oligo-B (set)
# _SET1_  NGENES = 1586
# _SET1_  P-VALUE = 0.000748422
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   643965        1    1361508    1363167     10       5  466340      -1.2961      0.85582    8.8818e-16      -1.2961
_SET1_   5590          1    1981909    2116834    784      65  466216      -1.8159      0.91207    8.8818e-16      -1.8159
_SET1_   9651          1    2407754    2436964    163      53  448738       -1.058      0.72189    8.8818e-16       -1.058
_SET1_   473           1    8412464    8877699   1290      69  465044       2.2447    0.0033631    8.8818e-16       2.2447
_SET1_   80176         1    9335202    9429591    611     116  473250      -1.2336      0.77128    8.8818e-16      -1.2336
_SET1_   10277         1   10093041   10241297    544      46  470117     -0.69416      0.64723    8.8818e-16     -0.69416
_SET1_   23095         1   10270606   10441664    689      35  473689      0.20034      0.26977    9.4369e-16      0.20034
_SET1_   84301         1   15943953   15995539    174      24  468814     -0.44122      0.51604    9.4369e-16     -0.44122
_SET1_   11240         1   17393256   17445948    338      34  476755     -0.76437      0.61608    8.8818e-16     -0.76437
_SET1_   55450         1   20808884   20812728     10       6  427038     -0.61728      0.66512    8.8818e-16     -0.61728
_SET1_   1889          1   21543740   21672034    601      86  464758     -0.17713      0.39088    9.4369e-16     -0.17713
_SET1_   2048          1   23037263   23241823    937     139  463425     -0.48125      0.50291    9.4369e-16     -0.48125
_SET1_   7798          1   23410516   23504301    261      43  469949      -1.4818      0.85261    8.8818e-16      -1.4818
_SET1_   57185         1   24742245   24799473    307      43  467441      0.11334      0.28306    9.4369e-16      0.11334
_SET1_   10250         1   24969594   24999772     66      33  469892     -0.57169      0.58855    8.8818e-16     -0.57169
_SET1_   26119         1   25870071   25895377    133      30  466328     -0.71111      0.61112    8.8818e-16     -0.71111
_SET1_   3925          1   26210670   26233368     57      19  456734       1.9137    0.0092554    8.8818e-16       1.9137
_SET1_   64793         1   26560644   26605529    204      30  454610      0.30421      0.23009    9.4369e-16      0.30421
_SET1_   9410          1   31732415   31769644    146      22  470278      0.69185      0.13302    8.8818e-16      0.69185
_SET1_   1307          1   32117848   32169768    207      66  463494       0.4228      0.18357    9.4369e-16       0.4228
_SET1_   8073          1   32372022   32403988    117      24  457183     -0.30084      0.50302    9.4369e-16     -0.30084
_SET1_   65108         1   32799430   32801840      3       2  459384      -1.0066       0.8464    8.8818e-16      -1.0066
_SET1_   113451        1   33546711   33586132    137      42  459625      0.15787      0.29455    9.4369e-16      0.15787
_SET1_   55223         1   33611000   33647671    148      27  466836       1.1704     0.057883    8.8818e-16       1.1704
_SET1_   1912          1   33789224   33841194    215      45  464617     -0.36539      0.45768    9.4369e-16     -0.36539
_SET1_   55700         1   36621751   36646450     64      23  462788       0.5377      0.17048    8.8818e-16       0.5377
_SET1_   127687        1   38273473   38275126      2       1  468650      -1.0898      0.89027    8.8818e-16      -1.0898
_SET1_   54933         1   39350614   39407456    272      54  468053     -0.34469      0.45035    9.4369e-16     -0.34469
_SET1_   79647         1   39456916   39471737     63      15  473022       1.9716    0.0085154    8.8818e-16       1.9716
_SET1_   1298          1   40766162   40782939     96      26  460739     -0.16757      0.42502    9.4369e-16     -0.16757
_SET1_   64834         1   43829068   43833745      8       5  424855      -1.4417      0.89651    8.8818e-16      -1.4417
_SET1_   5792          1   43991708   44089343    463      48  459273       2.1093    0.0049543    8.8818e-16       2.1093
_SET1_   9670          1   44412478   44433694     44      14  463532     -0.29684      0.48011    9.4369e-16     -0.29684
_SET1_   55182         1   44870837   45117396   1031     132  467875       1.6734     0.015766    8.8818e-16       1.6734
_SET1_   10420         1   45809555   45956840    429      42  460110      -1.6528      0.88947    8.8818e-16      -1.6528
_SET1_   4678          1   46049660   46084578    136      22  467611      -2.0105      0.95116    8.8818e-16      -2.0105
_SET1_   8503          1   46505812   46642167    461      55  467848     -0.81311       0.6381    8.8818e-16     -0.81311
_SET1_   541468        1   46669006   46686928     46      24  471325     -0.71066      0.62842    8.8818e-16     -0.71066
_SET1_   54558         1   48761044   48937876    702      58  460673       1.2173     0.053257    8.8818e-16       1.2173
_SET1_   84871         1   48998527   50489626   4462     138  458219      0.26589      0.22423    9.4369e-16      0.26589
_SET1_   2060          1   51819935   51985026    711      42  471701       1.8389     0.015429    8.8818e-16       1.8389
_SET1_   114883        1   52082546   52254891    499      68  459943     -0.47011      0.55006    9.4369e-16     -0.47011
_SET1_   55268         1   53361582   53392846     86      37  456187     -0.43109      0.50354    9.4369e-16     -0.43109
_SET1_   9528          1   54497346   54519135     67      23  465908       1.3675        0.047    8.8818e-16       1.3675
_SET1_   23648         1   54691104   54872068    813     138  465304     -0.13597      0.36798    9.4369e-16     -0.13597
_SET1_   1718          1   55315300   55352921    190      38  465236     -0.91971      0.68066    8.8818e-16     -0.91971
_SET1_   114803        1   59120411   59165747    257      25  468246       1.1611     0.055343    8.8818e-16       1.1611
_SET1_   1573          1   60358980   60392445    102      29  469032       0.1606      0.29207    9.4369e-16       0.1606
_SET1_   163782        1   62701837   62785083    496      45  473066    -0.098402      0.35387    9.4369e-16    -0.098402
_SET1_   85440         1   62920397   63154039    655      46  463161       1.8718     0.010581    8.8818e-16       1.8718
_SET1_   84938         1   63249777   63330941    291      31  467536     -0.21971        0.412    9.4369e-16     -0.21971
_SET1_   4919          1   64239690   64647181   1608     175  466269     0.043293      0.30476    9.3675e-16     0.043293
_SET1_   57685         1   64936476   65158741    773     140  469202      0.30157       0.2397    9.4369e-16      0.30157
_SET1_   9829          1   65720133   65881552    630      61  466789      0.86997     0.087333    8.8818e-16      0.86997
_SET1_   5142          1   66258193   66840262   2322     165  467219     -0.59797      0.54056    8.8818e-16     -0.59797
_SET1_   79971         1   68564142   68698284    717     110  474021     -0.59477      0.54449    8.8818e-16     -0.59477
_SET1_   257194        1   71868625   72748533   3079     188  464137      0.23316      0.23304    9.4369e-16      0.23316
_SET1_   8790          1   74663896   74674533     45       8  459509      -0.3504      0.48101    9.4369e-16      -0.3504
_SET1_   51086         1   74701071   75010116   1069     106  465948     -0.33821      0.45872    9.4369e-16     -0.33821
_SET1_   26289         1   77747662   78025654   1260     109  474810      -1.0953      0.73229    8.8818e-16      -1.0953
_SET1_   26009         1   78028160   78149119    336      50  462707     -0.22045      0.41958    9.4369e-16     -0.22045
_SET1_   23266         1   82266082   82458107    828      83  469423      0.79952      0.10264    8.8818e-16      0.79952
_SET1_   79739         1   84335057   84464850    454      36  464859     -0.43641      0.50331    9.4369e-16     -0.43641
_SET1_   5567          1   84543745   84704181    435      66  464042     -0.37598      0.46017    9.4369e-16     -0.37598
_SET1_   23576         1   85784168   86044046   1178     111  469038     0.071223      0.28932    9.4369e-16     0.071223
_SET1_   23507         1   89989933   90063420    253      26  476320     -0.70706      0.60418    8.8818e-16     -0.70706
_SET1_   55144         1   90286573   90401991    351      80  468717      0.47752      0.17829    9.4369e-16      0.47752
_SET1_   84146         1   91380855   91487812    308      41  471084     -0.11084      0.39104    9.4369e-16     -0.11084
_SET1_   7049          1   92145900   92371559    979      98  474172      0.35081      0.19845    9.4369e-16      0.35081
_SET1_   284697        1   92545862   92613397    235      44  467941      -1.2793      0.79954    8.8818e-16      -1.2793
_SET1_   388650        1   93298286   93427079    389      33  466436       1.6275     0.019936    8.8818e-16       1.6275
_SET1_   54874         1   93913688   94020218    332      72  457632     0.016068      0.33854    9.4022e-16     0.016068
_SET1_   8412          1   94027343   94312706   1257      84  471658      0.47577      0.18164    9.4369e-16      0.47577
_SET1_   58155         1   97187161   97280605    342      47  464307     -0.21611      0.40732    9.4369e-16     -0.21611
_SET1_   1806          1   97543299   98386615   3356     227  468480     -0.63341      0.56804    8.8818e-16     -0.63341
_SET1_   54482         1  100598669  100616054     65      22  467604      -1.4851      0.87711    8.8818e-16      -1.4851
_SET1_   8556          1  100810598  100985833    601      52  464343     -0.75023      0.63989    8.8818e-16     -0.75023
_SET1_   6814          1  109289285  109352148    272      22  471973     -0.55224      0.55877    8.8818e-16     -0.55224
_SET1_   29899         1  109417972  109473044    200      40  468711       1.3986     0.034172    8.8818e-16       1.3986
_SET1_   1952          1  109792641  109818378    121      35  468073    -0.062013      0.36173    9.3675e-16    -0.062013
_SET1_   84722         1  109822176  109825790     20      14  465259     -0.96323       0.7453    8.8818e-16     -0.96323
_SET1_   6272          1  109852187  109940563    237      48  455818     -0.90155      0.67609    8.8818e-16     -0.90155
_SET1_   9860          1  113615792  113667824    183      47  463401      0.49427      0.18921    9.4369e-16      0.49427
_SET1_   260425        1  113933087  114228545    897      75  461698     -0.64526      0.56892    8.8818e-16     -0.64526
_SET1_   55356         1  116519119  116612675    345      52  469053      0.88124      0.10031    8.8818e-16      0.88124
_SET1_   647135        1  143915897  144094426     32      21  347485      -0.7736      0.63919    8.8818e-16      -0.7736
_SET1_   56957         1  149912229  149982686    223      37  458221      -1.3504      0.84553    8.8818e-16      -1.3504
_SET1_   2029          1  150594599  150602098     26      15  456385      0.63466      0.15569    8.8818e-16      0.63466
_SET1_   23126         1  151375200  151445753    188      27  464431     -0.94629      0.72319    8.8818e-16     -0.94629
_SET1_   23208         1  155829260  155854990     66      25  458793       1.3035     0.045809    8.8818e-16       1.3035
_SET1_   9181          1  155916431  155953396     90      31  447891     -0.67251      0.60698    8.8818e-16     -0.67251
_SET1_   79957         1  156213112  156217908     16      10  470684     -0.69787       0.6369    8.8818e-16     -0.69787
_SET1_   60484         1  156589085  156595517     17       8  468731     -0.99682       0.7519    8.8818e-16     -0.99682
_SET1_   93183         1  159997462  160001783     16      11  419063      -1.2794       0.8392    8.8818e-16      -1.2794
_SET1_   3766          1  160007257  160040051    106      34  469927    -0.020431       0.3275    9.4022e-16    -0.020431
_SET1_   93185         1  160061129  160068650     27      11  454142     -0.22802      0.43861    9.4369e-16     -0.22802
_SET1_   477           1  160085520  160113381    131      40  475186     -0.57342      0.55769    8.8818e-16     -0.57342
_SET1_   8682          1  160175125  160185162     23      16  452021       1.7415     0.019721    8.8818e-16       1.7415
_SET1_   1314          1  160258377  160313354    160      49  467655      0.34285      0.21314    9.4369e-16      0.34285
_SET1_   9507          1  161159538  161168845     40      23  459206       3.2113   0.00014486    8.8818e-16       3.2113
_SET1_   9722          1  162039581  162339813   1494     117  469847      0.36393      0.19692    9.4369e-16      0.36393
_SET1_   9019          1  167691187  167761156    296      50  462205       1.4065     0.031143    8.8818e-16       1.4065
_SET1_   481           1  169075947  169101960    134      33  474383     0.043703      0.30347    9.3675e-16     0.043703
_SET1_   26052         1  171810618  172387606   2254     139  467183      0.65635      0.12336    8.8818e-16      0.65635
_SET1_   5279          1  172410597  172413230      9       5  474256     -0.50091      0.57387    8.8818e-16     -0.50091
_SET1_   84614         1  173837220  173856596     81      29  473249   -0.0081911      0.34811    9.4022e-16   -0.0081911
_SET1_   460           1  176826441  177134024   1203     120  459353       1.3077     0.038017    8.8818e-16       1.3077
_SET1_   9462          1  178062864  178448649   1175      61  462888       -1.445      0.85627    8.8818e-16       -1.445
_SET1_   9213          1  180601146  180859415   1144      42  458336     -0.16219      0.40742    9.4369e-16     -0.16219
_SET1_   2752          1  182350839  182361341     54      21  455938     -0.79855      0.63924    8.8818e-16     -0.79855
_SET1_   23179         1  183605208  183897666   1229     103  468788      -0.7238      0.58945    8.8818e-16      -0.7238
_SET1_   23127         1  183898988  184006904    575      91  461406     -0.50383      0.51053    8.8818e-16     -0.50383
_SET1_   116461        1  184020811  184043346    144      11  449197      0.70001      0.17661    8.8818e-16      0.70001
_SET1_   81563         1  184356150  184598155   1052      84  462159      0.46824      0.18038    9.4369e-16      0.46824
_SET1_   10625         1  185265520  185286461     52      24  464523      -2.2266      0.96787    8.8818e-16      -2.2266
_SET1_   343450        1  196194913  196577690   1373      72  433544     -0.74558      0.62268    8.8818e-16     -0.74558
_SET1_   3075          1  196621008  196716634    434      46  465899      0.33574      0.21524    9.4369e-16      0.33574
_SET1_   163486        1  197473878  197744623    787      58  461061     -0.54438      0.54686    8.8818e-16     -0.54438
_SET1_   1465          1  201452658  201476387    140      36  474716     0.043241      0.31065    9.3675e-16     0.043241
_SET1_   127829        1  202102532  202113871     51      26  456169      0.80993       0.1101    8.8818e-16      0.80993
_SET1_   4660          1  202317830  202557697    702      62  463017     -0.47738      0.50341    9.4369e-16     -0.47738
_SET1_   134           1  203096833  203136533    176      49  475358     -0.69227      0.59598    8.8818e-16     -0.69227
_SET1_   5287          1  204391756  204463943    361      55  464919      -1.9467      0.93568    8.8818e-16      -1.9467
_SET1_   4194          1  204485507  204596131    522      55  468173     -0.93303      0.68584    8.8818e-16     -0.93303
_SET1_   23114         1  204797782  204991950   1018     111  465436       1.2822     0.041064    8.8818e-16       1.2822
_SET1_   6900          1  205012340  205047173    185      36  474477       2.6724   0.00090337    8.8818e-16       2.6724
_SET1_   9911          1  205197038  205242471    186      36  473678       1.2074     0.048284    8.8818e-16       1.2074
_SET1_   5129          1  205473684  205501921    165      54  470661        1.432     0.029916    8.8818e-16        1.432
_SET1_   85414         1  205626979  205649630     98      38  466335      0.51828      0.17026    8.8818e-16      0.51828
_SET1_   5362          1  208195587  208417665   1071     111  463830     -0.25505      0.41188    9.4369e-16     -0.25505
_SET1_   255928        1  210111519  210337636    854      56  466392       1.8485     0.010968    8.8818e-16       1.8485
_SET1_   9926          1  211916799  212048531    590      54  472296      -1.2033      0.78316    8.8818e-16      -1.2033
_SET1_   25896         1  212113741  212209002    414      38  475741      -1.0939      0.76724    8.8818e-16      -1.0939
_SET1_   5525          1  212458879  212535205    290      47  463080       1.2879     0.041981    8.8818e-16       1.2879
_SET1_   55248         1  212537816  212588267    201      54  464991      0.65657      0.13377    8.8818e-16      0.65657
_SET1_   29937         1  212606229  212619721     62      17  470373       1.5173     0.028224    8.8818e-16       1.5173
_SET1_   5629          1  214161278  214214853    186      48  469763     -0.78982      0.64819    8.8818e-16     -0.78982
_SET1_   5784          1  214521640  214725024   1076     112  473322      0.15919      0.26573    9.4369e-16      0.15919
_SET1_   51133         1  215740528  215795149    153      25  463945       1.0515     0.094502    8.8818e-16       1.0515
_SET1_   84976         1  222988342  223179337    769      66  466836     -0.66231      0.58031    8.8818e-16     -0.66231
_SET1_   9725          1  226033233  226070420    159      32  468666      0.37903      0.21556    9.4369e-16      0.37903
_SET1_   58480         1  228780394  228882416    430      66  465465      -2.2992      0.96925    8.8818e-16      -2.2992
_SET1_   84886         1  230972865  231005335    185      39  476356     -0.52043      0.53428    8.8818e-16     -0.52043
_SET1_   27185         1  231762561  232177018   1841     199  468990       1.4152     0.030197    8.8818e-16       1.4152
_SET1_   57568         1  232533711  232765907   1179     137  468914     -0.51231      0.51493    8.8818e-16     -0.51231
_SET1_   88            1  236849754  236927931    388      59  468979      -1.2925      0.79916    8.8818e-16      -1.2925
_SET1_   56776         1  240255185  240638491   1997     148  468228       1.5538     0.019715    8.8818e-16       1.5538
_SET1_   200150        1  242251689  242687998   2373     177  470993      0.59985      0.13478    8.8818e-16      0.59985
_SET1_   10806         1  243419307  243663393    732      81  468957      -1.6708      0.88774    8.8818e-16      -1.6708
_SET1_   10000         1  243651535  244014381   1012      65  463186       2.4058    0.0023286    8.8818e-16       2.4058
_SET1_   159           1  244571794  244615436    147      37  474562     -0.55818      0.55036    8.8818e-16     -0.55818
_SET1_   257044        1  244624673  244803664    721      57  468910      -1.1096      0.75493    8.8818e-16      -1.1096
_SET1_   64754         1  245912642  246670644   4205     177  472265     -0.83779      0.63214    8.8818e-16     -0.83779
_SET1_   51097         1  246887378  246931439    184      38  463040      0.62059      0.14172    8.8818e-16      0.62059
_SET1_   26751         2     218136     264820    150      31  456300      -1.0249      0.71059    8.8818e-16      -1.0249
_SET1_   9781          2    7057523    7209011    717      83  470163      -1.1223      0.73029    8.8818e-16      -1.1223
_SET1_   57498         2    8865295    8977755    354      64  464775      0.88652     0.091309    8.8818e-16      0.88652
_SET1_   129642        2    8996701    9143876    543      47  463548     -0.36978      0.51797    9.4369e-16     -0.36978
_SET1_   10971         2    9724096    9771184    178      41  468451       2.1875    0.0040631    8.8818e-16       2.1875
_SET1_   9475          2   11319894   11484711    637      43  470061      0.59963      0.15112    8.8818e-16      0.59963
_SET1_   81553         2   16730727   16847134    494     122  466423     -0.85823      0.65549    8.8818e-16     -0.85823
_SET1_   114818        2   23608298   23931483   1630     186  469428     -0.63666      0.56445    8.8818e-16     -0.63666
_SET1_   8648          2   24714919   24993571    982      71  461950     -0.33292      0.46002    9.4369e-16     -0.33292
_SET1_   1788          2   25451421   25565459    384      96  457289      0.18993      0.24725    9.4369e-16      0.18993
_SET1_   1838          2   25600067   25896516    930     139  458483     -0.13358       0.3689    9.4369e-16     -0.13358
_SET1_   56896         2   27070969   27173219    309      45  455280      0.63134      0.13634    8.8818e-16      0.63134
_SET1_   79745         2   29320542   29406679    391      54  462299      0.93929     0.082877    8.8818e-16      0.93929
_SET1_   25780         2   33661416   33789798    626     125  470800       2.1181    0.0047909    8.8818e-16       2.1181
_SET1_   25940         2   33808727   33824362     58      23  459633      0.21068      0.25838    9.4369e-16      0.21068
_SET1_   51232         2   36583370   36778278    789     105  468915     -0.48249       0.4955    9.4369e-16     -0.48249
_SET1_   6801          2   37064841   37193673    523      47  465997       0.2449       0.2607    9.4369e-16       0.2449
_SET1_   23683         2   37477645   37551915    419      44  465583         2.08    0.0062496    8.8818e-16         2.08
_SET1_   64225         2   38522027   38604432    469      46  464492     -0.12993      0.39666    9.4369e-16     -0.12993
